# V0=-7.0, s=0.5 
#  x1  x2  wavefunction
#   
   -4.950000E+00    -4.950000E+00    -4.268866E-25
   -4.950000E+00    -4.900000E+00    -1.716101E-12
   -4.950000E+00    -4.850000E+00    -4.353618E-12
   -4.950000E+00    -4.800000E+00    -8.231060E-12
   -4.950000E+00    -4.750000E+00    -1.374656E-11
   -4.950000E+00    -4.700000E+00    -2.139270E-11
   -4.950000E+00    -4.650000E+00    -3.177376E-11
   -4.950000E+00    -4.600000E+00    -4.562513E-11
   -4.950000E+00    -4.550000E+00    -6.383696E-11
   -4.950000E+00    -4.500000E+00    -8.748320E-11
   -4.950000E+00    -4.450000E+00    -1.178540E-10
   -4.950000E+00    -4.400000E+00    -1.564957E-10
   -4.950000E+00    -4.350000E+00    -2.052602E-10
   -4.950000E+00    -4.300000E+00    -2.663602E-10
   -4.950000E+00    -4.250000E+00    -3.424366E-10
   -4.950000E+00    -4.200000E+00    -4.366380E-10
   -4.950000E+00    -4.150000E+00    -5.527115E-10
   -4.950000E+00    -4.100000E+00    -6.951092E-10
   -4.950000E+00    -4.050000E+00    -8.691111E-10
   -4.950000E+00    -4.000000E+00    -1.080963E-09
   -4.950000E+00    -3.950000E+00    -1.338034E-09
   -4.950000E+00    -3.900000E+00    -1.648999E-09
   -4.950000E+00    -3.850000E+00    -2.024032E-09
   -4.950000E+00    -3.800000E+00    -2.475031E-09
   -4.950000E+00    -3.750000E+00    -3.015868E-09
   -4.950000E+00    -3.700000E+00    -3.662657E-09
   -4.950000E+00    -3.650000E+00    -4.434045E-09
   -4.950000E+00    -3.600000E+00    -5.351545E-09
   -4.950000E+00    -3.550000E+00    -6.439886E-09
   -4.950000E+00    -3.500000E+00    -7.727377E-09
   -4.950000E+00    -3.450000E+00    -9.246319E-09
   -4.950000E+00    -3.400000E+00    -1.103343E-08
   -4.950000E+00    -3.350000E+00    -1.313030E-08
   -4.950000E+00    -3.300000E+00    -1.558382E-08
   -4.950000E+00    -3.250000E+00    -1.844671E-08
   -4.950000E+00    -3.200000E+00    -2.177801E-08
   -4.950000E+00    -3.150000E+00    -2.564352E-08
   -4.950000E+00    -3.100000E+00    -3.011635E-08
   -4.950000E+00    -3.050000E+00    -3.527737E-08
   -4.950000E+00    -3.000000E+00    -4.121567E-08
   -4.950000E+00    -2.950000E+00    -4.802899E-08
   -4.950000E+00    -2.900000E+00    -5.582407E-08
   -4.950000E+00    -2.850000E+00    -6.471701E-08
   -4.950000E+00    -2.800000E+00    -7.483346E-08
   -4.950000E+00    -2.750000E+00    -8.630878E-08
   -4.950000E+00    -2.700000E+00    -9.928811E-08
   -4.950000E+00    -2.650000E+00    -1.139262E-07
   -4.950000E+00    -2.600000E+00    -1.303873E-07
   -4.950000E+00    -2.550000E+00    -1.488447E-07
   -4.950000E+00    -2.500000E+00    -1.694801E-07
   -4.950000E+00    -2.450000E+00    -1.924827E-07
   -4.950000E+00    -2.400000E+00    -2.180489E-07
   -4.950000E+00    -2.350000E+00    -2.463801E-07
   -4.950000E+00    -2.300000E+00    -2.776820E-07
   -4.950000E+00    -2.250000E+00    -3.121627E-07
   -4.950000E+00    -2.200000E+00    -3.500307E-07
   -4.950000E+00    -2.150000E+00    -3.914927E-07
   -4.950000E+00    -2.100000E+00    -4.367514E-07
   -4.950000E+00    -2.050000E+00    -4.860027E-07
   -4.950000E+00    -2.000000E+00    -5.394328E-07
   -4.950000E+00    -1.950000E+00    -5.972152E-07
   -4.950000E+00    -1.900000E+00    -6.595074E-07
   -4.950000E+00    -1.850000E+00    -7.264479E-07
   -4.950000E+00    -1.800000E+00    -7.981520E-07
   -4.950000E+00    -1.750000E+00    -8.747089E-07
   -4.950000E+00    -1.700000E+00    -9.561782E-07
   -4.950000E+00    -1.650000E+00    -1.042586E-06
   -4.950000E+00    -1.600000E+00    -1.133922E-06
   -4.950000E+00    -1.550000E+00    -1.230135E-06
   -4.950000E+00    -1.500000E+00    -1.331134E-06
   -4.950000E+00    -1.450000E+00    -1.436778E-06
   -4.950000E+00    -1.400000E+00    -1.546883E-06
   -4.950000E+00    -1.350000E+00    -1.661213E-06
   -4.950000E+00    -1.300000E+00    -1.779482E-06
   -4.950000E+00    -1.250000E+00    -1.901353E-06
   -4.950000E+00    -1.200000E+00    -2.026436E-06
   -4.950000E+00    -1.150000E+00    -2.154290E-06
   -4.950000E+00    -1.100000E+00    -2.284427E-06
   -4.950000E+00    -1.050000E+00    -2.416308E-06
   -4.950000E+00    -1.000000E+00    -2.549351E-06
   -4.950000E+00    -9.500000E-01    -2.682930E-06
   -4.950000E+00    -9.000000E-01    -2.816384E-06
   -4.950000E+00    -8.500000E-01    -2.949018E-06
   -4.950000E+00    -8.000000E-01    -3.080108E-06
   -4.950000E+00    -7.500000E-01    -3.208915E-06
   -4.950000E+00    -7.000000E-01    -3.334680E-06
   -4.950000E+00    -6.500000E-01    -3.456639E-06
   -4.950000E+00    -6.000000E-01    -3.574027E-06
   -4.950000E+00    -5.500000E-01    -3.686093E-06
   -4.950000E+00    -5.000000E-01    -3.792095E-06
   -4.950000E+00    -4.500000E-01    -3.891317E-06
   -4.950000E+00    -4.000000E-01    -3.983082E-06
   -4.950000E+00    -3.500000E-01    -4.066746E-06
   -4.950000E+00    -3.000000E-01    -4.141712E-06
   -4.950000E+00    -2.500000E-01    -4.207442E-06
   -4.950000E+00    -2.000000E-01    -4.263462E-06
   -4.950000E+00    -1.500000E-01    -4.309354E-06
   -4.950000E+00    -1.000000E-01    -4.344778E-06
   -4.950000E+00    -5.000000E-02    -4.369477E-06
   -4.950000E+00     0.000000E+00    -4.383265E-06
   -4.950000E+00     5.000000E-02    -4.386030E-06
   -4.950000E+00     1.000000E-01    -4.377762E-06
   -4.950000E+00     1.500000E-01    -4.358527E-06
   -4.950000E+00     2.000000E-01    -4.328461E-06
   -4.950000E+00     2.500000E-01    -4.287789E-06
   -4.950000E+00     3.000000E-01    -4.236828E-06
   -4.950000E+00     3.500000E-01    -4.175947E-06
   -4.950000E+00     4.000000E-01    -4.105582E-06
   -4.950000E+00     4.500000E-01    -4.026257E-06
   -4.950000E+00     5.000000E-01    -3.938540E-06
   -4.950000E+00     5.500000E-01    -3.843031E-06
   -4.950000E+00     6.000000E-01    -3.740400E-06
   -4.950000E+00     6.500000E-01    -3.631350E-06
   -4.950000E+00     7.000000E-01    -3.516590E-06
   -4.950000E+00     7.500000E-01    -3.396855E-06
   -4.950000E+00     8.000000E-01    -3.272912E-06
   -4.950000E+00     8.500000E-01    -3.145509E-06
   -4.950000E+00     9.000000E-01    -3.015375E-06
   -4.950000E+00     9.500000E-01    -2.883255E-06
   -4.950000E+00     1.000000E+00    -2.749864E-06
   -4.950000E+00     1.050000E+00    -2.615863E-06
   -4.950000E+00     1.100000E+00    -2.481893E-06
   -4.950000E+00     1.150000E+00    -2.348566E-06
   -4.950000E+00     1.200000E+00    -2.216416E-06
   -4.950000E+00     1.250000E+00    -2.085914E-06
   -4.950000E+00     1.300000E+00    -1.957496E-06
   -4.950000E+00     1.350000E+00    -1.831506E-06
   -4.950000E+00     1.400000E+00    -1.708189E-06
   -4.950000E+00     1.450000E+00    -1.587724E-06
   -4.950000E+00     1.500000E+00    -1.470186E-06
   -4.950000E+00     1.550000E+00    -1.355514E-06
   -4.950000E+00     1.600000E+00    -1.243521E-06
   -4.950000E+00     1.650000E+00    -1.133882E-06
   -4.950000E+00     1.700000E+00    -1.026077E-06
   -4.950000E+00     1.750000E+00    -9.193616E-07
   -4.950000E+00     1.800000E+00    -8.127544E-07
   -4.950000E+00     1.850000E+00    -7.049554E-07
   -4.950000E+00     1.900000E+00    -5.942655E-07
   -4.950000E+00     1.950000E+00    -4.785141E-07
   -4.950000E+00     2.000000E+00    -3.549820E-07
   -4.950000E+00     2.050000E+00    -2.201035E-07
   -4.950000E+00     2.100000E+00     0.000000E+00
   -4.950000E+00     2.150000E+00     0.000000E+00
   -4.950000E+00     2.200000E+00     0.000000E+00
   -4.950000E+00     2.250000E+00     0.000000E+00
   -4.950000E+00     2.300000E+00     0.000000E+00
   -4.950000E+00     2.350000E+00     0.000000E+00
   -4.950000E+00     2.400000E+00     0.000000E+00
   -4.950000E+00     2.450000E+00     0.000000E+00
   -4.950000E+00     2.500000E+00     0.000000E+00
   -4.950000E+00     2.550000E+00     0.000000E+00
   -4.950000E+00     2.600000E+00     0.000000E+00
   -4.950000E+00     2.650000E+00     0.000000E+00
   -4.950000E+00     2.700000E+00     0.000000E+00
   -4.950000E+00     2.750000E+00     0.000000E+00
   -4.950000E+00     2.800000E+00     0.000000E+00
   -4.950000E+00     2.850000E+00     0.000000E+00
   -4.950000E+00     2.900000E+00     0.000000E+00
   -4.950000E+00     2.950000E+00     0.000000E+00
   -4.950000E+00     3.000000E+00     0.000000E+00
   -4.950000E+00     3.050000E+00     0.000000E+00
   -4.950000E+00     3.100000E+00     0.000000E+00
   -4.950000E+00     3.150000E+00     0.000000E+00
   -4.950000E+00     3.200000E+00     0.000000E+00
   -4.950000E+00     3.250000E+00     0.000000E+00
   -4.950000E+00     3.300000E+00     0.000000E+00
   -4.950000E+00     3.350000E+00     0.000000E+00
   -4.950000E+00     3.400000E+00     0.000000E+00
   -4.950000E+00     3.450000E+00     0.000000E+00
   -4.950000E+00     3.500000E+00     0.000000E+00
   -4.950000E+00     3.550000E+00     0.000000E+00
   -4.950000E+00     3.600000E+00     0.000000E+00
   -4.950000E+00     3.650000E+00     0.000000E+00
   -4.950000E+00     3.700000E+00     0.000000E+00
   -4.950000E+00     3.750000E+00     0.000000E+00
   -4.950000E+00     3.800000E+00     0.000000E+00
   -4.950000E+00     3.850000E+00     0.000000E+00
   -4.950000E+00     3.900000E+00     0.000000E+00
   -4.950000E+00     3.950000E+00     0.000000E+00
   -4.950000E+00     4.000000E+00     0.000000E+00
   -4.950000E+00     4.050000E+00     0.000000E+00
   -4.950000E+00     4.100000E+00     0.000000E+00
   -4.950000E+00     4.150000E+00     0.000000E+00
   -4.950000E+00     4.200000E+00     0.000000E+00
   -4.950000E+00     4.250000E+00     0.000000E+00
   -4.950000E+00     4.300000E+00     0.000000E+00
   -4.950000E+00     4.350000E+00     0.000000E+00
   -4.950000E+00     4.400000E+00     0.000000E+00
   -4.950000E+00     4.450000E+00     0.000000E+00
   -4.950000E+00     4.500000E+00     0.000000E+00
   -4.950000E+00     4.550000E+00     0.000000E+00
   -4.950000E+00     4.600000E+00     0.000000E+00
   -4.950000E+00     4.650000E+00     0.000000E+00
   -4.950000E+00     4.700000E+00     0.000000E+00
