# V0=9.0, s=0.5 
#  x1  x2  wavefunction
#   
   -4.950000E+00    -4.950000E+00     6.448074E-24
   -4.950000E+00    -4.900000E+00    -3.238469E-13
   -4.950000E+00    -4.850000E+00    -8.334449E-13
   -4.950000E+00    -4.800000E+00    -1.613345E-12
   -4.950000E+00    -4.750000E+00    -2.783228E-12
   -4.950000E+00    -4.700000E+00    -4.511191E-12
   -4.950000E+00    -4.650000E+00    -7.031411E-12
   -4.950000E+00    -4.600000E+00    -1.066755E-11
   -4.950000E+00    -4.550000E+00    -1.586317E-11
   -4.950000E+00    -4.500000E+00    -2.322079E-11
   -4.950000E+00    -4.450000E+00    -3.355194E-11
   -4.950000E+00    -4.400000E+00    -4.794049E-11
   -4.950000E+00    -4.350000E+00    -6.782104E-11
   -4.950000E+00    -4.300000E+00    -9.507668E-11
   -4.950000E+00    -4.250000E+00    -1.321594E-10
   -4.950000E+00    -4.200000E+00    -1.822356E-10
   -4.950000E+00    -4.150000E+00    -2.493626E-10
   -4.950000E+00    -4.100000E+00    -3.387023E-10
   -4.950000E+00    -4.050000E+00    -4.567742E-10
   -4.950000E+00    -4.000000E+00    -6.117570E-10
   -4.950000E+00    -3.950000E+00    -8.138476E-10
   -4.950000E+00    -3.900000E+00    -1.075680E-09
   -4.950000E+00    -3.850000E+00    -1.412818E-09
   -4.950000E+00    -3.800000E+00    -1.844336E-09
   -4.950000E+00    -3.750000E+00    -2.393478E-09
   -4.950000E+00    -3.700000E+00    -3.088435E-09
   -4.950000E+00    -3.650000E+00    -3.963236E-09
   -4.950000E+00    -3.600000E+00    -5.058758E-09
   -4.950000E+00    -3.550000E+00    -6.423878E-09
   -4.950000E+00    -3.500000E+00    -8.116788E-09
   -4.950000E+00    -3.450000E+00    -1.020646E-08
   -4.950000E+00    -3.400000E+00    -1.277428E-08
   -4.950000E+00    -3.350000E+00    -1.591586E-08
   -4.950000E+00    -3.300000E+00    -1.974308E-08
   -4.950000E+00    -3.250000E+00    -2.438626E-08
   -4.950000E+00    -3.200000E+00    -2.999653E-08
   -4.950000E+00    -3.150000E+00    -3.674845E-08
   -4.950000E+00    -3.100000E+00    -4.484271E-08
   -4.950000E+00    -3.050000E+00    -5.450912E-08
   -4.950000E+00    -3.000000E+00    -6.600960E-08
   -4.950000E+00    -2.950000E+00    -7.964142E-08
   -4.950000E+00    -2.900000E+00    -9.574046E-08
   -4.950000E+00    -2.850000E+00    -1.146845E-07
   -4.950000E+00    -2.800000E+00    -1.368965E-07
   -4.950000E+00    -2.750000E+00    -1.628481E-07
   -4.950000E+00    -2.700000E+00    -1.930621E-07
   -4.950000E+00    -2.650000E+00    -2.281161E-07
   -4.950000E+00    -2.600000E+00    -2.686447E-07
   -4.950000E+00    -2.550000E+00    -3.153414E-07
   -4.950000E+00    -2.500000E+00    -3.689610E-07
   -4.950000E+00    -2.450000E+00    -4.303198E-07
   -4.950000E+00    -2.400000E+00    -5.002967E-07
   -4.950000E+00    -2.350000E+00    -5.798322E-07
   -4.950000E+00    -2.300000E+00    -6.699267E-07
   -4.950000E+00    -2.250000E+00    -7.716385E-07
   -4.950000E+00    -2.200000E+00    -8.860795E-07
   -4.950000E+00    -2.150000E+00    -1.014410E-06
   -4.950000E+00    -2.100000E+00    -1.157833E-06
   -4.950000E+00    -2.050000E+00    -1.317583E-06
   -4.950000E+00    -2.000000E+00    -1.494923E-06
   -4.950000E+00    -1.950000E+00    -1.691124E-06
   -4.950000E+00    -1.900000E+00    -1.907459E-06
   -4.950000E+00    -1.850000E+00    -2.145188E-06
   -4.950000E+00    -1.800000E+00    -2.405539E-06
   -4.950000E+00    -1.750000E+00    -2.689690E-06
   -4.950000E+00    -1.700000E+00    -2.998755E-06
   -4.950000E+00    -1.650000E+00    -3.333757E-06
   -4.950000E+00    -1.600000E+00    -3.695614E-06
   -4.950000E+00    -1.550000E+00    -4.085111E-06
   -4.950000E+00    -1.500000E+00    -4.502882E-06
   -4.950000E+00    -1.450000E+00    -4.949385E-06
   -4.950000E+00    -1.400000E+00    -5.424879E-06
   -4.950000E+00    -1.350000E+00    -5.929408E-06
   -4.950000E+00    -1.300000E+00    -6.462775E-06
   -4.950000E+00    -1.250000E+00    -7.024521E-06
   -4.950000E+00    -1.200000E+00    -7.613916E-06
   -4.950000E+00    -1.150000E+00    -8.229939E-06
   -4.950000E+00    -1.100000E+00    -8.871266E-06
   -4.950000E+00    -1.050000E+00    -9.536260E-06
   -4.950000E+00    -1.000000E+00    -1.022297E-05
   -4.950000E+00    -9.500000E-01    -1.092914E-05
   -4.950000E+00    -9.000000E-01    -1.165217E-05
   -4.950000E+00    -8.500000E-01    -1.238918E-05
   -4.950000E+00    -8.000000E-01    -1.313699E-05
   -4.950000E+00    -7.500000E-01    -1.389214E-05
   -4.950000E+00    -7.000000E-01    -1.465091E-05
   -4.950000E+00    -6.500000E-01    -1.540937E-05
   -4.950000E+00    -6.000000E-01    -1.616337E-05
   -4.950000E+00    -5.500000E-01    -1.690860E-05
   -4.950000E+00    -5.000000E-01    -1.764065E-05
   -4.950000E+00    -4.500000E-01    -1.835500E-05
   -4.950000E+00    -4.000000E-01    -1.904711E-05
   -4.950000E+00    -3.500000E-01    -1.971244E-05
   -4.950000E+00    -3.000000E-01    -2.034651E-05
   -4.950000E+00    -2.500000E-01    -2.094496E-05
   -4.950000E+00    -2.000000E-01    -2.150359E-05
   -4.950000E+00    -1.500000E-01    -2.201839E-05
   -4.950000E+00    -1.000000E-01    -2.248562E-05
   -4.950000E+00    -5.000000E-02    -2.290185E-05
   -4.950000E+00     0.000000E+00    -2.326398E-05
   -4.950000E+00     5.000000E-02    -2.356927E-05
   -4.950000E+00     1.000000E-01    -2.381545E-05
   -4.950000E+00     1.500000E-01    -2.400065E-05
   -4.950000E+00     2.000000E-01    -2.412347E-05
   -4.950000E+00     2.500000E-01    -2.418300E-05
   -4.950000E+00     3.000000E-01    -2.417885E-05
   -4.950000E+00     3.500000E-01    -2.411110E-05
   -4.950000E+00     4.000000E-01    -2.398028E-05
   -4.950000E+00     4.500000E-01    -2.378751E-05
   -4.950000E+00     5.000000E-01    -2.353434E-05
   -4.950000E+00     5.500000E-01    -2.322270E-05
   -4.950000E+00     6.000000E-01    -2.285503E-05
   -4.950000E+00     6.500000E-01    -2.243414E-05
   -4.950000E+00     7.000000E-01    -2.196316E-05
   -4.950000E+00     7.500000E-01    -2.144550E-05
   -4.950000E+00     8.000000E-01    -2.088493E-05
   -4.950000E+00     8.500000E-01    -2.028538E-05
   -4.950000E+00     9.000000E-01    -1.965083E-05
   -4.950000E+00     9.500000E-01    -1.898554E-05
   -4.950000E+00     1.000000E+00    -1.829374E-05
   -4.950000E+00     1.050000E+00    -1.757957E-05
   -4.950000E+00     1.100000E+00    -1.684717E-05
   -4.950000E+00     1.150000E+00    -1.610058E-05
   -4.950000E+00     1.200000E+00    -1.534357E-05
   -4.950000E+00     1.250000E+00    -1.457959E-05
   -4.950000E+00     1.300000E+00    -1.381190E-05
   -4.950000E+00     1.350000E+00    -1.304328E-05
   -4.950000E+00     1.400000E+00    -1.227593E-05
   -4.950000E+00     1.450000E+00    -1.151158E-05
   -4.950000E+00     1.500000E+00    -1.075129E-05
   -4.950000E+00     1.550000E+00    -9.995207E-06
   -4.950000E+00     1.600000E+00    -9.242544E-06
   -4.950000E+00     1.650000E+00    -8.491499E-06
   -4.950000E+00     1.700000E+00    -7.738837E-06
   -4.950000E+00     1.750000E+00    -6.979674E-06
   -4.950000E+00     1.800000E+00    -6.207297E-06
   -4.950000E+00     1.850000E+00    -5.412613E-06
   -4.950000E+00     1.900000E+00    -4.583571E-06
   -4.950000E+00     1.950000E+00    -3.704610E-06
   -4.950000E+00     2.000000E+00    -2.756021E-06
   -4.950000E+00     2.050000E+00    -1.712123E-06
   -4.950000E+00     2.100000E+00     0.000000E+00
   -4.950000E+00     2.150000E+00     0.000000E+00
   -4.950000E+00     2.200000E+00     0.000000E+00
   -4.950000E+00     2.250000E+00     0.000000E+00
   -4.950000E+00     2.300000E+00     0.000000E+00
   -4.950000E+00     2.350000E+00     0.000000E+00
   -4.950000E+00     2.400000E+00     0.000000E+00
   -4.950000E+00     2.450000E+00     0.000000E+00
   -4.950000E+00     2.500000E+00     0.000000E+00
   -4.950000E+00     2.550000E+00     0.000000E+00
   -4.950000E+00     2.600000E+00     0.000000E+00
   -4.950000E+00     2.650000E+00     0.000000E+00
   -4.950000E+00     2.700000E+00     0.000000E+00
   -4.950000E+00     2.750000E+00     0.000000E+00
   -4.950000E+00     2.800000E+00     0.000000E+00
   -4.950000E+00     2.850000E+00     0.000000E+00
   -4.950000E+00     2.900000E+00     0.000000E+00
   -4.950000E+00     2.950000E+00     0.000000E+00
   -4.950000E+00     3.000000E+00     0.000000E+00
   -4.950000E+00     3.050000E+00     0.000000E+00
   -4.950000E+00     3.100000E+00     0.000000E+00
   -4.950000E+00     3.150000E+00     0.000000E+00
   -4.950000E+00     3.200000E+00     0.000000E+00
   -4.950000E+00     3.250000E+00     0.000000E+00
   -4.950000E+00     3.300000E+00     0.000000E+00
   -4.950000E+00     3.350000E+00     0.000000E+00
   -4.950000E+00     3.400000E+00     0.000000E+00
   -4.950000E+00     3.450000E+00     0.000000E+00
   -4.950000E+00     3.500000E+00     0.000000E+00
   -4.950000E+00     3.550000E+00     0.000000E+00
   -4.950000E+00     3.600000E+00     0.000000E+00
   -4.950000E+00     3.650000E+00     0.000000E+00
   -4.950000E+00     3.700000E+00     0.000000E+00
   -4.950000E+00     3.750000E+00     0.000000E+00
   -4.950000E+00     3.800000E+00     0.000000E+00
   -4.950000E+00     3.850000E+00     0.000000E+00
   -4.950000E+00     3.900000E+00     0.000000E+00
   -4.950000E+00     3.950000E+00     0.000000E+00
   -4.950000E+00     4.000000E+00     0.000000E+00
   -4.950000E+00     4.050000E+00     0.000000E+00
   -4.950000E+00     4.100000E+00     0.000000E+00
   -4.950000E+00     4.150000E+00     0.000000E+00
   -4.950000E+00     4.200000E+00     0.000000E+00
   -4.950000E+00     4.250000E+00     0.000000E+00
   -4.950000E+00     4.300000E+00     0.000000E+00
   -4.950000E+00     4.350000E+00     0.000000E+00
   -4.950000E+00     4.400000E+00     0.000000E+00
   -4.950000E+00     4.450000E+00     0.000000E+00
   -4.950000E+00     4.500000E+00     0.000000E+00
   -4.950000E+00     4.550000E+00     0.000000E+00
   -4.950000E+00     4.600000E+00     0.000000E+00
   -4.950000E+00     4.650000E+00     0.000000E+00
   -4.950000E+00     4.700000E+00     0.000000E+00
   -4.950000E+00     4.750000E+00     0.000000E+00
   -4.950000E+00     4.800000E+00     0.000000E+00
   -4.950000E+00     4.850000E+00     0.000000E+00
   -4.950000E+00     4.900000E+00     0.000000E+00
   -4.950000E+00     4.950000E+00     0.000000E+00
   -4.950000E+00     5.000000E+00     0.000000E+00
#   
   -4.900000E+00    -4.950000E+00     3.238469E-13
   -4.900000E+00    -4.900000E+00     1.055164E-23
   -4.900000E+00    -4.850000E+00    -5.286205E-13
   -4.900000E+00    -4.800000E+00    -1.357049E-12
   -4.900000E+00    -4.750000E+00    -2.620354E-12
   -4.900000E+00    -4.700000E+00    -4.509163E-12
   -4.900000E+00    -4.650000E+00    -7.290420E-12
   -4.900000E+00    -4.600000E+00    -1.133491E-11
   -4.900000E+00    -4.550000E+00    -1.715357E-11
   -4.900000E+00    -4.500000E+00    -2.544452E-11
   -4.900000E+00    -4.450000E+00    -3.715313E-11
   -4.900000E+00    -4.400000E+00    -5.354887E-11
   -4.900000E+00    -4.350000E+00    -7.632194E-11
   -4.900000E+00    -4.300000E+00    -1.077025E-10
   -4.900000E+00    -4.250000E+00    -1.506085E-10
   -4.900000E+00    -4.200000E+00    -2.088275E-10
   -4.900000E+00    -4.150000E+00    -2.872348E-10
   -4.900000E+00    -4.100000E+00    -3.920574E-10
