# V0=-19.0, s=0.5 
#  x1  x2  denmat
#   
   -4.950000E+00    -4.950000E+00     7.470579E-14
   -4.950000E+00    -4.900000E+00     9.857517E-14
   -4.950000E+00    -4.850000E+00     1.297822E-13
   -4.950000E+00    -4.800000E+00     1.704910E-13
   -4.950000E+00    -4.750000E+00     2.234754E-13
   -4.950000E+00    -4.700000E+00     2.922828E-13
   -4.950000E+00    -4.650000E+00     3.814386E-13
   -4.950000E+00    -4.600000E+00     4.967031E-13
   -4.950000E+00    -4.550000E+00     6.453906E-13
   -4.950000E+00    -4.500000E+00     8.367668E-13
   -4.950000E+00    -4.450000E+00     1.082542E-12
   -4.950000E+00    -4.400000E+00     1.397483E-12
   -4.950000E+00    -4.350000E+00     1.800164E-12
   -4.950000E+00    -4.300000E+00     2.313897E-12
   -4.950000E+00    -4.250000E+00     2.967870E-12
   -4.950000E+00    -4.200000E+00     3.798543E-12
   -4.950000E+00    -4.150000E+00     4.851355E-12
   -4.950000E+00    -4.100000E+00     6.182801E-12
   -4.950000E+00    -4.050000E+00     7.862958E-12
   -4.950000E+00    -4.000000E+00     9.978546E-12
   -4.950000E+00    -3.950000E+00     1.263663E-11
   -4.950000E+00    -3.900000E+00     1.596906E-11
   -4.950000E+00    -3.850000E+00     2.013788E-11
   -4.950000E+00    -3.800000E+00     2.534167E-11
   -4.950000E+00    -3.750000E+00     3.182327E-11
   -4.950000E+00    -3.700000E+00     3.987887E-11
   -4.950000E+00    -3.650000E+00     4.986885E-11
   -4.950000E+00    -3.600000E+00     6.223057E-11
   -4.950000E+00    -3.550000E+00     7.749340E-11
   -4.950000E+00    -3.500000E+00     9.629643E-11
   -4.950000E+00    -3.450000E+00     1.194090E-10
   -4.950000E+00    -3.400000E+00     1.477549E-10
   -4.950000E+00    -3.350000E+00     1.824397E-10
   -4.950000E+00    -3.300000E+00     2.247829E-10
   -4.950000E+00    -3.250000E+00     2.763543E-10
   -4.950000E+00    -3.200000E+00     3.390154E-10
   -4.950000E+00    -3.150000E+00     4.149658E-10
   -4.950000E+00    -3.100000E+00     5.067956E-10
   -4.950000E+00    -3.050000E+00     6.175431E-10
   -4.950000E+00    -3.000000E+00     7.507577E-10
   -4.950000E+00    -2.950000E+00     9.105692E-10
   -4.950000E+00    -2.900000E+00     1.101760E-09
   -4.950000E+00    -2.850000E+00     1.329843E-09
   -4.950000E+00    -2.800000E+00     1.601140E-09
   -4.950000E+00    -2.750000E+00     1.922861E-09
   -4.950000E+00    -2.700000E+00     2.303180E-09
   -4.950000E+00    -2.650000E+00     2.751306E-09
   -4.950000E+00    -2.600000E+00     3.277546E-09
   -4.950000E+00    -2.550000E+00     3.893345E-09
   -4.950000E+00    -2.500000E+00     4.611313E-09
   -4.950000E+00    -2.450000E+00     5.445216E-09
   -4.950000E+00    -2.400000E+00     6.409938E-09
   -4.950000E+00    -2.350000E+00     7.521392E-09
   -4.950000E+00    -2.300000E+00     8.796377E-09
   -4.950000E+00    -2.250000E+00     1.025237E-08
   -4.950000E+00    -2.200000E+00     1.190727E-08
   -4.950000E+00    -2.150000E+00     1.377898E-08
   -4.950000E+00    -2.100000E+00     1.588505E-08
   -4.950000E+00    -2.050000E+00     1.824204E-08
   -4.950000E+00    -2.000000E+00     2.086494E-08
   -4.950000E+00    -1.950000E+00     2.376642E-08
   -4.950000E+00    -1.900000E+00     2.695599E-08
   -4.950000E+00    -1.850000E+00     3.043912E-08
   -4.950000E+00    -1.800000E+00     3.421626E-08
   -4.950000E+00    -1.750000E+00     3.828183E-08
   -4.950000E+00    -1.700000E+00     4.262323E-08
   -4.950000E+00    -1.650000E+00     4.721982E-08
   -4.950000E+00    -1.600000E+00     5.204202E-08
   -4.950000E+00    -1.550000E+00     5.705048E-08
   -4.950000E+00    -1.500000E+00     6.219552E-08
   -4.950000E+00    -1.450000E+00     6.741663E-08
   -4.950000E+00    -1.400000E+00     7.264240E-08
   -4.950000E+00    -1.350000E+00     7.779070E-08
   -4.950000E+00    -1.300000E+00     8.276925E-08
   -4.950000E+00    -1.250000E+00     8.747659E-08
   -4.950000E+00    -1.200000E+00     9.180350E-08
   -4.950000E+00    -1.150000E+00     9.563484E-08
   -4.950000E+00    -1.100000E+00     9.885182E-08
   -4.950000E+00    -1.050000E+00     1.013347E-07
   -4.950000E+00    -1.000000E+00     1.029658E-07
   -4.950000E+00    -9.500000E-01     1.036327E-07
   -4.950000E+00    -9.000000E-01     1.032318E-07
   -4.950000E+00    -8.500000E-01     1.016721E-07
   -4.950000E+00    -8.000000E-01     9.887812E-08
   -4.950000E+00    -7.500000E-01     9.479362E-08
   -4.950000E+00    -7.000000E-01     8.938446E-08
   -4.950000E+00    -6.500000E-01     8.264107E-08
   -4.950000E+00    -6.000000E-01     7.458033E-08
   -4.950000E+00    -5.500000E-01     6.524680E-08
   -4.950000E+00    -5.000000E-01     5.471309E-08
   -4.950000E+00    -4.500000E-01     4.307944E-08
   -4.950000E+00    -4.000000E-01     3.047237E-08
   -4.950000E+00    -3.500000E-01     1.704247E-08
   -4.950000E+00    -3.000000E-01     2.961446E-09
   -4.950000E+00    -2.500000E-01    -1.158170E-08
   -4.950000E+00    -2.000000E-01    -2.638500E-08
   -4.950000E+00    -1.500000E-01    -4.123838E-08
   -4.950000E+00    -1.000000E-01    -5.592878E-08
   -4.950000E+00    -5.000000E-02    -7.024550E-08
   -4.950000E+00     0.000000E+00    -8.398535E-08
   -4.950000E+00     5.000000E-02    -9.695763E-08
   -4.950000E+00     1.000000E-01    -1.089887E-07
   -4.950000E+00     1.500000E-01    -1.199259E-07
   -4.950000E+00     2.000000E-01    -1.296408E-07
   -4.950000E+00     2.500000E-01    -1.380318E-07
   -4.950000E+00     3.000000E-01    -1.450254E-07
   -4.950000E+00     3.500000E-01    -1.505772E-07
   -4.950000E+00     4.000000E-01    -1.546716E-07
   -4.950000E+00     4.500000E-01    -1.573208E-07
   -4.950000E+00     5.000000E-01    -1.585628E-07
   -4.950000E+00     5.500000E-01    -1.584595E-07
   -4.950000E+00     6.000000E-01    -1.570933E-07
   -4.950000E+00     6.500000E-01    -1.545640E-07
   -4.950000E+00     7.000000E-01    -1.509850E-07
   -4.950000E+00     7.500000E-01    -1.464799E-07
   -4.950000E+00     8.000000E-01    -1.411787E-07
   -4.950000E+00     8.500000E-01    -1.352142E-07
   -4.950000E+00     9.000000E-01    -1.287188E-07
   -4.950000E+00     9.500000E-01    -1.218217E-07
   -4.950000E+00     1.000000E+00    -1.146460E-07
   -4.950000E+00     1.050000E+00    -1.073072E-07
   -4.950000E+00     1.100000E+00    -9.991061E-08
   -4.950000E+00     1.150000E+00    -9.255116E-08
   -4.950000E+00     1.200000E+00    -8.531196E-08
   -4.950000E+00     1.250000E+00    -7.826419E-08
   -4.950000E+00     1.300000E+00    -7.146708E-08
   -4.950000E+00     1.350000E+00    -6.496820E-08
   -4.950000E+00     1.400000E+00    -5.880409E-08
   -4.950000E+00     1.450000E+00    -5.300098E-08
   -4.950000E+00     1.500000E+00    -4.757580E-08
   -4.950000E+00     1.550000E+00    -4.253712E-08
   -4.950000E+00     1.600000E+00    -3.788632E-08
   -4.950000E+00     1.650000E+00    -3.361863E-08
   -4.950000E+00     1.700000E+00    -2.972417E-08
   -4.950000E+00     1.750000E+00    -2.618902E-08
   -4.950000E+00     1.800000E+00    -2.299613E-08
   -4.950000E+00     1.850000E+00    -2.012616E-08
   -4.950000E+00     1.900000E+00    -1.755824E-08
   -4.950000E+00     1.950000E+00    -1.527062E-08
   -4.950000E+00     2.000000E+00    -1.324123E-08
   -4.950000E+00     2.050000E+00    -1.144816E-08
   -4.950000E+00     2.100000E+00    -9.869967E-09
   -4.950000E+00     2.150000E+00    -8.486038E-09
   -4.950000E+00     2.200000E+00    -7.276758E-09
   -4.950000E+00     2.250000E+00    -6.223681E-09
   -4.950000E+00     2.300000E+00    -5.309628E-09
   -4.950000E+00     2.350000E+00    -4.518735E-09
   -4.950000E+00     2.400000E+00    -3.836475E-09
   -4.950000E+00     2.450000E+00    -3.249635E-09
   -4.950000E+00     2.500000E+00    -2.746283E-09
   -4.950000E+00     2.550000E+00    -2.315708E-09
   -4.950000E+00     2.600000E+00    -1.948349E-09
   -4.950000E+00     2.650000E+00    -1.635718E-09
