# V0=3.0, s=0.5 
#  x1  x2  denmat
#   
   -4.950000E+00    -4.950000E+00     1.066272E-09
   -4.950000E+00    -4.900000E+00     1.349182E-09
   -4.950000E+00    -4.850000E+00     1.702310E-09
   -4.950000E+00    -4.800000E+00     2.141897E-09
   -4.950000E+00    -4.750000E+00     2.687619E-09
   -4.950000E+00    -4.700000E+00     3.363248E-09
   -4.950000E+00    -4.650000E+00     4.197405E-09
   -4.950000E+00    -4.600000E+00     5.224440E-09
   -4.950000E+00    -4.550000E+00     6.485442E-09
   -4.950000E+00    -4.500000E+00     8.029398E-09
   -4.950000E+00    -4.450000E+00     9.914514E-09
   -4.950000E+00    -4.400000E+00     1.220972E-08
   -4.950000E+00    -4.350000E+00     1.499636E-08
   -4.950000E+00    -4.300000E+00     1.837011E-08
   -4.950000E+00    -4.250000E+00     2.244308E-08
   -4.950000E+00    -4.200000E+00     2.734621E-08
   -4.950000E+00    -4.150000E+00     3.323187E-08
   -4.950000E+00    -4.100000E+00     4.027670E-08
   -4.950000E+00    -4.050000E+00     4.868476E-08
   -4.950000E+00    -4.000000E+00     5.869089E-08
   -4.950000E+00    -3.950000E+00     7.056430E-08
   -4.950000E+00    -3.900000E+00     8.461246E-08
   -4.950000E+00    -3.850000E+00     1.011851E-07
   -4.950000E+00    -3.800000E+00     1.206785E-07
   -4.950000E+00    -3.750000E+00     1.435396E-07
   -4.950000E+00    -3.700000E+00     1.702709E-07
   -4.950000E+00    -3.650000E+00     2.014343E-07
   -4.950000E+00    -3.600000E+00     2.376556E-07
   -4.950000E+00    -3.550000E+00     2.796290E-07
   -4.950000E+00    -3.500000E+00     3.281202E-07
   -4.950000E+00    -3.450000E+00     3.839704E-07
   -4.950000E+00    -3.400000E+00     4.480985E-07
   -4.950000E+00    -3.350000E+00     5.215036E-07
   -4.950000E+00    -3.300000E+00     6.052657E-07
   -4.950000E+00    -3.250000E+00     7.005457E-07
   -4.950000E+00    -3.200000E+00     8.085839E-07
   -4.950000E+00    -3.150000E+00     9.306970E-07
   -4.950000E+00    -3.100000E+00     1.068274E-06
   -4.950000E+00    -3.050000E+00     1.222767E-06
   -4.950000E+00    -3.000000E+00     1.395686E-06
   -4.950000E+00    -2.950000E+00     1.588585E-06
   -4.950000E+00    -2.900000E+00     1.803048E-06
   -4.950000E+00    -2.850000E+00     2.040673E-06
   -4.950000E+00    -2.800000E+00     2.303055E-06
   -4.950000E+00    -2.750000E+00     2.591758E-06
   -4.950000E+00    -2.700000E+00     2.908295E-06
   -4.950000E+00    -2.650000E+00     3.254098E-06
   -4.950000E+00    -2.600000E+00     3.630490E-06
   -4.950000E+00    -2.550000E+00     4.038647E-06
   -4.950000E+00    -2.500000E+00     4.479566E-06
   -4.950000E+00    -2.450000E+00     4.954030E-06
   -4.950000E+00    -2.400000E+00     5.462566E-06
   -4.950000E+00    -2.350000E+00     6.005407E-06
   -4.950000E+00    -2.300000E+00     6.582455E-06
   -4.950000E+00    -2.250000E+00     7.193243E-06
   -4.950000E+00    -2.200000E+00     7.836895E-06
   -4.950000E+00    -2.150000E+00     8.512095E-06
   -4.950000E+00    -2.100000E+00     9.217055E-06
   -4.950000E+00    -2.050000E+00     9.949491E-06
   -4.950000E+00    -2.000000E+00     1.070660E-05
   -4.950000E+00    -1.950000E+00     1.148504E-05
   -4.950000E+00    -1.900000E+00     1.228095E-05
   -4.950000E+00    -1.850000E+00     1.308991E-05
   -4.950000E+00    -1.800000E+00     1.390697E-05
   -4.950000E+00    -1.750000E+00     1.472669E-05
   -4.950000E+00    -1.700000E+00     1.554314E-05
   -4.950000E+00    -1.650000E+00     1.634996E-05
   -4.950000E+00    -1.600000E+00     1.714040E-05
   -4.950000E+00    -1.550000E+00     1.790739E-05
   -4.950000E+00    -1.500000E+00     1.864359E-05
   -4.950000E+00    -1.450000E+00     1.934149E-05
   -4.950000E+00    -1.400000E+00     1.999350E-05
   -4.950000E+00    -1.350000E+00     2.059202E-05
   -4.950000E+00    -1.300000E+00     2.112958E-05
   -4.950000E+00    -1.250000E+00     2.159888E-05
   -4.950000E+00    -1.200000E+00     2.199295E-05
   -4.950000E+00    -1.150000E+00     2.230523E-05
   -4.950000E+00    -1.100000E+00     2.252967E-05
   -4.950000E+00    -1.050000E+00     2.266082E-05
   -4.950000E+00    -1.000000E+00     2.269393E-05
   -4.950000E+00    -9.500000E-01     2.262503E-05
   -4.950000E+00    -9.000000E-01     2.245100E-05
   -4.950000E+00    -8.500000E-01     2.216960E-05
   -4.950000E+00    -8.000000E-01     2.177955E-05
   -4.950000E+00    -7.500000E-01     2.128057E-05
   -4.950000E+00    -7.000000E-01     2.067335E-05
   -4.950000E+00    -6.500000E-01     1.995957E-05
   -4.950000E+00    -6.000000E-01     1.914194E-05
   -4.950000E+00    -5.500000E-01     1.822409E-05
   -4.950000E+00    -5.000000E-01     1.721059E-05
   -4.950000E+00    -4.500000E-01     1.610688E-05
   -4.950000E+00    -4.000000E-01     1.491923E-05
   -4.950000E+00    -3.500000E-01     1.365463E-05
   -4.950000E+00    -3.000000E-01     1.232075E-05
   -4.950000E+00    -2.500000E-01     1.092586E-05
   -4.950000E+00    -2.000000E-01     9.478721E-06
   -4.950000E+00    -1.500000E-01     7.988499E-06
   -4.950000E+00    -1.000000E-01     6.464689E-06
   -4.950000E+00    -5.000000E-02     4.917019E-06
   -4.950000E+00     0.000000E+00     3.355353E-06
   -4.950000E+00     5.000000E-02     1.789606E-06
   -4.950000E+00     1.000000E-01     2.296577E-07
   -4.950000E+00     1.500000E-01    -1.314736E-06
   -4.950000E+00     2.000000E-01    -2.834022E-06
   -4.950000E+00     2.500000E-01    -4.318935E-06
   -4.950000E+00     3.000000E-01    -5.760570E-06
   -4.950000E+00     3.500000E-01    -7.150454E-06
   -4.950000E+00     4.000000E-01    -8.480622E-06
   -4.950000E+00     4.500000E-01    -9.743677E-06
   -4.950000E+00     5.000000E-01    -1.093285E-05
   -4.950000E+00     5.500000E-01    -1.204207E-05
   -4.950000E+00     6.000000E-01    -1.306599E-05
   -4.950000E+00     6.500000E-01    -1.400004E-05
   -4.950000E+00     7.000000E-01    -1.484049E-05
   -4.950000E+00     7.500000E-01    -1.558443E-05
   -4.950000E+00     8.000000E-01    -1.622982E-05
   -4.950000E+00     8.500000E-01    -1.677551E-05
   -4.950000E+00     9.000000E-01    -1.722121E-05
   -4.950000E+00     9.500000E-01    -1.756749E-05
   -4.950000E+00     1.000000E+00    -1.781576E-05
   -4.950000E+00     1.050000E+00    -1.796826E-05
   -4.950000E+00     1.100000E+00    -1.802797E-05
   -4.950000E+00     1.150000E+00    -1.799859E-05
   -4.950000E+00     1.200000E+00    -1.788449E-05
   -4.950000E+00     1.250000E+00    -1.769061E-05
   -4.950000E+00     1.300000E+00    -1.742239E-05
