# V0=-9.0, s=0.5 
#   x [ho units]    Density [ho units]
   -4.950000E+00     2.553172E-11
   -4.900000E+00     4.196777E-11
   -4.850000E+00     6.863416E-11
   -4.800000E+00     1.116765E-10
   -4.750000E+00     1.807958E-10
   -4.700000E+00     2.912233E-10
   -4.650000E+00     4.667467E-10
   -4.600000E+00     7.443183E-10
   -4.550000E+00     1.181035E-09
   -4.500000E+00     1.864650E-09
   -4.450000E+00     2.929312E-09
   -4.400000E+00     4.578998E-09
   -4.350000E+00     7.122201E-09
   -4.300000E+00     1.102298E-08
   -4.250000E+00     1.697566E-08
   -4.200000E+00     2.601349E-08
   -4.150000E+00     3.966583E-08
   -4.100000E+00     6.018406E-08
   -4.050000E+00     9.086456E-08
   -4.000000E+00     1.365075E-07
   -3.950000E+00     2.040651E-07
   -3.900000E+00     3.035511E-07
   -3.850000E+00     4.493102E-07
   -3.800000E+00     6.617791E-07
   -3.750000E+00     9.699126E-07
   -3.700000E+00     1.414509E-06
   -3.650000E+00     2.052734E-06
   -3.600000E+00     2.964246E-06
   -3.550000E+00     4.259423E-06
   -3.500000E+00     6.090354E-06
   -3.450000E+00     8.665425E-06
   -3.400000E+00     1.226854E-05
   -3.350000E+00     1.728431E-05
   -3.300000E+00     2.423076E-05
   -3.250000E+00     3.380162E-05
   -3.200000E+00     4.692057E-05
   -3.150000E+00     6.481026E-05
   -3.100000E+00     8.907956E-05
   -3.050000E+00     1.218330E-04
   -3.000000E+00     1.658070E-04
   -2.950000E+00     2.245379E-04
   -2.900000E+00     3.025682E-04
   -2.850000E+00     4.056959E-04
   -2.800000E+00     5.412750E-04
   -2.750000E+00     7.185733E-04
   -2.700000E+00     9.491939E-04
   -2.650000E+00     1.247566E-03
   -2.600000E+00     1.631512E-03
   -2.550000E+00     2.122889E-03
   -2.500000E+00     2.748309E-03
   -2.450000E+00     3.539933E-03
   -2.400000E+00     4.536329E-03
   -2.350000E+00     5.783377E-03
   -2.300000E+00     7.335199E-03
   -2.250000E+00     9.255088E-03
   -2.200000E+00     1.161638E-02
   -2.150000E+00     1.450322E-02
   -2.100000E+00     1.801118E-02
   -2.050000E+00     2.224760E-02
   -2.000000E+00     2.733161E-02
   -1.950000E+00     3.339374E-02
   -1.900000E+00     4.057499E-02
   -1.850000E+00     4.902526E-02
   -1.800000E+00     5.890111E-02
   -1.750000E+00     7.036268E-02
   -1.700000E+00     8.356985E-02
   -1.650000E+00     9.867751E-02
   -1.600000E+00     1.158300E-01
   -1.550000E+00     1.351551E-01
   -1.500000E+00     1.567570E-01
   -1.450000E+00     1.807092E-01
   -1.400000E+00     2.070478E-01
   -1.350000E+00     2.357646E-01
   -1.300000E+00     2.668006E-01
   -1.250000E+00     3.000422E-01
   -1.200000E+00     3.353173E-01
   -1.150000E+00     3.723945E-01
   -1.100000E+00     4.109844E-01
   -1.050000E+00     4.507441E-01
   -1.000000E+00     4.912833E-01
   -9.500000E-01     5.321746E-01
   -9.000000E-01     5.729653E-01
   -8.500000E-01     6.131913E-01
   -8.000000E-01     6.523931E-01
   -7.500000E-01     6.901316E-01
   -7.000000E-01     7.260038E-01
   -6.500000E-01     7.596572E-01
   -6.000000E-01     7.908020E-01
   -5.500000E-01     8.192194E-01
   -5.000000E-01     8.447668E-01
   -4.500000E-01     8.673781E-01
   -4.000000E-01     8.870591E-01
   -3.500000E-01     9.038793E-01
   -3.000000E-01     9.179590E-01
   -2.500000E-01     9.294539E-01
   -2.000000E-01     9.385377E-01
   -1.500000E-01     9.453836E-01
   -1.000000E-01     9.501478E-01
   -5.000000E-02     9.529534E-01
    0.000000E+00     9.538796E-01
    5.000000E-02     9.529534E-01
    1.000000E-01     9.501478E-01
    1.500000E-01     9.453836E-01
    2.000000E-01     9.385377E-01
    2.500000E-01     9.294539E-01
    3.000000E-01     9.179590E-01
    3.500000E-01     9.038793E-01
    4.000000E-01     8.870591E-01
    4.500000E-01     8.673781E-01
