# V0=16.0, s=0.5 
#   x [ho units]    Relative wf [ho units]
   -4.950000E+00     5.630419E-10
   -4.900000E+00     2.368524E-09
   -4.850000E+00     5.781247E-09
   -4.800000E+00     1.147122E-08
   -4.750000E+00     2.052328E-08
   -4.700000E+00     3.461369E-08
   -4.650000E+00     5.627729E-08
   -4.600000E+00     8.930068E-08
   -4.550000E+00     1.392920E-07
   -4.500000E+00     2.144985E-07
   -4.450000E+00     3.269694E-07
   -4.400000E+00     4.941989E-07
   -4.350000E+00     7.414290E-07
   -4.300000E+00     1.104857E-06
   -4.250000E+00     1.636066E-06
   -4.200000E+00     2.408110E-06
   -4.150000E+00     3.523803E-06
   -4.100000E+00     5.126925E-06
   -4.050000E+00     7.417265E-06
   -4.000000E+00     1.067066E-05
   -3.950000E+00     1.526549E-05
   -3.900000E+00     2.171737E-05
   -3.850000E+00     3.072430E-05
   -3.800000E+00     4.322493E-05
   -3.750000E+00     6.047289E-05
   -3.700000E+00     8.413116E-05
   -3.650000E+00     1.163904E-04
   -3.600000E+00     1.601162E-04
   -3.550000E+00     2.190303E-04
   -3.500000E+00     2.979311E-04
   -3.450000E+00     4.029602E-04
   -3.400000E+00     5.419190E-04
   -3.350000E+00     7.246414E-04
   -3.300000E+00     9.634263E-04
   -3.250000E+00     1.273533E-03
   -3.200000E+00     1.673736E-03
   -3.150000E+00     2.186943E-03
   -3.100000E+00     2.840858E-03
   -3.050000E+00     3.668683E-03
   -3.000000E+00     4.709838E-03
   -2.950000E+00     6.010663E-03
   -2.900000E+00     7.625078E-03
   -2.850000E+00     9.615143E-03
   -2.800000E+00     1.205146E-02
   -2.750000E+00     1.501336E-02
   -2.700000E+00     1.858881E-02
   -2.650000E+00     2.287389E-02
   -2.600000E+00     2.797189E-02
   -2.550000E+00     3.399175E-02
   -2.500000E+00     4.104598E-02
   -2.450000E+00     4.924778E-02
   -2.400000E+00     5.870746E-02
   -2.350000E+00     6.952805E-02
   -2.300000E+00     8.180021E-02
   -2.250000E+00     9.559630E-02
   -2.200000E+00     1.109640E-01
   -2.150000E+00     1.279194E-01
   -2.100000E+00     1.464398E-01
   -2.050000E+00     1.664571E-01
   -2.000000E+00     1.878507E-01
   -1.950000E+00     2.104424E-01
   -1.900000E+00     2.339915E-01
   -1.850000E+00     2.581928E-01
   -1.800000E+00     2.826758E-01
   -1.750000E+00     3.070076E-01
   -1.700000E+00     3.306978E-01
   -1.650000E+00     3.532081E-01
   -1.600000E+00     3.739639E-01
   -1.550000E+00     3.923711E-01
   -1.500000E+00     4.078348E-01
   -1.450000E+00     4.197820E-01
   -1.400000E+00     4.276867E-01
   -1.350000E+00     4.310963E-01
   -1.300000E+00     4.296594E-01
   -1.250000E+00     4.231526E-01
   -1.200000E+00     4.115062E-01
   -1.150000E+00     3.948256E-01
   -1.100000E+00     3.734073E-01
   -1.050000E+00     3.477461E-01
   -1.000000E+00     3.185308E-01
   -9.500000E-01     2.866256E-01
   -9.000000E-01     2.530350E-01
   -8.500000E-01     2.188506E-01
   -8.000000E-01     1.851827E-01
   -7.500000E-01     1.530819E-01
   -7.000000E-01     1.234586E-01
   -6.500000E-01     9.701371E-02
   -6.000000E-01     7.419045E-02
   -5.500000E-01     5.515760E-02
   -5.000000E-01     3.982661E-02
   -4.500000E-01     2.789880E-02
   -4.000000E-01     1.893230E-02
   -3.500000E-01     1.241492E-02
   -3.000000E-01     7.829862E-03
   -2.500000E-01     4.705125E-03
   -2.000000E-01     2.643089E-03
   -1.500000E-01     1.332047E-03
   -1.000000E-01     5.446254E-04
   -5.000000E-02     1.292315E-04
    0.000000E+00     1.234713E-25
    5.000000E-02     1.292315E-04
    1.000000E-01     5.446254E-04
    1.500000E-01     1.332047E-03
    2.000000E-01     2.643089E-03
    2.500000E-01     4.705125E-03
    3.000000E-01     7.829862E-03
    3.500000E-01     1.241492E-02
    4.000000E-01     1.893230E-02
    4.500000E-01     2.789880E-02
    5.000000E-01     3.982661E-02
    5.500000E-01     5.515760E-02
    6.000000E-01     7.419045E-02
    6.500000E-01     9.701371E-02
    7.000000E-01     1.234586E-01
    7.500000E-01     1.530819E-01
    8.000000E-01     1.851827E-01
    8.500000E-01     2.188506E-01
    9.000000E-01     2.530350E-01
    9.500000E-01     2.866256E-01
    1.000000E+00     3.185308E-01
    1.050000E+00     3.477461E-01
    1.100000E+00     3.734073E-01
    1.150000E+00     3.948256E-01
    1.200000E+00     4.115062E-01
    1.250000E+00     4.231526E-01
    1.300000E+00     4.296594E-01
    1.350000E+00     4.310963E-01
    1.400000E+00     4.276867E-01
    1.450000E+00     4.197820E-01
    1.500000E+00     4.078348E-01
    1.550000E+00     3.923711E-01
    1.600000E+00     3.739639E-01
    1.650000E+00     3.532081E-01
    1.700000E+00     3.306978E-01
    1.750000E+00     3.070076E-01
    1.800000E+00     2.826758E-01
    1.850000E+00     2.581928E-01
    1.900000E+00     2.339915E-01
    1.950000E+00     2.104424E-01
    2.000000E+00     1.878507E-01
    2.050000E+00     1.664571E-01
    2.100000E+00     1.464398E-01
    2.150000E+00     1.279194E-01
    2.200000E+00     1.109640E-01
    2.250000E+00     9.559630E-02
    2.300000E+00     8.180021E-02
    2.350000E+00     6.952805E-02
    2.400000E+00     5.870746E-02
    2.450000E+00     4.924778E-02
    2.500000E+00     4.104598E-02
    2.550000E+00     3.399175E-02
    2.600000E+00     2.797189E-02
    2.650000E+00     2.287389E-02
    2.700000E+00     1.858881E-02
    2.750000E+00     1.501336E-02
    2.800000E+00     1.205146E-02
    2.850000E+00     9.615143E-03
    2.900000E+00     7.625078E-03
    2.950000E+00     6.010663E-03
    3.000000E+00     4.709838E-03
    3.050000E+00     3.668683E-03
    3.100000E+00     2.840858E-03
    3.150000E+00     2.186943E-03
    3.200000E+00     1.673736E-03
    3.250000E+00     1.273533E-03
    3.300000E+00     9.634263E-04
    3.350000E+00     7.246414E-04
    3.400000E+00     5.419190E-04
