# V0=-17.0, s=0.5 
#   x [ho units]    Relative wf [ho units]
   -4.950000E+00    -5.930603E-08
   -4.900000E+00    -1.228216E-07
   -4.850000E+00    -1.949164E-07
   -4.800000E+00    -2.803915E-07
   -4.750000E+00    -3.847766E-07
   -4.700000E+00    -5.146500E-07
   -4.650000E+00    -6.780024E-07
   -4.600000E+00    -8.846612E-07
   -4.550000E+00    -1.146795E-06
   -4.500000E+00    -1.479517E-06
   -4.450000E+00    -1.901620E-06
   -4.400000E+00    -2.436457E-06
   -4.350000E+00    -3.113016E-06
   -4.300000E+00    -3.967216E-06
   -4.250000E+00    -5.043475E-06
   -4.200000E+00    -6.396600E-06
   -4.150000E+00    -8.094059E-06
   -4.100000E+00    -1.021871E-05
   -4.050000E+00    -1.287208E-05
   -4.000000E+00    -1.617822E-05
   -3.950000E+00    -2.028841E-05
   -3.900000E+00    -2.538661E-05
   -3.850000E+00    -3.169599E-05
   -3.800000E+00    -3.948666E-05
   -3.750000E+00    -4.908470E-05
   -3.700000E+00    -6.088277E-05
   -3.650000E+00    -7.535263E-05
   -3.600000E+00    -9.305958E-05
   -3.550000E+00    -1.146795E-04
   -3.500000E+00    -1.410182E-04
   -3.450000E+00    -1.730346E-04
   -3.400000E+00    -2.118665E-04
   -3.350000E+00    -2.588610E-04
   -3.300000E+00    -3.156090E-04
   -3.250000E+00    -3.839850E-04
   -3.200000E+00    -4.661921E-04
   -3.150000E+00    -5.648136E-04
   -3.100000E+00    -6.828714E-04
   -3.050000E+00    -8.238921E-04
   -3.000000E+00    -9.919813E-04
   -2.950000E+00    -1.191908E-03
   -2.900000E+00    -1.429198E-03
   -2.850000E+00    -1.710241E-03
   -2.800000E+00    -2.042407E-03
   -2.750000E+00    -2.434174E-03
   -2.700000E+00    -2.895282E-03
   -2.650000E+00    -3.436885E-03
   -2.600000E+00    -4.071734E-03
   -2.550000E+00    -4.814371E-03
   -2.500000E+00    -5.681346E-03
   -2.450000E+00    -6.691451E-03
   -2.400000E+00    -7.865981E-03
   -2.350000E+00    -9.229010E-03
   -2.300000E+00    -1.080771E-02
   -2.250000E+00    -1.263267E-02
   -2.200000E+00    -1.473826E-02
   -2.150000E+00    -1.716304E-02
   -2.100000E+00    -1.995018E-02
   -2.050000E+00    -2.314788E-02
   -2.000000E+00    -2.680991E-02
   -1.950000E+00    -3.099613E-02
   -1.900000E+00    -3.577305E-02
   -1.850000E+00    -4.121444E-02
   -1.800000E+00    -4.740202E-02
   -1.750000E+00    -5.442614E-02
   -1.700000E+00    -6.238655E-02
   -1.650000E+00    -7.139320E-02
   -1.600000E+00    -8.156717E-02
   -1.550000E+00    -9.304149E-02
   -1.500000E+00    -1.059622E-01
   -1.450000E+00    -1.204892E-01
   -1.400000E+00    -1.367976E-01
   -1.350000E+00    -1.550777E-01
   -1.300000E+00    -1.755368E-01
   -1.250000E+00    -1.983981E-01
   -1.200000E+00    -2.239006E-01
   -1.150000E+00    -2.522960E-01
   -1.100000E+00    -2.838439E-01
   -1.050000E+00    -3.188024E-01
   -1.000000E+00    -3.574119E-01
   -9.500000E-01    -3.998713E-01
   -9.000000E-01    -4.462996E-01
   -8.500000E-01    -4.966831E-01
   -8.000000E-01    -5.508006E-01
   -7.500000E-01    -6.081264E-01
   -7.000000E-01    -6.677097E-01
   -6.500000E-01    -7.280377E-01
   -6.000000E-01    -7.868939E-01
   -5.500000E-01    -8.412397E-01
   -5.000000E-01    -8.871558E-01
   -4.500000E-01    -9.198946E-01
   -4.000000E-01    -9.340948E-01
   -3.500000E-01    -9.242024E-01
   -3.000000E-01    -8.851061E-01
   -2.500000E-01    -8.129420E-01
   -2.000000E-01    -7.059566E-01
   -1.500000E-01    -5.652503E-01
   -1.000000E-01    -3.952015E-01
   -5.000000E-02    -2.033979E-01
    0.000000E+00     4.634325E-14
    5.000000E-02     2.033979E-01
    1.000000E-01     3.952015E-01
    1.500000E-01     5.652503E-01
    2.000000E-01     7.059566E-01
    2.500000E-01     8.129420E-01
    3.000000E-01     8.851061E-01
    3.500000E-01     9.242024E-01
    4.000000E-01     9.340948E-01
    4.500000E-01     9.198946E-01
    5.000000E-01     8.871558E-01
    5.500000E-01     8.412397E-01
    6.000000E-01     7.868939E-01
    6.500000E-01     7.280377E-01
    7.000000E-01     6.677097E-01
    7.500000E-01     6.081264E-01
    8.000000E-01     5.508006E-01
    8.500000E-01     4.966831E-01
    9.000000E-01     4.462996E-01
    9.500000E-01     3.998713E-01
    1.000000E+00     3.574119E-01
    1.050000E+00     3.188024E-01
    1.100000E+00     2.838439E-01
    1.150000E+00     2.522960E-01
    1.200000E+00     2.239006E-01
    1.250000E+00     1.983981E-01
    1.300000E+00     1.755368E-01
    1.350000E+00     1.550777E-01
    1.400000E+00     1.367976E-01
    1.450000E+00     1.204892E-01
    1.500000E+00     1.059622E-01
    1.550000E+00     9.304149E-02
    1.600000E+00     8.156717E-02
    1.650000E+00     7.139320E-02
    1.700000E+00     6.238655E-02
    1.750000E+00     5.442614E-02
    1.800000E+00     4.740202E-02
    1.850000E+00     4.121444E-02
    1.900000E+00     3.577305E-02
    1.950000E+00     3.099613E-02
    2.000000E+00     2.680991E-02
    2.050000E+00     2.314788E-02
    2.100000E+00     1.995018E-02
    2.150000E+00     1.716304E-02
    2.200000E+00     1.473826E-02
    2.250000E+00     1.263267E-02
    2.300000E+00     1.080771E-02
    2.350000E+00     9.229010E-03
    2.400000E+00     7.865981E-03
    2.450000E+00     6.691451E-03
    2.500000E+00     5.681346E-03
    2.550000E+00     4.814371E-03
    2.600000E+00     4.071734E-03
    2.650000E+00     3.436885E-03
    2.700000E+00     2.895282E-03
    2.750000E+00     2.434174E-03
    2.800000E+00     2.042407E-03
    2.850000E+00     1.710241E-03
    2.900000E+00     1.429198E-03
    2.950000E+00     1.191908E-03
    3.000000E+00     9.919813E-04
    3.050000E+00     8.238921E-04
    3.100000E+00     6.828714E-04
    3.150000E+00     5.648136E-04
    3.200000E+00     4.661921E-04
    3.250000E+00     3.839850E-04
    3.300000E+00     3.156090E-04
    3.350000E+00     2.588610E-04
    3.400000E+00     2.118665E-04
    3.450000E+00     1.730346E-04
    3.500000E+00     1.410182E-04
    3.550000E+00     1.146795E-04
    3.600000E+00     9.305958E-05
    3.650000E+00     7.535263E-05
    3.700000E+00     6.088277E-05
    3.750000E+00     4.908470E-05
    3.800000E+00     3.948666E-05
    3.850000E+00     3.169599E-05
    3.900000E+00     2.538661E-05
    3.950000E+00     2.028841E-05
    4.000000E+00     1.617822E-05
    4.050000E+00     1.287208E-05
    4.100000E+00     1.021871E-05
    4.150000E+00     8.094059E-06
    4.200000E+00     6.396600E-06
    4.250000E+00     5.043475E-06
    4.300000E+00     3.967216E-06
    4.350000E+00     3.113016E-06
    4.400000E+00     2.436457E-06
    4.450000E+00     1.901620E-06
    4.500000E+00     1.479517E-06
    4.550000E+00     1.146795E-06
    4.600000E+00     8.846612E-07
    4.650000E+00     6.780024E-07
    4.700000E+00     5.146500E-07
    4.750000E+00     3.847767E-07
    4.800000E+00     2.803915E-07
    4.850000E+00     1.949164E-07
    4.900000E+00     1.228217E-07
    4.950000E+00     5.930612E-08
    5.000000E+00     5.404781E-14
