# V0=5.0, s=0.5 
#   x [ho units]    Relative wf [ho units]
   -4.950000E+00    -1.484729E-05
   -4.900000E+00    -3.047290E-05
   -4.850000E+00    -4.766171E-05
   -4.800000E+00    -6.723830E-05
   -4.750000E+00    -9.010268E-05
   -4.700000E+00    -1.172652E-04
   -4.650000E+00    -1.498825E-04
   -4.600000E+00    -1.892958E-04
   -4.550000E+00    -2.370722E-04
   -4.500000E+00    -2.950498E-04
   -4.450000E+00    -3.653876E-04
   -4.400000E+00    -4.506211E-04
   -4.350000E+00    -5.537237E-04
   -4.300000E+00    -6.781749E-04
   -4.250000E+00    -8.280355E-04
   -4.200000E+00    -1.008031E-03
   -4.150000E+00    -1.223642E-03
   -4.100000E+00    -1.481202E-03
   -4.050000E+00    -1.788007E-03
   -4.000000E+00    -2.152426E-03
   -3.950000E+00    -2.584028E-03
   -3.900000E+00    -3.093704E-03
   -3.850000E+00    -3.693806E-03
   -3.800000E+00    -4.398281E-03
   -3.750000E+00    -5.222814E-03
   -3.700000E+00    -6.184964E-03
   -3.650000E+00    -7.304305E-03
   -3.600000E+00    -8.602549E-03
   -3.550000E+00    -1.010368E-02
   -3.500000E+00    -1.183403E-02
   -3.450000E+00    -1.382241E-02
   -3.400000E+00    -1.610013E-02
   -3.350000E+00    -1.870104E-02
   -3.300000E+00    -2.166154E-02
   -3.250000E+00    -2.502051E-02
   -3.200000E+00    -2.881920E-02
   -3.150000E+00    -3.310110E-02
   -3.100000E+00    -3.791168E-02
   -3.050000E+00    -4.329808E-02
   -3.000000E+00    -4.930880E-02
   -2.950000E+00    -5.599315E-02
   -2.900000E+00    -6.340074E-02
   -2.850000E+00    -7.158084E-02
   -2.800000E+00    -8.058161E-02
   -2.750000E+00    -9.044928E-02
   -2.700000E+00    -1.012272E-01
   -2.650000E+00    -1.129548E-01
   -2.600000E+00    -1.256665E-01
   -2.550000E+00    -1.393907E-01
   -2.500000E+00    -1.541479E-01
   -2.450000E+00    -1.699504E-01
   -2.400000E+00    -1.868001E-01
   -2.350000E+00    -2.046874E-01
   -2.300000E+00    -2.235903E-01
   -2.250000E+00    -2.434727E-01
   -2.200000E+00    -2.642830E-01
   -2.150000E+00    -2.859537E-01
   -2.100000E+00    -3.083999E-01
   -2.050000E+00    -3.315187E-01
   -2.000000E+00    -3.551886E-01
   -1.950000E+00    -3.792693E-01
   -1.900000E+00    -4.036015E-01
   -1.850000E+00    -4.280072E-01
   -1.800000E+00    -4.522905E-01
   -1.750000E+00    -4.762382E-01
   -1.700000E+00    -4.996215E-01
   -1.650000E+00    -5.221975E-01
   -1.600000E+00    -5.437113E-01
   -1.550000E+00    -5.638989E-01
   -1.500000E+00    -5.824895E-01
   -1.450000E+00    -5.992095E-01
   -1.400000E+00    -6.137856E-01
   -1.350000E+00    -6.259497E-01
   -1.300000E+00    -6.354426E-01
   -1.250000E+00    -6.420199E-01
   -1.200000E+00    -6.454572E-01
   -1.150000E+00    -6.455562E-01
   -1.100000E+00    -6.421517E-01
   -1.050000E+00    -6.351191E-01
   -1.000000E+00    -6.243819E-01
   -9.500000E-01    -6.099201E-01
   -9.000000E-01    -5.917785E-01
   -8.500000E-01    -5.700732E-01
   -8.000000E-01    -5.449973E-01
   -7.500000E-01    -5.168231E-01
   -7.000000E-01    -4.858998E-01
   -6.500000E-01    -4.526469E-01
   -6.000000E-01    -4.175404E-01
   -5.500000E-01    -3.810934E-01
   -5.000000E-01    -3.438315E-01
   -4.500000E-01    -3.062647E-01
   -4.000000E-01    -2.688574E-01
   -3.500000E-01    -2.320009E-01
   -3.000000E-01    -1.959905E-01
   -2.500000E-01    -1.610093E-01
   -2.000000E-01    -1.271215E-01
   -1.500000E-01    -9.427469E-02
   -1.000000E-01    -6.231133E-02
   -5.000000E-02    -3.098786E-02
    0.000000E+00    -3.481913E-14
    5.000000E-02     3.098786E-02
    1.000000E-01     6.231133E-02
    1.500000E-01     9.427469E-02
    2.000000E-01     1.271215E-01
    2.500000E-01     1.610093E-01
    3.000000E-01     1.959905E-01
    3.500000E-01     2.320009E-01
    4.000000E-01     2.688574E-01
    4.500000E-01     3.062647E-01
    5.000000E-01     3.438315E-01
    5.500000E-01     3.810934E-01
    6.000000E-01     4.175404E-01
    6.500000E-01     4.526469E-01
    7.000000E-01     4.858998E-01
    7.500000E-01     5.168231E-01
    8.000000E-01     5.449973E-01
    8.500000E-01     5.700732E-01
    9.000000E-01     5.917785E-01
    9.500000E-01     6.099201E-01
    1.000000E+00     6.243819E-01
    1.050000E+00     6.351191E-01
    1.100000E+00     6.421517E-01
    1.150000E+00     6.455562E-01
    1.200000E+00     6.454572E-01
    1.250000E+00     6.420199E-01
    1.300000E+00     6.354426E-01
    1.350000E+00     6.259497E-01
    1.400000E+00     6.137856E-01
    1.450000E+00     5.992095E-01
    1.500000E+00     5.824895E-01
    1.550000E+00     5.638989E-01
    1.600000E+00     5.437113E-01
    1.650000E+00     5.221975E-01
    1.700000E+00     4.996215E-01
    1.750000E+00     4.762382E-01
    1.800000E+00     4.522905E-01
    1.850000E+00     4.280072E-01
    1.900000E+00     4.036015E-01
    1.950000E+00     3.792693E-01
    2.000000E+00     3.551886E-01
    2.050000E+00     3.315187E-01
    2.100000E+00     3.083999E-01
    2.150000E+00     2.859537E-01
    2.200000E+00     2.642830E-01
    2.250000E+00     2.434727E-01
    2.300000E+00     2.235903E-01
    2.350000E+00     2.046874E-01
    2.400000E+00     1.868001E-01
    2.450000E+00     1.699504E-01
    2.500000E+00     1.541479E-01
    2.550000E+00     1.393907E-01
    2.600000E+00     1.256665E-01
    2.650000E+00     1.129548E-01
    2.700000E+00     1.012272E-01
    2.750000E+00     9.044928E-02
    2.800000E+00     8.058161E-02
    2.850000E+00     7.158084E-02
    2.900000E+00     6.340074E-02
    2.950000E+00     5.599315E-02
    3.000000E+00     4.930880E-02
    3.050000E+00     4.329808E-02
    3.100000E+00     3.791168E-02
    3.150000E+00     3.310110E-02
    3.200000E+00     2.881920E-02
    3.250000E+00     2.502051E-02
    3.300000E+00     2.166154E-02
    3.350000E+00     1.870104E-02
    3.400000E+00     1.610013E-02
    3.450000E+00     1.382241E-02
    3.500000E+00     1.183403E-02
    3.550000E+00     1.010368E-02
    3.600000E+00     8.602549E-03
    3.650000E+00     7.304305E-03
    3.700000E+00     6.184964E-03
    3.750000E+00     5.222814E-03
    3.800000E+00     4.398281E-03
    3.850000E+00     3.693806E-03
    3.900000E+00     3.093704E-03
    3.950000E+00     2.584028E-03
