#     V0          s range       <x^2> [ho units]  Norm denmat []
 -2.000000E+01   5.000000E-01   3.903213E-01   1.999995E+00
 -1.900000E+01   5.000000E-01   3.984796E-01   1.999995E+00
 -1.800000E+01   5.000000E-01   4.077660E-01   1.999995E+00
 -1.700000E+01   5.000000E-01   4.183964E-01   1.999996E+00
 -1.600000E+01   5.000000E-01   4.306302E-01   1.999996E+00
 -1.500000E+01   5.000000E-01   4.447757E-01   1.999997E+00
 -1.400000E+01   5.000000E-01   4.611913E-01   1.999997E+00
 -1.300000E+01   5.000000E-01   4.802811E-01   1.999998E+00
 -1.200000E+01   5.000000E-01   5.024781E-01   1.999998E+00
 -1.100000E+01   5.000000E-01   5.282109E-01   1.999998E+00
 -1.000000E+01   5.000000E-01   5.578487E-01   1.999999E+00
 -9.000000E+00   5.000000E-01   5.916257E-01   1.999999E+00
 -8.000000E+00   5.000000E-01   6.295548E-01   1.999999E+00
 -7.000000E+00   5.000000E-01   6.713552E-01   1.999999E+00
 -6.000000E+00   5.000000E-01   7.164212E-01   1.999999E+00
 -5.000000E+00   5.000000E-01   7.638590E-01   2.000000E+00
 -4.000000E+00   5.000000E-01   8.125896E-01   2.000000E+00
 -3.000000E+00   5.000000E-01   8.614919E-01   2.000000E+00
 -2.000000E+00   5.000000E-01   9.095409E-01   2.000000E+00
 -1.000000E+00   5.000000E-01   9.559072E-01   2.000000E+00
  0.000000E+00   5.000000E-01   1.000000E+00   2.000000E+00
  1.000000E+00   5.000000E-01   1.041462E+00   2.000000E+00
  2.000000E+00   5.000000E-01   1.080134E+00   2.000000E+00
  3.000000E+00   5.000000E-01   1.116005E+00   2.000000E+00
  4.000000E+00   5.000000E-01   1.149168E+00   2.000000E+00
  5.000000E+00   5.000000E-01   1.179778E+00   2.000000E+00
  6.000000E+00   5.000000E-01   1.208023E+00   2.000000E+00
  7.000000E+00   5.000000E-01   1.234103E+00   2.000000E+00
  8.000000E+00   5.000000E-01   1.258217E+00   2.000000E+00
  9.000000E+00   5.000000E-01   1.280553E+00   2.000000E+00
  1.000000E+01   5.000000E-01   1.301289E+00   2.000000E+00
  1.100000E+01   5.000000E-01   1.320582E+00   2.000000E+00
  1.200000E+01   5.000000E-01   1.338579E+00   2.000000E+00
  1.300000E+01   5.000000E-01   1.355408E+00   2.000000E+00
  1.400000E+01   5.000000E-01   1.371184E+00   2.000000E+00
  1.500000E+01   5.000000E-01   1.386008E+00   2.000000E+00
  1.600000E+01   5.000000E-01   1.399971E+00   2.000000E+00
  1.700000E+01   5.000000E-01   1.413154E+00   2.000000E+00
  1.800000E+01   5.000000E-01   1.425626E+00   2.000000E+00
  1.900000E+01   5.000000E-01   1.437451E+00   2.000000E+00
  2.000000E+01   5.000000E-01   1.448685E+00   2.000000E+00
