# V0=20.0, s=3.0 
#  x1  x2  wavefunction
#   
   -4.900000E+00    -4.900000E+00     9.570110E-25
   -4.900000E+00    -4.800000E+00    -2.724956E-12
   -4.900000E+00    -4.700000E+00    -8.782638E-12
   -4.900000E+00    -4.600000E+00    -2.104936E-11
   -4.900000E+00    -4.500000E+00    -4.446135E-11
   -4.900000E+00    -4.400000E+00    -8.729222E-11
   -4.900000E+00    -4.300000E+00    -1.631225E-10
   -4.900000E+00    -4.200000E+00    -2.938220E-10
   -4.900000E+00    -4.100000E+00    -5.139937E-10
   -4.900000E+00    -4.000000E+00    -8.774907E-10
   -4.900000E+00    -3.900000E+00    -1.466807E-09
   -4.900000E+00    -3.800000E+00    -2.406398E-09
   -4.900000E+00    -3.700000E+00    -3.881282E-09
   -4.900000E+00    -3.600000E+00    -6.162573E-09
   -4.900000E+00    -3.500000E+00    -9.641900E-09
   -4.900000E+00    -3.400000E+00    -1.487710E-08
   -4.900000E+00    -3.300000E+00    -2.265174E-08
   -4.900000E+00    -3.200000E+00    -3.405113E-08
   -4.900000E+00    -3.100000E+00    -5.055747E-08
   -4.900000E+00    -3.000000E+00    -7.416682E-08
   -4.900000E+00    -2.900000E+00    -1.075288E-07
   -4.900000E+00    -2.800000E+00    -1.541098E-07
   -4.900000E+00    -2.700000E+00    -2.183782E-07
   -4.900000E+00    -2.600000E+00    -3.060069E-07
   -4.900000E+00    -2.500000E+00    -4.240854E-07
   -4.900000E+00    -2.400000E+00    -5.813321E-07
   -4.900000E+00    -2.300000E+00    -7.882870E-07
   -4.900000E+00    -2.200000E+00    -1.057467E-06
   -4.900000E+00    -2.100000E+00    -1.403458E-06
   -4.900000E+00    -2.000000E+00    -1.842917E-06
   -4.900000E+00    -1.900000E+00    -2.394437E-06
   -4.900000E+00    -1.800000E+00    -3.078283E-06
   -4.900000E+00    -1.700000E+00    -3.915921E-06
   -4.900000E+00    -1.600000E+00    -4.929331E-06
   -4.900000E+00    -1.500000E+00    -6.140139E-06
   -4.900000E+00    -1.400000E+00    -7.568534E-06
   -4.900000E+00    -1.300000E+00    -9.231912E-06
   -4.900000E+00    -1.200000E+00    -1.114345E-05
   -4.900000E+00    -1.100000E+00    -1.331065E-05
   -4.900000E+00    -1.000000E+00    -1.573369E-05
   -4.900000E+00    -9.000000E-01    -1.840400E-05
   -4.900000E+00    -8.000000E-01    -2.130318E-05
   -4.900000E+00    -7.000000E-01    -2.440209E-05
   -4.900000E+00    -6.000000E-01    -2.766028E-05
   -4.900000E+00    -5.000000E-01    -3.102641E-05
   -4.900000E+00    -4.000000E-01    -3.443901E-05
   -4.900000E+00    -3.000000E-01    -3.782776E-05
   -4.900000E+00    -2.000000E-01    -4.111585E-05
   -4.900000E+00    -1.000000E-01    -4.422261E-05
   -4.900000E+00     0.000000E+00    -4.706652E-05
   -4.900000E+00     1.000000E-01    -4.956904E-05
   -4.900000E+00     2.000000E-01    -5.165801E-05
   -4.900000E+00     3.000000E-01    -5.327049E-05
   -4.900000E+00     4.000000E-01    -5.435687E-05
   -4.900000E+00     5.000000E-01    -5.488315E-05
   -4.900000E+00     6.000000E-01    -5.483127E-05
   -4.900000E+00     7.000000E-01    -5.420101E-05
   -4.900000E+00     8.000000E-01    -5.301104E-05
   -4.900000E+00     9.000000E-01    -5.129495E-05
   -4.900000E+00     1.000000E+00    -4.909891E-05
   -4.900000E+00     1.100000E+00    -4.648238E-05
   -4.900000E+00     1.200000E+00    -4.351035E-05
   -4.900000E+00     1.300000E+00    -4.024655E-05
   -4.900000E+00     1.400000E+00    -3.675198E-05
   -4.900000E+00     1.500000E+00    -3.307649E-05
   -4.900000E+00     1.600000E+00    -2.924592E-05
   -4.900000E+00     1.700000E+00    -2.525323E-05
   -4.900000E+00     1.800000E+00    -2.104250E-05
   -4.900000E+00     1.900000E+00    -1.649205E-05
   -4.900000E+00     2.000000E+00    -1.136635E-05
   -4.900000E+00     2.100000E+00     0.000000E+00
   -4.900000E+00     2.200000E+00     0.000000E+00
   -4.900000E+00     2.300000E+00     0.000000E+00
   -4.900000E+00     2.400000E+00     0.000000E+00
   -4.900000E+00     2.500000E+00     0.000000E+00
   -4.900000E+00     2.600000E+00     0.000000E+00
   -4.900000E+00     2.700000E+00     0.000000E+00
   -4.900000E+00     2.800000E+00     0.000000E+00
   -4.900000E+00     2.900000E+00     0.000000E+00
   -4.900000E+00     3.000000E+00     0.000000E+00
   -4.900000E+00     3.100000E+00     0.000000E+00
   -4.900000E+00     3.200000E+00     0.000000E+00
   -4.900000E+00     3.300000E+00     0.000000E+00
   -4.900000E+00     3.400000E+00     0.000000E+00
   -4.900000E+00     3.500000E+00     0.000000E+00
   -4.900000E+00     3.600000E+00     0.000000E+00
   -4.900000E+00     3.700000E+00     0.000000E+00
   -4.900000E+00     3.800000E+00     0.000000E+00
   -4.900000E+00     3.900000E+00     0.000000E+00
   -4.900000E+00     4.000000E+00     0.000000E+00
   -4.900000E+00     4.100000E+00     0.000000E+00
   -4.900000E+00     4.200000E+00     0.000000E+00
   -4.900000E+00     4.300000E+00     0.000000E+00
   -4.900000E+00     4.400000E+00     0.000000E+00
   -4.900000E+00     4.500000E+00     0.000000E+00
   -4.900000E+00     4.600000E+00     0.000000E+00
   -4.900000E+00     4.700000E+00     0.000000E+00
   -4.900000E+00     4.800000E+00     0.000000E+00
   -4.900000E+00     4.900000E+00     0.000000E+00
   -4.900000E+00     5.000000E+00     0.000000E+00
#   
