# V0=20.0, s=3.0 
#   x [ho units]    Density [ho units]
   -4.900000E+00     1.011352E-08
   -4.800000E+00     2.411909E-08
   -4.700000E+00     5.621983E-08
   -4.600000E+00     1.281305E-07
   -4.500000E+00     2.856211E-07
   -4.400000E+00     6.229016E-07
   -4.300000E+00     1.329340E-06
   -4.200000E+00     2.776625E-06
   -4.100000E+00     5.677060E-06
   -4.000000E+00     1.136324E-05
   -3.900000E+00     2.226838E-05
   -3.800000E+00     4.272770E-05
   -3.700000E+00     8.027566E-05
   -3.600000E+00     1.476811E-04
   -3.500000E+00     2.660363E-04
   -3.400000E+00     4.692848E-04
   -3.300000E+00     8.106115E-04
   -3.200000E+00     1.371096E-03
   -3.100000E+00     2.270897E-03
   -3.000000E+00     3.682933E-03
   -2.900000E+00     5.848530E-03
   -2.800000E+00     9.093739E-03
   -2.700000E+00     1.384408E-02
   -2.600000E+00     2.063433E-02
   -2.500000E+00     3.010898E-02
   -2.400000E+00     4.300813E-02
   -2.300000E+00     6.013371E-02
   -2.200000E+00     8.229175E-02
   -2.100000E+00     1.102089E-01
   -2.000000E+00     1.444251E-01
   -1.900000E+00     1.851700E-01
   -1.800000E+00     2.322357E-01
   -1.700000E+00     2.848641E-01
   -1.600000E+00     3.416729E-01
   -1.500000E+00     4.006418E-01
   -1.400000E+00     4.591794E-01
   -1.300000E+00     5.142829E-01
   -1.200000E+00     5.627883E-01
   -1.100000E+00     6.016942E-01
   -1.000000E+00     6.285245E-01
   -9.000000E-01     6.416832E-01
   -8.000000E-01     6.407453E-01
   -7.000000E-01     6.266293E-01
   -6.000000E-01     6.016097E-01
   -5.000000E-01     5.691473E-01
   -4.000000E-01     5.335437E-01
   -3.000000E-01     4.994545E-01
   -2.000000E-01     4.713253E-01
   -1.000000E-01     4.528280E-01
    0.000000E+00     4.463809E-01
    1.000000E-01     4.528280E-01
    2.000000E-01     4.713253E-01
    3.000000E-01     4.994545E-01
    4.000000E-01     5.335437E-01
    5.000000E-01     5.691473E-01
    6.000000E-01     6.016097E-01
    7.000000E-01     6.266293E-01
    8.000000E-01     6.407453E-01
    9.000000E-01     6.416832E-01
    1.000000E+00     6.285245E-01
    1.100000E+00     6.016942E-01
    1.200000E+00     5.627883E-01
    1.300000E+00     5.142829E-01
    1.400000E+00     4.591794E-01
    1.500000E+00     4.006418E-01
    1.600000E+00     3.416729E-01
    1.700000E+00     2.848641E-01
    1.800000E+00     2.322357E-01
    1.900000E+00     1.851700E-01
    2.000000E+00     1.444251E-01
    2.100000E+00     1.102089E-01
    2.200000E+00     8.229175E-02
    2.300000E+00     6.013371E-02
    2.400000E+00     4.300813E-02
    2.500000E+00     3.010898E-02
    2.600000E+00     2.063433E-02
    2.700000E+00     1.384408E-02
    2.800000E+00     9.093739E-03
    2.900000E+00     5.848530E-03
    3.000000E+00     3.682933E-03
    3.100000E+00     2.270897E-03
    3.200000E+00     1.371096E-03
    3.300000E+00     8.106115E-04
    3.400000E+00     4.692848E-04
    3.500000E+00     2.660363E-04
    3.600000E+00     1.476811E-04
    3.700000E+00     8.027566E-05
    3.800000E+00     4.272770E-05
    3.900000E+00     2.226838E-05
    4.000000E+00     1.136324E-05
    4.100000E+00     5.677060E-06
    4.200000E+00     2.776625E-06
    4.300000E+00     1.329340E-06
    4.400000E+00     6.229016E-07
    4.500000E+00     2.856211E-07
    4.600000E+00     1.281305E-07
    4.700000E+00     5.621983E-08
    4.800000E+00     2.411909E-08
    4.900000E+00     1.011352E-08
    5.000000E+00     4.143086E-09
