# V0=20.0, s=3.0 
#   x [ho units]    Relative wf [ho units]
   -4.900000E+00     1.020683E-08
   -4.800000E+00     4.806070E-08
   -4.700000E+00     1.389679E-07
   -4.600000E+00     3.399838E-07
   -4.500000E+00     7.690047E-07
   -4.400000E+00     1.661013E-06
   -4.300000E+00     3.471667E-06
   -4.200000E+00     7.061885E-06
   -4.100000E+00     1.401679E-05
   -4.000000E+00     2.717988E-05
   -3.900000E+00     5.151930E-05
   -3.800000E+00     9.548660E-05
   -3.700000E+00     1.730741E-04
   -3.600000E+00     3.068161E-04
   -3.500000E+00     5.319933E-04
   -3.400000E+00     9.022688E-04
   -3.300000E+00     1.496870E-03
   -3.200000E+00     2.429216E-03
   -3.100000E+00     3.856526E-03
   -3.000000E+00     5.989463E-03
   -2.900000E+00     9.100240E-03
   -2.800000E+00     1.352698E-02
   -2.700000E+00     1.967153E-02
   -2.600000E+00     2.798767E-02
   -2.500000E+00     3.895675E-02
   -2.400000E+00     5.304865E-02
   -2.300000E+00     7.066747E-02
   -2.200000E+00     9.208391E-02
   -2.100000E+00     1.173589E-01
   -2.000000E+00     1.462666E-01
   -1.900000E+00     1.782276E-01
   -1.800000E+00     2.122641E-01
   -1.700000E+00     2.469917E-01
   -1.600000E+00     2.806556E-01
   -1.500000E+00     3.112205E-01
   -1.400000E+00     3.365126E-01
   -1.300000E+00     3.544069E-01
   -1.200000E+00     3.630433E-01
   -1.100000E+00     3.610510E-01
   -1.000000E+00     3.477512E-01
   -9.000000E-01     3.233139E-01
   -8.000000E-01     2.888391E-01
   -7.000000E-01     2.463481E-01
   -6.000000E-01     1.986738E-01
   -5.000000E-01     1.492555E-01
   -4.000000E-01     1.018547E-01
   -3.000000E-01     6.021936E-02
   -2.000000E-01     2.773199E-02
   -1.000000E-01     7.082192E-03
    0.000000E+00     1.161992E-27
    1.000000E-01     7.082192E-03
    2.000000E-01     2.773199E-02
    3.000000E-01     6.021936E-02
    4.000000E-01     1.018547E-01
    5.000000E-01     1.492555E-01
    6.000000E-01     1.986738E-01
    7.000000E-01     2.463481E-01
    8.000000E-01     2.888391E-01
    9.000000E-01     3.233139E-01
    1.000000E+00     3.477512E-01
    1.100000E+00     3.610510E-01
    1.200000E+00     3.630433E-01
    1.300000E+00     3.544069E-01
    1.400000E+00     3.365126E-01
    1.500000E+00     3.112205E-01
    1.600000E+00     2.806556E-01
    1.700000E+00     2.469917E-01
    1.800000E+00     2.122641E-01
    1.900000E+00     1.782276E-01
    2.000000E+00     1.462666E-01
    2.100000E+00     1.173589E-01
    2.200000E+00     9.208391E-02
    2.300000E+00     7.066747E-02
    2.400000E+00     5.304865E-02
    2.500000E+00     3.895675E-02
    2.600000E+00     2.798767E-02
    2.700000E+00     1.967153E-02
    2.800000E+00     1.352698E-02
    2.900000E+00     9.100240E-03
    3.000000E+00     5.989463E-03
    3.100000E+00     3.856526E-03
    3.200000E+00     2.429216E-03
    3.300000E+00     1.496870E-03
    3.400000E+00     9.022688E-04
    3.500000E+00     5.319933E-04
    3.600000E+00     3.068161E-04
    3.700000E+00     1.730741E-04
    3.800000E+00     9.548660E-05
    3.900000E+00     5.151930E-05
    4.000000E+00     2.717988E-05
    4.100000E+00     1.401679E-05
    4.200000E+00     7.061885E-06
    4.300000E+00     3.471667E-06
    4.400000E+00     1.661013E-06
    4.500000E+00     7.690047E-07
    4.600000E+00     3.399838E-07
    4.700000E+00     1.389679E-07
    4.800000E+00     4.806070E-08
    4.900000E+00     1.020683E-08
    5.000000E+00     6.591495E-31
