# V0=20.0, s=3.0 
#   x [ho units]    Relative wf [ho units]
   -4.900000E+00    -1.010288E-04
   -4.800000E+00    -2.192275E-04
   -4.700000E+00    -3.727840E-04
   -4.600000E+00    -5.830813E-04
   -4.500000E+00    -8.769291E-04
   -4.400000E+00    -1.288803E-03
   -4.300000E+00    -1.863241E-03
   -4.200000E+00    -2.657421E-03
   -4.100000E+00    -3.743901E-03
   -4.000000E+00    -5.213432E-03
   -3.900000E+00    -7.177695E-03
   -3.800000E+00    -9.771725E-03
   -3.700000E+00    -1.315576E-02
   -3.600000E+00    -1.751617E-02
   -3.500000E+00    -2.306498E-02
   -3.400000E+00    -3.003779E-02
   -3.300000E+00    -3.868941E-02
   -3.200000E+00    -4.928708E-02
   -3.100000E+00    -6.210094E-02
   -3.000000E+00    -7.739162E-02
   -2.900000E+00    -9.539518E-02
   -2.800000E+00    -1.163055E-01
   -2.700000E+00    -1.402552E-01
   -2.600000E+00    -1.672952E-01
   -2.500000E+00    -1.973747E-01
   -2.400000E+00    -2.303229E-01
   -2.300000E+00    -2.658335E-01
   -2.200000E+00    -3.034533E-01
   -2.100000E+00    -3.425768E-01
   -2.000000E+00    -3.824482E-01
   -1.900000E+00    -4.221701E-01
   -1.800000E+00    -4.607213E-01
   -1.700000E+00    -4.969826E-01
   -1.600000E+00    -5.297694E-01
   -1.500000E+00    -5.578714E-01
   -1.400000E+00    -5.800971E-01
   -1.300000E+00    -5.953208E-01
   -1.200000E+00    -6.025308E-01
   -1.100000E+00    -6.008752E-01
   -1.000000E+00    -5.897044E-01
   -9.000000E-01    -5.686070E-01
   -8.000000E-01    -5.374376E-01
   -7.000000E-01    -4.963347E-01
   -6.000000E-01    -4.457284E-01
   -5.000000E-01    -3.863360E-01
   -4.000000E-01    -3.191469E-01
   -3.000000E-01    -2.453963E-01
   -2.000000E-01    -1.665292E-01
   -1.000000E-01    -8.415576E-02
    0.000000E+00     3.408800E-14
    1.000000E-01     8.415576E-02
    2.000000E-01     1.665292E-01
    3.000000E-01     2.453963E-01
    4.000000E-01     3.191469E-01
    5.000000E-01     3.863360E-01
    6.000000E-01     4.457284E-01
    7.000000E-01     4.963347E-01
    8.000000E-01     5.374376E-01
    9.000000E-01     5.686070E-01
    1.000000E+00     5.897044E-01
    1.100000E+00     6.008752E-01
    1.200000E+00     6.025308E-01
    1.300000E+00     5.953208E-01
    1.400000E+00     5.800971E-01
    1.500000E+00     5.578714E-01
    1.600000E+00     5.297694E-01
    1.700000E+00     4.969826E-01
    1.800000E+00     4.607213E-01
    1.900000E+00     4.221701E-01
    2.000000E+00     3.824482E-01
    2.100000E+00     3.425768E-01
    2.200000E+00     3.034533E-01
    2.300000E+00     2.658335E-01
    2.400000E+00     2.303229E-01
    2.500000E+00     1.973747E-01
    2.600000E+00     1.672952E-01
    2.700000E+00     1.402552E-01
    2.800000E+00     1.163055E-01
    2.900000E+00     9.539518E-02
    3.000000E+00     7.739162E-02
    3.100000E+00     6.210094E-02
    3.200000E+00     4.928708E-02
    3.300000E+00     3.868941E-02
    3.400000E+00     3.003779E-02
    3.500000E+00     2.306498E-02
    3.600000E+00     1.751617E-02
    3.700000E+00     1.315576E-02
    3.800000E+00     9.771725E-03
    3.900000E+00     7.177695E-03
    4.000000E+00     5.213432E-03
    4.100000E+00     3.743901E-03
    4.200000E+00     2.657421E-03
    4.300000E+00     1.863241E-03
    4.400000E+00     1.288803E-03
    4.500000E+00     8.769291E-04
    4.600000E+00     5.830813E-04
    4.700000E+00     3.727840E-04
    4.800000E+00     2.192275E-04
    4.900000E+00     1.010288E-04
    5.000000E+00    -8.118802E-16
