#     V0          s range       <x^2> [ho units]  Norm denmat []
  2.000000E+01   1.000000E-01   1.039087E+00   1.999998E+00
  2.000000E+01   2.000000E-01   1.118345E+00   1.999996E+00
  2.000000E+01   3.000000E-01   1.217854E+00   1.999996E+00
  2.000000E+01   4.000000E-01   1.329721E+00   1.999997E+00
  2.000000E+01   5.000000E-01   1.448686E+00   1.999997E+00
  2.000000E+01   6.000000E-01   1.570135E+00   1.999997E+00
  2.000000E+01   7.000000E-01   1.689724E+00   1.999997E+00
  2.000000E+01   8.000000E-01   1.803341E+00   1.999998E+00
  2.000000E+01   9.000000E-01   1.907135E+00   1.999998E+00
  2.000000E+01   1.000000E+00   1.997557E+00   1.999998E+00
  2.000000E+01   1.100000E+00   2.071406E+00   1.999998E+00
  2.000000E+01   1.200000E+00   2.125891E+00   1.999998E+00
  2.000000E+01   1.300000E+00   2.158746E+00   1.999999E+00
  2.000000E+01   1.400000E+00   2.168418E+00   1.999999E+00
  2.000000E+01   1.500000E+00   2.154347E+00   1.999999E+00
  2.000000E+01   1.600000E+00   2.117312E+00   1.999999E+00
  2.000000E+01   1.700000E+00   2.059733E+00   1.999999E+00
  2.000000E+01   1.800000E+00   1.985742E+00   1.999999E+00
  2.000000E+01   1.900000E+00   1.900815E+00   1.999999E+00
  2.000000E+01   2.000000E+00   1.810958E+00   1.999999E+00
  2.000000E+01   2.100000E+00   1.721691E+00   1.999999E+00
  2.000000E+01   2.200000E+00   1.637241E+00   1.999999E+00
  2.000000E+01   2.300000E+00   1.560231E+00   1.999999E+00
  2.000000E+01   2.400000E+00   1.491818E+00   1.999999E+00
  2.000000E+01   2.500000E+00   1.432091E+00   1.999999E+00
  2.000000E+01   2.600000E+00   1.380491E+00   1.999999E+00
  2.000000E+01   2.700000E+00   1.336152E+00   1.999999E+00
  2.000000E+01   2.800000E+00   1.298116E+00   1.999999E+00
  2.000000E+01   2.900000E+00   1.265464E+00   1.999999E+00
  2.000000E+01   3.000000E+00   1.237366E+00   1.999999E+00
