# V0=20.0, s=3.0 
#  x1  x2  denmat
#   
   -4.950000E+00    -4.950000E+00     6.496034E-09
   -4.950000E+00    -4.900000E+00     8.105463E-09
   -4.950000E+00    -4.850000E+00     1.008159E-08
   -4.950000E+00    -4.800000E+00     1.250150E-08
   -4.950000E+00    -4.750000E+00     1.545685E-08
   -4.950000E+00    -4.700000E+00     1.905632E-08
   -4.950000E+00    -4.650000E+00     2.342829E-08
   -4.950000E+00    -4.600000E+00     2.872395E-08
   -4.950000E+00    -4.550000E+00     3.512073E-08
   -4.950000E+00    -4.500000E+00     4.282615E-08
   -4.950000E+00    -4.450000E+00     5.208213E-08
   -4.950000E+00    -4.400000E+00     6.316965E-08
   -4.950000E+00    -4.350000E+00     7.641400E-08
   -4.950000E+00    -4.300000E+00     9.219038E-08
   -4.950000E+00    -4.250000E+00     1.109301E-07
   -4.950000E+00    -4.200000E+00     1.331270E-07
   -4.950000E+00    -4.150000E+00     1.593447E-07
   -4.950000E+00    -4.100000E+00     1.902239E-07
   -4.950000E+00    -4.050000E+00     2.264903E-07
   -4.950000E+00    -4.000000E+00     2.689628E-07
   -4.950000E+00    -3.950000E+00     3.185614E-07
   -4.950000E+00    -3.900000E+00     3.763163E-07
   -4.950000E+00    -3.850000E+00     4.433762E-07
   -4.950000E+00    -3.800000E+00     5.210164E-07
   -4.950000E+00    -3.750000E+00     6.106471E-07
   -4.950000E+00    -3.700000E+00     7.138209E-07
   -4.950000E+00    -3.650000E+00     8.322395E-07
   -4.950000E+00    -3.600000E+00     9.677597E-07
   -4.950000E+00    -3.550000E+00     1.122398E-06
   -4.950000E+00    -3.500000E+00     1.298333E-06
   -4.950000E+00    -3.450000E+00     1.497909E-06
   -4.950000E+00    -3.400000E+00     1.723631E-06
   -4.950000E+00    -3.350000E+00     1.978165E-06
   -4.950000E+00    -3.300000E+00     2.264331E-06
   -4.950000E+00    -3.250000E+00     2.585091E-06
   -4.950000E+00    -3.200000E+00     2.943540E-06
   -4.950000E+00    -3.150000E+00     3.342886E-06
   -4.950000E+00    -3.100000E+00     3.786432E-06
   -4.950000E+00    -3.050000E+00     4.277549E-06
   -4.950000E+00    -3.000000E+00     4.819645E-06
   -4.950000E+00    -2.950000E+00     5.416135E-06
   -4.950000E+00    -2.900000E+00     6.070398E-06
   -4.950000E+00    -2.850000E+00     6.785734E-06
   -4.950000E+00    -2.800000E+00     7.565318E-06
   -4.950000E+00    -2.750000E+00     8.412144E-06
   -4.950000E+00    -2.700000E+00     9.328969E-06
   -4.950000E+00    -2.650000E+00     1.031825E-05
   -4.950000E+00    -2.600000E+00     1.138210E-05
   -4.950000E+00    -2.550000E+00     1.252217E-05
   -4.950000E+00    -2.500000E+00     1.373965E-05
   -4.950000E+00    -2.450000E+00     1.503515E-05
   -4.950000E+00    -2.400000E+00     1.640865E-05
   -4.950000E+00    -2.350000E+00     1.785943E-05
   -4.950000E+00    -2.300000E+00     1.938601E-05
   -4.950000E+00    -2.250000E+00     2.098607E-05
   -4.950000E+00    -2.200000E+00     2.265644E-05
   -4.950000E+00    -2.150000E+00     2.439299E-05
   -4.950000E+00    -2.100000E+00     2.619064E-05
   -4.950000E+00    -2.050000E+00     2.804331E-05
   -4.950000E+00    -2.000000E+00     2.994389E-05
   -4.950000E+00    -1.950000E+00     3.188423E-05
   -4.950000E+00    -1.900000E+00     3.385519E-05
   -4.950000E+00    -1.850000E+00     3.584660E-05
   -4.950000E+00    -1.800000E+00     3.784732E-05
   -4.950000E+00    -1.750000E+00     3.984528E-05
   -4.950000E+00    -1.700000E+00     4.182758E-05
   -4.950000E+00    -1.650000E+00     4.378051E-05
   -4.950000E+00    -1.600000E+00     4.568970E-05
   -4.950000E+00    -1.550000E+00     4.754022E-05
   -4.950000E+00    -1.500000E+00     4.931668E-05
   -4.950000E+00    -1.450000E+00     5.100342E-05
   -4.950000E+00    -1.400000E+00     5.258460E-05
   -4.950000E+00    -1.350000E+00     5.404444E-05
   -4.950000E+00    -1.300000E+00     5.536732E-05
   -4.950000E+00    -1.250000E+00     5.653803E-05
   -4.950000E+00    -1.200000E+00     5.754189E-05
   -4.950000E+00    -1.150000E+00     5.836497E-05
   -4.950000E+00    -1.100000E+00     5.899427E-05
   -4.950000E+00    -1.050000E+00     5.941791E-05
   -4.950000E+00    -1.000000E+00     5.962528E-05
   -4.950000E+00    -9.500000E-01     5.960722E-05
   -4.950000E+00    -9.000000E-01     5.935619E-05
   -4.950000E+00    -8.500000E-01     5.886636E-05
   -4.950000E+00    -8.000000E-01     5.813376E-05
   -4.950000E+00    -7.500000E-01     5.715641E-05
   -4.950000E+00    -7.000000E-01     5.593432E-05
   -4.950000E+00    -6.500000E-01     5.446960E-05
   -4.950000E+00    -6.000000E-01     5.276648E-05
   -4.950000E+00    -5.500000E-01     5.083129E-05
   -4.950000E+00    -5.000000E-01     4.867246E-05
   -4.950000E+00    -4.500000E-01     4.630046E-05
   -4.950000E+00    -4.000000E-01     4.372770E-05
   -4.950000E+00    -3.500000E-01     4.096845E-05
   -4.950000E+00    -3.000000E-01     3.803871E-05
   -4.950000E+00    -2.500000E-01     3.495603E-05
   -4.950000E+00    -2.000000E-01     3.173937E-05
   -4.950000E+00    -1.500000E-01     2.840889E-05
   -4.950000E+00    -1.000000E-01     2.498574E-05
   -4.950000E+00    -5.000000E-02     2.149185E-05
   -4.950000E+00     0.000000E+00     1.794969E-05
   -4.950000E+00     5.000000E-02     1.438203E-05
   -4.950000E+00     1.000000E-01     1.081170E-05
   -4.950000E+00     1.500000E-01     7.261355E-06
   -4.950000E+00     2.000000E-01     3.753252E-06
   -4.950000E+00     2.500000E-01     3.089932E-07
   -4.950000E+00     3.000000E-01    -3.050673E-06
   -4.950000E+00     3.500000E-01    -6.306062E-06
   -4.950000E+00     4.000000E-01    -9.438737E-06
   -4.950000E+00     4.500000E-01    -1.243168E-05
