# V0=-20.0, s=3.0 
#  x1  x2  wavefunction
#   
   -4.950000E+00    -4.950000E+00    -1.797424E-24
   -4.950000E+00    -4.900000E+00    -9.597546E-13
   -4.950000E+00    -4.850000E+00    -2.448253E-12
   -4.950000E+00    -4.800000E+00    -4.670890E-12
   -4.950000E+00    -4.750000E+00    -7.899073E-12
   -4.950000E+00    -4.700000E+00    -1.248849E-11
   -4.950000E+00    -4.650000E+00    -1.890171E-11
   -4.950000E+00    -4.600000E+00    -2.773603E-11
   -4.950000E+00    -4.550000E+00    -3.975752E-11
   -4.950000E+00    -4.500000E+00    -5.594253E-11
   -4.950000E+00    -4.450000E+00    -7.752782E-11
   -4.950000E+00    -4.400000E+00    -1.060709E-10
   -4.950000E+00    -4.350000E+00    -1.435222E-10
   -4.950000E+00    -4.300000E+00    -1.923113E-10
   -4.950000E+00    -4.250000E+00    -2.554482E-10
   -4.950000E+00    -4.200000E+00    -3.366430E-10
   -4.950000E+00    -4.150000E+00    -4.404463E-10
   -4.950000E+00    -4.100000E+00    -5.724117E-10
   -4.950000E+00    -4.050000E+00    -7.392836E-10
   -4.950000E+00    -4.000000E+00    -9.492150E-10
   -4.950000E+00    -3.950000E+00    -1.212015E-09
   -4.950000E+00    -3.900000E+00    -1.539427E-09
   -4.950000E+00    -3.850000E+00    -1.945452E-09
   -4.950000E+00    -3.800000E+00    -2.446701E-09
   -4.950000E+00    -3.750000E+00    -3.062794E-09
   -4.950000E+00    -3.700000E+00    -3.816799E-09
   -4.950000E+00    -3.650000E+00    -4.735716E-09
   -4.950000E+00    -3.600000E+00    -5.851009E-09
   -4.950000E+00    -3.550000E+00    -7.199169E-09
   -4.950000E+00    -3.500000E+00    -8.822337E-09
   -4.950000E+00    -3.450000E+00    -1.076895E-08
   -4.950000E+00    -3.400000E+00    -1.309444E-08
   -4.950000E+00    -3.350000E+00    -1.586193E-08
   -4.950000E+00    -3.300000E+00    -1.914300E-08
   -4.950000E+00    -3.250000E+00    -2.301842E-08
   -4.950000E+00    -3.200000E+00    -2.757892E-08
   -4.950000E+00    -3.150000E+00    -3.292591E-08
   -4.950000E+00    -3.100000E+00    -3.917220E-08
   -4.950000E+00    -3.050000E+00    -4.644267E-08
   -4.950000E+00    -3.000000E+00    -5.487487E-08
   -4.950000E+00    -2.950000E+00    -6.461951E-08
   -4.950000E+00    -2.900000E+00    -7.584088E-08
   -4.950000E+00    -2.850000E+00    -8.871710E-08
   -4.950000E+00    -2.800000E+00    -1.034402E-07
   -4.950000E+00    -2.750000E+00    -1.202160E-07
   -4.950000E+00    -2.700000E+00    -1.392638E-07
   -4.950000E+00    -2.650000E+00    -1.608159E-07
   -4.950000E+00    -2.600000E+00    -1.851166E-07
   -4.950000E+00    -2.550000E+00    -2.124212E-07
   -4.950000E+00    -2.500000E+00    -2.429943E-07
   -4.950000E+00    -2.450000E+00    -2.771082E-07
   -4.950000E+00    -2.400000E+00    -3.150407E-07
   -4.950000E+00    -2.350000E+00    -3.570727E-07
   -4.950000E+00    -2.300000E+00    -4.034848E-07
   -4.950000E+00    -2.250000E+00    -4.545547E-07
   -4.950000E+00    -2.200000E+00    -5.105531E-07
   -4.950000E+00    -2.150000E+00    -5.717404E-07
   -4.950000E+00    -2.100000E+00    -6.383614E-07
   -4.950000E+00    -2.050000E+00    -7.106418E-07
   -4.950000E+00    -2.000000E+00    -7.887836E-07
   -4.950000E+00    -1.950000E+00    -8.729591E-07
   -4.950000E+00    -1.900000E+00    -9.633069E-07
   -4.950000E+00    -1.850000E+00    -1.059927E-06
   -4.950000E+00    -1.800000E+00    -1.162877E-06
   -4.950000E+00    -1.750000E+00    -1.272163E-06
   -4.950000E+00    -1.700000E+00    -1.387740E-06
   -4.950000E+00    -1.650000E+00    -1.509508E-06
   -4.950000E+00    -1.600000E+00    -1.637303E-06
   -4.950000E+00    -1.550000E+00    -1.770899E-06
   -4.950000E+00    -1.500000E+00    -1.910004E-06
   -4.950000E+00    -1.450000E+00    -2.054258E-06
   -4.950000E+00    -1.400000E+00    -2.203232E-06
   -4.950000E+00    -1.350000E+00    -2.356427E-06
   -4.950000E+00    -1.300000E+00    -2.513279E-06
   -4.950000E+00    -1.250000E+00    -2.673154E-06
   -4.950000E+00    -1.200000E+00    -2.835358E-06
   -4.950000E+00    -1.150000E+00    -2.999135E-06
   -4.950000E+00    -1.100000E+00    -3.163678E-06
   -4.950000E+00    -1.050000E+00    -3.328128E-06
   -4.950000E+00    -1.000000E+00    -3.491587E-06
   -4.950000E+00    -9.500000E-01    -3.653121E-06
   -4.950000E+00    -9.000000E-01    -3.811773E-06
   -4.950000E+00    -8.500000E-01    -3.966570E-06
   -4.950000E+00    -8.000000E-01    -4.116528E-06
   -4.950000E+00    -7.500000E-01    -4.260673E-06
   -4.950000E+00    -7.000000E-01    -4.398045E-06
   -4.950000E+00    -6.500000E-01    -4.527704E-06
   -4.950000E+00    -6.000000E-01    -4.648750E-06
   -4.950000E+00    -5.500000E-01    -4.760333E-06
   -4.950000E+00    -5.000000E-01    -4.861651E-06
   -4.950000E+00    -4.500000E-01    -4.951968E-06
   -4.950000E+00    -4.000000E-01    -5.030635E-06
   -4.950000E+00    -3.500000E-01    -5.097076E-06
   -4.950000E+00    -3.000000E-01    -5.150797E-06
   -4.950000E+00    -2.500000E-01    -5.191414E-06
   -4.950000E+00    -2.000000E-01    -5.218645E-06
   -4.950000E+00    -1.500000E-01    -5.232292E-06
   -4.950000E+00    -1.000000E-01    -5.232274E-06
