# V0=-20.0, s=3.0 
#  x1  x2  denmat
#   
   -4.950000E+00    -4.950000E+00     9.467244E-11
   -4.950000E+00    -4.900000E+00     1.218289E-10
   -4.950000E+00    -4.850000E+00     1.563540E-10
   -4.950000E+00    -4.800000E+00     2.001273E-10
   -4.950000E+00    -4.750000E+00     2.554734E-10
   -4.950000E+00    -4.700000E+00     3.252583E-10
   -4.950000E+00    -4.650000E+00     4.130051E-10
   -4.950000E+00    -4.600000E+00     5.230293E-10
   -4.950000E+00    -4.550000E+00     6.606011E-10
   -4.950000E+00    -4.500000E+00     8.321349E-10
   -4.950000E+00    -4.450000E+00     1.045412E-09
   -4.950000E+00    -4.400000E+00     1.309841E-09
   -4.950000E+00    -4.350000E+00     1.636758E-09
   -4.950000E+00    -4.300000E+00     2.039778E-09
   -4.950000E+00    -4.250000E+00     2.535194E-09
   -4.950000E+00    -4.200000E+00     3.142437E-09
   -4.950000E+00    -4.150000E+00     3.884600E-09
   -4.950000E+00    -4.100000E+00     4.789029E-09
   -4.950000E+00    -4.050000E+00     5.887989E-09
   -4.950000E+00    -4.000000E+00     7.219411E-09
   -4.950000E+00    -3.950000E+00     8.827724E-09
   -4.950000E+00    -3.900000E+00     1.076476E-08
   -4.950000E+00    -3.850000E+00     1.309079E-08
   -4.950000E+00    -3.800000E+00     1.587557E-08
   -4.950000E+00    -3.750000E+00     1.919956E-08
   -4.950000E+00    -3.700000E+00     2.315518E-08
   -4.950000E+00    -3.650000E+00     2.784814E-08
   -4.950000E+00    -3.600000E+00     3.339887E-08
   -4.950000E+00    -3.550000E+00     3.994394E-08
   -4.950000E+00    -3.500000E+00     4.763755E-08
   -4.950000E+00    -3.450000E+00     5.665305E-08
   -4.950000E+00    -3.400000E+00     6.718437E-08
   -4.950000E+00    -3.350000E+00     7.944744E-08
   -4.950000E+00    -3.300000E+00     9.368149E-08
   -4.950000E+00    -3.250000E+00     1.101502E-07
   -4.950000E+00    -3.200000E+00     1.291425E-07
   -4.950000E+00    -3.150000E+00     1.509737E-07
   -4.950000E+00    -3.100000E+00     1.759850E-07
   -4.950000E+00    -3.050000E+00     2.045444E-07
   -4.950000E+00    -3.000000E+00     2.370453E-07
   -4.950000E+00    -2.950000E+00     2.739058E-07
   -4.950000E+00    -2.900000E+00     3.155669E-07
   -4.950000E+00    -2.850000E+00     3.624897E-07
   -4.950000E+00    -2.800000E+00     4.151526E-07
   -4.950000E+00    -2.750000E+00     4.740466E-07
   -4.950000E+00    -2.700000E+00     5.396702E-07
   -4.950000E+00    -2.650000E+00     6.125237E-07
   -4.950000E+00    -2.600000E+00     6.931014E-07
   -4.950000E+00    -2.550000E+00     7.818839E-07
   -4.950000E+00    -2.500000E+00     8.793281E-07
   -4.950000E+00    -2.450000E+00     9.858578E-07
   -4.950000E+00    -2.400000E+00     1.101851E-06
   -4.950000E+00    -2.350000E+00     1.227630E-06
   -4.950000E+00    -2.300000E+00     1.363446E-06
   -4.950000E+00    -2.250000E+00     1.509465E-06
   -4.950000E+00    -2.200000E+00     1.665757E-06
   -4.950000E+00    -2.150000E+00     1.832280E-06
   -4.950000E+00    -2.100000E+00     2.008864E-06
   -4.950000E+00    -2.050000E+00     2.195201E-06
   -4.950000E+00    -2.000000E+00     2.390828E-06
   -4.950000E+00    -1.950000E+00     2.595118E-06
   -4.950000E+00    -1.900000E+00     2.807268E-06
   -4.950000E+00    -1.850000E+00     3.026290E-06
   -4.950000E+00    -1.800000E+00     3.251005E-06
   -4.950000E+00    -1.750000E+00     3.480040E-06
   -4.950000E+00    -1.700000E+00     3.711824E-06
   -4.950000E+00    -1.650000E+00     3.944595E-06
   -4.950000E+00    -1.600000E+00     4.176401E-06
   -4.950000E+00    -1.550000E+00     4.405113E-06
   -4.950000E+00    -1.500000E+00     4.628440E-06
   -4.950000E+00    -1.450000E+00     4.843944E-06
   -4.950000E+00    -1.400000E+00     5.049062E-06
   -4.950000E+00    -1.350000E+00     5.241136E-06
   -4.950000E+00    -1.300000E+00     5.417440E-06
   -4.950000E+00    -1.250000E+00     5.575216E-06
   -4.950000E+00    -1.200000E+00     5.711709E-06
   -4.950000E+00    -1.150000E+00     5.824209E-06
   -4.950000E+00    -1.100000E+00     5.910092E-06
   -4.950000E+00    -1.050000E+00     5.966862E-06
   -4.950000E+00    -1.000000E+00     5.992198E-06
   -4.950000E+00    -9.500000E-01     5.983997E-06
   -4.950000E+00    -9.000000E-01     5.940417E-06
   -4.950000E+00    -8.500000E-01     5.859915E-06
   -4.950000E+00    -8.000000E-01     5.741292E-06
   -4.950000E+00    -7.500000E-01     5.583720E-06
   -4.950000E+00    -7.000000E-01     5.386774E-06
   -4.950000E+00    -6.500000E-01     5.150461E-06
   -4.950000E+00    -6.000000E-01     4.875228E-06
   -4.950000E+00    -5.500000E-01     4.561983E-06
   -4.950000E+00    -5.000000E-01     4.212093E-06
   -4.950000E+00    -4.500000E-01     3.827380E-06
   -4.950000E+00    -4.000000E-01     3.410111E-06
   -4.950000E+00    -3.500000E-01     2.962980E-06
   -4.950000E+00    -3.000000E-01     2.489074E-06
   -4.950000E+00    -2.500000E-01     1.991848E-06
   -4.950000E+00    -2.000000E-01     1.475073E-06
   -4.950000E+00    -1.500000E-01     9.427989E-07
   -4.950000E+00    -1.000000E-01     3.992923E-07
   -4.950000E+00    -5.000000E-02    -1.510144E-07
   -4.950000E+00     0.000000E+00    -7.035859E-07
   -4.950000E+00     5.000000E-02    -1.253846E-06
   -4.950000E+00     1.000000E-01    -1.797241E-06
   -4.950000E+00     1.500000E-01    -2.329303E-06
   -4.950000E+00     2.000000E-01    -2.845710E-06
   -4.950000E+00     2.500000E-01    -3.342347E-06
   -4.950000E+00     3.000000E-01    -3.815357E-06
   -4.950000E+00     3.500000E-01    -4.261194E-06
   -4.950000E+00     4.000000E-01    -4.676668E-06
   -4.950000E+00     4.500000E-01    -5.058978E-06
   -4.950000E+00     5.000000E-01    -5.405745E-06
   -4.950000E+00     5.500000E-01    -5.715036E-06
   -4.950000E+00     6.000000E-01    -5.985377E-06
   -4.950000E+00     6.500000E-01    -6.215759E-06
   -4.950000E+00     7.000000E-01    -6.405640E-06
   -4.950000E+00     7.500000E-01    -6.554935E-06
   -4.950000E+00     8.000000E-01    -6.663999E-06
   -4.950000E+00     8.500000E-01    -6.733606E-06
   -4.950000E+00     9.000000E-01    -6.764924E-06
   -4.950000E+00     9.500000E-01    -6.759475E-06
   -4.950000E+00     1.000000E+00    -6.719103E-06
   -4.950000E+00     1.050000E+00    -6.645933E-06
   -4.950000E+00     1.100000E+00    -6.542323E-06
   -4.950000E+00     1.150000E+00    -6.410827E-06
   -4.950000E+00     1.200000E+00    -6.254141E-06
   -4.950000E+00     1.250000E+00    -6.075067E-06
   -4.950000E+00     1.300000E+00    -5.876461E-06
   -4.950000E+00     1.350000E+00    -5.661198E-06
   -4.950000E+00     1.400000E+00    -5.432130E-06
   -4.950000E+00     1.450000E+00    -5.192048E-06
   -4.950000E+00     1.500000E+00    -4.943652E-06
   -4.950000E+00     1.550000E+00    -4.689524E-06
   -4.950000E+00     1.600000E+00    -4.432097E-06
   -4.950000E+00     1.650000E+00    -4.173644E-06
   -4.950000E+00     1.700000E+00    -3.916252E-06
   -4.950000E+00     1.750000E+00    -3.661820E-06
   -4.950000E+00     1.800000E+00    -3.412042E-06
   -4.950000E+00     1.850000E+00    -3.168412E-06
   -4.950000E+00     1.900000E+00    -2.932217E-06
   -4.950000E+00     1.950000E+00    -2.704542E-06
   -4.950000E+00     2.000000E+00    -2.486278E-06
   -4.950000E+00     2.050000E+00    -2.278128E-06
   -4.950000E+00     2.100000E+00    -2.080617E-06
   -4.950000E+00     2.150000E+00    -1.894105E-06
   -4.950000E+00     2.200000E+00    -1.718802E-06
   -4.950000E+00     2.250000E+00    -1.554778E-06
   -4.950000E+00     2.300000E+00    -1.401981E-06
   -4.950000E+00     2.350000E+00    -1.260250E-06
   -4.950000E+00     2.400000E+00    -1.129332E-06
   -4.950000E+00     2.450000E+00    -1.008895E-06
   -4.950000E+00     2.500000E+00    -8.985408E-07
   -4.950000E+00     2.550000E+00    -7.978212E-07
   -4.950000E+00     2.600000E+00    -7.062473E-07
   -4.950000E+00     2.650000E+00    -6.233025E-07
   -4.950000E+00     2.700000E+00    -5.484523E-07
   -4.950000E+00     2.750000E+00    -4.811534E-07
   -4.950000E+00     2.800000E+00    -4.208617E-07
   -4.950000E+00     2.850000E+00    -3.670394E-07
   -4.950000E+00     2.900000E+00    -3.191606E-07
   -4.950000E+00     2.950000E+00    -2.767165E-07
   -4.950000E+00     3.000000E+00    -2.392190E-07
   -4.950000E+00     3.050000E+00    -2.062037E-07
   -4.950000E+00     3.100000E+00    -1.772322E-07
   -4.950000E+00     3.150000E+00    -1.518935E-07
   -4.950000E+00     3.200000E+00    -1.298048E-07
   -4.950000E+00     3.250000E+00    -1.106121E-07
   -4.950000E+00     3.300000E+00    -9.398942E-08
   -4.950000E+00     3.350000E+00    -7.963873E-08
   -4.950000E+00     3.400000E+00    -6.728883E-08
   -4.950000E+00     3.450000E+00    -5.669427E-08
   -4.950000E+00     3.500000E+00    -4.763399E-08
   -4.950000E+00     3.550000E+00    -3.990986E-08
   -4.950000E+00     3.600000E+00    -3.334517E-08
   -4.950000E+00     3.650000E+00    -2.778297E-08
   -4.950000E+00     3.700000E+00    -2.308454E-08
   -4.950000E+00     3.750000E+00    -1.912776E-08
   -4.950000E+00     3.800000E+00    -1.580559E-08
   -4.950000E+00     3.850000E+00    -1.302460E-08
   -4.950000E+00     3.900000E+00    -1.070356E-08
   -4.950000E+00     3.950000E+00    -8.772140E-09
   -4.950000E+00     4.000000E+00    -7.169673E-09
   -4.950000E+00     4.050000E+00    -5.844030E-09
   -4.950000E+00     4.100000E+00    -4.750592E-09
   -4.950000E+00     4.150000E+00    -3.851303E-09
   -4.950000E+00     4.200000E+00    -3.113830E-09
   -4.950000E+00     4.250000E+00    -2.510798E-09
   -4.950000E+00     4.300000E+00    -2.019112E-09
   -4.950000E+00     4.350000E+00    -1.619358E-09
   -4.950000E+00     4.400000E+00    -1.295271E-09
   -4.950000E+00     4.450000E+00    -1.033273E-09
   -4.950000E+00     4.500000E+00    -8.220678E-10
   -4.950000E+00     4.550000E+00    -6.522873E-10
   -4.950000E+00     4.600000E+00    -5.161897E-10
   -4.950000E+00     4.650000E+00    -4.073978E-10
   -4.950000E+00     4.700000E+00    -3.206759E-10
   -4.950000E+00     4.750000E+00    -2.517393E-10
   -4.950000E+00     4.800000E+00    -1.970929E-10
   -4.950000E+00     4.850000E+00    -1.538945E-10
   -4.950000E+00     4.900000E+00    -1.198405E-10
   -4.950000E+00     4.950000E+00    -9.306975E-11
   -4.950000E+00     5.000000E+00    -7.208279E-11
#   
   -4.900000E+00    -4.950000E+00     1.218301E-10
   -4.900000E+00    -4.900000E+00     1.567832E-10
   -4.900000E+00    -4.850000E+00     2.012204E-10
   -4.900000E+00    -4.800000E+00     2.575606E-10
   -4.900000E+00    -4.750000E+00     3.287958E-10
   -4.900000E+00    -4.700000E+00     4.186154E-10
   -4.900000E+00    -4.650000E+00     5.315537E-10
   -4.900000E+00    -4.600000E+00     6.731658E-10
   -4.900000E+00    -4.550000E+00     8.502353E-10
   -4.900000E+00    -4.500000E+00     1.071019E-09
   -4.900000E+00    -4.450000E+00     1.345533E-09
   -4.900000E+00    -4.400000E+00     1.685887E-09
   -4.900000E+00    -4.350000E+00     2.106675E-09
   -4.900000E+00    -4.300000E+00     2.625422E-09
   -4.900000E+00    -4.250000E+00     3.263101E-09
   -4.900000E+00    -4.200000E+00     4.044726E-09
   -4.900000E+00    -4.150000E+00     5.000025E-09
   -4.900000E+00    -4.100000E+00     6.164199E-09
   -4.900000E+00    -4.050000E+00     7.578785E-09
   -4.900000E+00    -4.000000E+00     9.292616E-09
   -4.900000E+00    -3.950000E+00     1.136288E-08
   -4.900000E+00    -3.900000E+00     1.385633E-08
   -4.900000E+00    -3.850000E+00     1.685052E-08
   -4.900000E+00    -3.800000E+00     2.043529E-08
   -4.900000E+00    -3.750000E+00     2.471422E-08
   -4.900000E+00    -3.700000E+00     2.980630E-08
   -4.900000E+00    -3.650000E+00     3.584765E-08
   -4.900000E+00    -3.600000E+00     4.299330E-08
   -4.900000E+00    -3.550000E+00     5.141910E-08
   -4.900000E+00    -3.500000E+00     6.132363E-08
   -4.900000E+00    -3.450000E+00     7.293009E-08
   -4.900000E+00    -3.400000E+00     8.648820E-08
   -4.900000E+00    -3.350000E+00     1.022760E-07
   -4.900000E+00    -3.300000E+00     1.206016E-07
   -4.900000E+00    -3.250000E+00     1.418046E-07
   -4.900000E+00    -3.200000E+00     1.662571E-07
   -4.900000E+00    -3.150000E+00     1.943650E-07
   -4.900000E+00    -3.100000E+00     2.265681E-07
   -4.900000E+00    -3.050000E+00     2.633402E-07
   -4.900000E+00    -3.000000E+00     3.051880E-07
   -4.900000E+00    -2.950000E+00     3.526503E-07
   -4.900000E+00    -2.900000E+00     4.062950E-07
   -4.900000E+00    -2.850000E+00     4.667164E-07
   -4.900000E+00    -2.800000E+00     5.345307E-07
   -4.900000E+00    -2.750000E+00     6.103707E-07
   -4.900000E+00    -2.700000E+00     6.948790E-07
   -4.900000E+00    -2.650000E+00     7.887002E-07
   -4.900000E+00    -2.600000E+00     8.924717E-07
   -4.900000E+00    -2.550000E+00     1.006813E-06
   -4.900000E+00    -2.500000E+00     1.132314E-06
   -4.900000E+00    -2.450000E+00     1.269521E-06
   -4.900000E+00    -2.400000E+00     1.418922E-06
   -4.900000E+00    -2.350000E+00     1.580932E-06
   -4.900000E+00    -2.300000E+00     1.755878E-06
   -4.900000E+00    -2.250000E+00     1.943974E-06
   -4.900000E+00    -2.200000E+00     2.145314E-06
   -4.900000E+00    -2.150000E+00     2.359842E-06
   -4.900000E+00    -2.100000E+00     2.587345E-06
   -4.900000E+00    -2.050000E+00     2.827426E-06
   -4.900000E+00    -2.000000E+00     3.079491E-06
   -4.900000E+00    -1.950000E+00     3.342736E-06
   -4.900000E+00    -1.900000E+00     3.616128E-06
   -4.900000E+00    -1.850000E+00     3.898398E-06
   -4.900000E+00    -1.800000E+00     4.188030E-06
   -4.900000E+00    -1.750000E+00     4.483257E-06
   -4.900000E+00    -1.700000E+00     4.782061E-06
   -4.900000E+00    -1.650000E+00     5.082172E-06
   -4.900000E+00    -1.600000E+00     5.381080E-06
   -4.900000E+00    -1.550000E+00     5.676047E-06
   -4.900000E+00    -1.500000E+00     5.964121E-06
   -4.900000E+00    -1.450000E+00     6.242164E-06
   -4.900000E+00    -1.400000E+00     6.506879E-06
   -4.900000E+00    -1.350000E+00     6.754842E-06
   -4.900000E+00    -1.300000E+00     6.982544E-06
   -4.900000E+00    -1.250000E+00     7.186432E-06
   -4.900000E+00    -1.200000E+00     7.362958E-06
   -4.900000E+00    -1.150000E+00     7.508630E-06
   -4.900000E+00    -1.100000E+00     7.620067E-06
   -4.900000E+00    -1.050000E+00     7.694053E-06
   -4.900000E+00    -1.000000E+00     7.727597E-06
   -4.900000E+00    -9.500000E-01     7.717985E-06
   -4.900000E+00    -9.000000E-01     7.662841E-06
   -4.900000E+00    -8.500000E-01     7.560175E-06
   -4.900000E+00    -8.000000E-01     7.408435E-06
   -4.900000E+00    -7.500000E-01     7.206549E-06
   -4.900000E+00    -7.000000E-01     6.953965E-06
   -4.900000E+00    -6.500000E-01     6.650683E-06
   -4.900000E+00    -6.000000E-01     6.297274E-06
   -4.900000E+00    -5.500000E-01     5.894898E-06
   -4.900000E+00    -5.000000E-01     5.445307E-06
   -4.900000E+00    -4.500000E-01     4.950841E-06
   -4.900000E+00    -4.000000E-01     4.414412E-06
   -4.900000E+00    -3.500000E-01     3.839480E-06
   -4.900000E+00    -3.000000E-01     3.230016E-06
   -4.900000E+00    -2.500000E-01     2.590458E-06
   -4.900000E+00    -2.000000E-01     1.925660E-06
