# V0=-20.0, s=3.0 
#   x [ho units]    Density [ho units]
   -4.950000E+00     9.467244E-11
   -4.900000E+00     1.567832E-10
   -4.850000E+00     2.582636E-10
   -4.800000E+00     4.231710E-10
   -4.750000E+00     6.896974E-10
   -4.700000E+00     1.118128E-09
   -4.650000E+00     1.803074E-09
   -4.600000E+00     2.892170E-09
   -4.550000E+00     4.614456E-09
   -4.500000E+00     7.323205E-09
   -4.450000E+00     1.156014E-08
   -4.400000E+00     1.815112E-08
   -4.350000E+00     2.834772E-08
   -4.300000E+00     4.403560E-08
   -4.250000E+00     6.803879E-08
   -4.200000E+00     1.045615E-07
   -4.150000E+00     1.598251E-07
   -4.100000E+00     2.429807E-07
   -4.050000E+00     3.674067E-07
   -4.000000E+00     5.525426E-07
   -3.950000E+00     8.264617E-07
   -3.900000E+00     1.229455E-06
   -3.850000E+00     1.818989E-06
   -3.800000E+00     2.676512E-06
   -3.750000E+00     3.916738E-06
   -3.700000E+00     5.700200E-06
   -3.650000E+00     8.250112E-06
   -3.600000E+00     1.187484E-05
   -3.550000E+00     1.699759E-05
   -3.500000E+00     2.419538E-05
   -3.450000E+00     3.424968E-05
   -3.400000E+00     4.821174E-05
   -3.350000E+00     6.748614E-05
   -3.300000E+00     9.393663E-05
   -3.250000E+00     1.300190E-04
   -3.200000E+00     1.789464E-04
   -3.150000E+00     2.448928E-04
   -3.100000E+00     3.332410E-04
   -3.050000E+00     4.508816E-04
   -3.000000E+00     6.065691E-04
   -2.950000E+00     8.113419E-04
   -2.900000E+00     1.079009E-03
   -2.850000E+00     1.426708E-03
   -2.800000E+00     1.875537E-03
   -2.750000E+00     2.451252E-03
   -2.700000E+00     3.185025E-03
   -2.650000E+00     4.114254E-03
   -2.600000E+00     5.283397E-03
   -2.550000E+00     6.744807E-03
   -2.500000E+00     8.559533E-03
   -2.450000E+00     1.079803E-02
   -2.400000E+00     1.354075E-02
   -2.350000E+00     1.687850E-02
   -2.300000E+00     2.091253E-02
   -2.250000E+00     2.575433E-02
   -2.200000E+00     3.152486E-02
   -2.150000E+00     3.835337E-02
   -2.100000E+00     4.637558E-02
   -2.050000E+00     5.573121E-02
   -2.000000E+00     6.656077E-02
   -1.950000E+00     7.900167E-02
   -1.900000E+00     9.318359E-02
   -1.850000E+00     1.092232E-01
   -1.800000E+00     1.272182E-01
   -1.750000E+00     1.472414E-01
   -1.700000E+00     1.693336E-01
   -1.650000E+00     1.934981E-01
   -1.600000E+00     2.196936E-01
   -1.550000E+00     2.478296E-01
   -1.500000E+00     2.777618E-01
   -1.450000E+00     3.092892E-01
   -1.400000E+00     3.421530E-01
   -1.350000E+00     3.760375E-01
   -1.300000E+00     4.105741E-01
   -1.250000E+00     4.453463E-01
   -1.200000E+00     4.798994E-01
   -1.150000E+00     5.137505E-01
   -1.100000E+00     5.464032E-01
   -1.050000E+00     5.773620E-01
   -1.000000E+00     6.061500E-01
   -9.500000E-01     6.323264E-01
   -9.000000E-01     6.555042E-01
   -8.500000E-01     6.753671E-01
   -8.000000E-01     6.916848E-01
   -7.500000E-01     7.043258E-01
   -7.000000E-01     7.132663E-01
   -6.500000E-01     7.185949E-01
   -6.000000E-01     7.205135E-01
   -5.500000E-01     7.193324E-01
   -5.000000E-01     7.154602E-01
   -4.500000E-01     7.093895E-01
   -4.000000E-01     7.016775E-01
   -3.500000E-01     6.929238E-01
   -3.000000E-01     6.837447E-01
   -2.500000E-01     6.747467E-01
   -2.000000E-01     6.664992E-01
   -1.500000E-01     6.595091E-01
   -1.000000E-01     6.541975E-01
   -5.000000E-02     6.508801E-01
    0.000000E+00     6.497522E-01
    5.000000E-02     6.508801E-01
    1.000000E-01     6.541975E-01
    1.500000E-01     6.595091E-01
    2.000000E-01     6.664992E-01
    2.500000E-01     6.747467E-01
    3.000000E-01     6.837447E-01
    3.500000E-01     6.929238E-01
