# V0=-20.0, s=3.0 
#   x [ho units]    Relative wf [ho units]
   -4.950000E+00     4.099358E-12
   -4.900000E+00     1.747236E-11
   -4.850000E+00     4.356094E-11
   -4.800000E+00     8.892367E-11
   -4.750000E+00     1.646969E-10
   -4.700000E+00     2.890507E-10
   -4.650000E+00     4.911204E-10
   -4.600000E+00     8.171699E-10
   -4.550000E+00     1.340146E-09
   -4.500000E+00     2.174373E-09
   -4.450000E+00     3.498006E-09
   -4.400000E+00     5.587115E-09
   -4.350000E+00     8.867131E-09
   -4.300000E+00     1.399001E-08
   -4.250000E+00     2.194927E-08
   -4.200000E+00     3.425042E-08
   -4.150000E+00     5.316197E-08
   -4.100000E+00     8.208264E-08
   -4.050000E+00     1.260754E-07
   -4.000000E+00     1.926388E-07
   -3.950000E+00     2.928144E-07
   -3.900000E+00     4.427654E-07
   -3.850000E+00     6.660132E-07
   -3.800000E+00     9.965832E-07
   -3.750000E+00     1.483400E-06
   -3.700000E+00     2.196387E-06
   -3.650000E+00     3.234865E-06
   -3.600000E+00     4.739041E-06
   -3.550000E+00     6.905608E-06
   -3.500000E+00     1.000875E-05
   -3.450000E+00     1.442822E-05
   -3.400000E+00     2.068662E-05
   -3.350000E+00     2.949837E-05
   -3.300000E+00     4.183365E-05
   -3.250000E+00     5.900106E-05
   -3.200000E+00     8.275355E-05
   -3.150000E+00     1.154230E-04
   -3.100000E+00     1.600894E-04
   -3.050000E+00     2.207915E-04
   -3.000000E+00     3.027863E-04
   -2.950000E+00     4.128650E-04
   -2.900000E+00     5.597334E-04
   -2.850000E+00     7.544639E-04
   -2.800000E+00     1.011025E-03
   -2.750000E+00     1.346894E-03
   -2.700000E+00     1.783747E-03
   -2.650000E+00     2.348238E-03
   -2.600000E+00     3.072832E-03
   -2.550000E+00     3.996707E-03
   -2.500000E+00     5.166664E-03
   -2.450000E+00     6.638034E-03
   -2.400000E+00     8.475513E-03
   -2.350000E+00     1.075387E-02
   -2.300000E+00     1.355844E-02
   -2.250000E+00     1.698530E-02
   -2.200000E+00     2.114109E-02
   -2.150000E+00     2.614221E-02
   -2.100000E+00     3.211342E-02
   -2.050000E+00     3.918570E-02
   -2.000000E+00     4.749314E-02
   -1.950000E+00     5.716896E-02
   -1.900000E+00     6.834037E-02
   -1.850000E+00     8.112257E-02
   -1.800000E+00     9.561153E-02
   -1.750000E+00     1.118761E-01
   -1.700000E+00     1.299494E-01
   -1.650000E+00     1.498197E-01
   -1.600000E+00     1.714215E-01
   -1.550000E+00     1.946270E-01
   -1.500000E+00     2.192387E-01
   -1.450000E+00     2.449837E-01
   -1.400000E+00     2.715100E-01
   -1.350000E+00     2.983864E-01
   -1.300000E+00     3.251055E-01
   -1.250000E+00     3.510908E-01
   -1.200000E+00     3.757086E-01
   -1.150000E+00     3.982838E-01
   -1.100000E+00     4.181208E-01
   -1.050000E+00     4.345280E-01
   -1.000000E+00     4.468461E-01
   -9.500000E-01     4.544778E-01
   -9.000000E-01     4.569195E-01
   -8.500000E-01     4.537920E-01
   -8.000000E-01     4.448688E-01
   -7.500000E-01     4.301008E-01
   -7.000000E-01     4.096344E-01
   -6.500000E-01     3.838232E-01
   -6.000000E-01     3.532301E-01
   -5.500000E-01     3.186199E-01
   -5.000000E-01     2.809424E-01
   -4.500000E-01     2.413044E-01
   -4.000000E-01     2.009337E-01
   -3.500000E-01     1.611343E-01
   -3.000000E-01     1.232357E-01
   -2.500000E-01     8.853958E-02
   -2.000000E-01     5.826388E-02
   -1.500000E-01     3.349044E-02
   -1.000000E-01     1.511656E-02
   -5.000000E-02     3.814363E-03
    0.000000E+00     1.097697E-26
    5.000000E-02     3.814363E-03
    1.000000E-01     1.511656E-02
    1.500000E-01     3.349044E-02
    2.000000E-01     5.826388E-02
    2.500000E-01     8.853958E-02
    3.000000E-01     1.232357E-01
    3.500000E-01     1.611343E-01
    4.000000E-01     2.009337E-01
    4.500000E-01     2.413044E-01
    5.000000E-01     2.809424E-01
    5.500000E-01     3.186199E-01
    6.000000E-01     3.532301E-01
    6.500000E-01     3.838232E-01
    7.000000E-01     4.096344E-01
