#     V0          s range       <x^2> [ho units]  Norm denmat []
 -2.000000E+01   1.000000E-01   8.809198E-01   1.999997E+00
 -2.000000E+01   2.000000E-01   4.512742E-01   1.999985E+00
 -2.000000E+01   3.000000E-01   3.714953E-01   1.999987E+00
 -2.000000E+01   4.000000E-01   3.739544E-01   1.999992E+00
 -2.000000E+01   5.000000E-01   3.903213E-01   1.999995E+00
 -2.000000E+01   6.000000E-01   4.115994E-01   1.999996E+00
 -2.000000E+01   7.000000E-01   4.352871E-01   1.999997E+00
 -2.000000E+01   8.000000E-01   4.602975E-01   1.999998E+00
 -2.000000E+01   9.000000E-01   4.860024E-01   1.999998E+00
 -2.000000E+01   1.000000E+00   5.119694E-01   1.999999E+00
 -2.000000E+01   1.100000E+00   5.378701E-01   1.999999E+00
 -2.000000E+01   1.200000E+00   5.634434E-01   1.999999E+00
 -2.000000E+01   1.300000E+00   5.884788E-01   1.999999E+00
 -2.000000E+01   1.400000E+00   6.128075E-01   1.999999E+00
 -2.000000E+01   1.500000E+00   6.362972E-01   1.999999E+00
 -2.000000E+01   1.600000E+00   6.588474E-01   2.000000E+00
 -2.000000E+01   1.700000E+00   6.803862E-01   2.000000E+00
 -2.000000E+01   1.800000E+00   7.008667E-01   2.000000E+00
 -2.000000E+01   1.900000E+00   7.202634E-01   2.000000E+00
 -2.000000E+01   2.000000E+00   7.385694E-01   2.000000E+00
 -2.000000E+01   2.100000E+00   7.557928E-01   2.000000E+00
 -2.000000E+01   2.200000E+00   7.719541E-01   2.000000E+00
 -2.000000E+01   2.300000E+00   7.870837E-01   2.000000E+00
 -2.000000E+01   2.400000E+00   8.012193E-01   2.000000E+00
 -2.000000E+01   2.500000E+00   8.144037E-01   2.000000E+00
 -2.000000E+01   2.600000E+00   8.266836E-01   2.000000E+00
 -2.000000E+01   2.700000E+00   8.381078E-01   2.000000E+00
 -2.000000E+01   2.800000E+00   8.487260E-01   2.000000E+00
 -2.000000E+01   2.900000E+00   8.585877E-01   2.000000E+00
 -2.000000E+01   3.000000E+00   8.677420E-01   2.000000E+00
