# V0=10.0, s=0.5 
#  x1  x2  denmat
#   
   -5.000000E+00    -5.000000E+00     3.298390E-10
   -5.000000E+00    -4.950000E+00     3.393327E-10
   -5.000000E+00    -4.900000E+00     3.680277E-10
   -5.000000E+00    -4.850000E+00     4.170727E-10
   -5.000000E+00    -4.800000E+00     4.886689E-10
   -5.000000E+00    -4.750000E+00     5.860875E-10
   -5.000000E+00    -4.700000E+00     7.137702E-10
   -5.000000E+00    -4.650000E+00     8.774573E-10
   -5.000000E+00    -4.600000E+00     1.084372E-09
   -5.000000E+00    -4.550000E+00     1.343442E-09
   -5.000000E+00    -4.500000E+00     1.665580E-09
   -5.000000E+00    -4.450000E+00     2.064010E-09
   -5.000000E+00    -4.400000E+00     2.554658E-09
   -5.000000E+00    -4.350000E+00     3.156600E-09
   -5.000000E+00    -4.300000E+00     3.892583E-09
   -5.000000E+00    -4.250000E+00     4.789624E-09
   -5.000000E+00    -4.200000E+00     5.879688E-09
   -5.000000E+00    -4.150000E+00     7.200455E-09
   -5.000000E+00    -4.100000E+00     8.796187E-09
   -5.000000E+00    -4.050000E+00     1.071869E-08
   -5.000000E+00    -4.000000E+00     1.302841E-08
   -5.000000E+00    -3.950000E+00     1.579558E-08
   -5.000000E+00    -3.900000E+00     1.910158E-08
   -5.000000E+00    -3.850000E+00     2.304031E-08
   -5.000000E+00    -3.800000E+00     2.771979E-08
   -5.000000E+00    -3.750000E+00     3.326375E-08
   -5.000000E+00    -3.700000E+00     3.981350E-08
   -5.000000E+00    -3.650000E+00     4.752969E-08
   -5.000000E+00    -3.600000E+00     5.659436E-08
   -5.000000E+00    -3.550000E+00     6.721295E-08
   -5.000000E+00    -3.500000E+00     7.961631E-08
   -5.000000E+00    -3.450000E+00     9.406287E-08
   -5.000000E+00    -3.400000E+00     1.108406E-07
   -5.000000E+00    -3.350000E+00     1.302692E-07
   -5.000000E+00    -3.300000E+00     1.527015E-07
   -5.000000E+00    -3.250000E+00     1.785256E-07
   -5.000000E+00    -3.200000E+00     2.081659E-07
   -5.000000E+00    -3.150000E+00     2.420844E-07
   -5.000000E+00    -3.100000E+00     2.807811E-07
   -5.000000E+00    -3.050000E+00     3.247939E-07
   -5.000000E+00    -3.000000E+00     3.746982E-07
   -5.000000E+00    -2.950000E+00     4.311054E-07
   -5.000000E+00    -2.900000E+00     4.946605E-07
   -5.000000E+00    -2.850000E+00     5.660390E-07
   -5.000000E+00    -2.800000E+00     6.459423E-07
   -5.000000E+00    -2.750000E+00     7.350918E-07
