#     V0          s range       Energy (HF1) [ho]  Energy (HF2)      EKIN        EHO             EPOT
 -2.000000E+01   1.000000E-01   4.210032E+00   4.210032E+00   2.502641E+00   1.014343E+00  -6.425920E-01
 -2.000000E+01   2.000000E-01   2.594838E+00   2.594838E+00   8.876933E+00   3.340194E-01  -1.390027E+01
 -2.000000E+01   3.000000E-01  -2.584762E+00  -2.584762E+00   1.571156E+01   1.757549E-01  -3.729566E+01
 -2.000000E+01   4.000000E-01  -5.443503E+00  -5.443503E+00   1.424872E+01   1.900924E-01  -4.014482E+01
 -2.000000E+01   5.000000E-01  -6.764263E+00  -6.764263E+00   1.231277E+01   2.184308E-01  -3.902778E+01
 -2.000000E+01   6.000000E-01  -7.310332E+00  -7.310332E+00   1.064148E+01   2.517329E-01  -3.691055E+01
 -2.000000E+01   7.000000E-01  -7.455201E+00  -7.455201E+00   9.290846E+00   2.874562E-01  -3.464192E+01
 -2.000000E+01   8.000000E-01  -7.385226E+00  -7.385226E+00   8.210192E+00   3.243963E-01  -3.248842E+01
 -2.000000E+01   9.000000E-01  -7.198169E+00  -7.198169E+00   7.341173E+00   3.618073E-01  -3.052591E+01
 -2.000000E+01   1.000000E+00  -6.947697E+00  -6.947697E+00   6.635679E+00   3.991601E-01  -2.876339E+01
 -2.000000E+01   1.100000E+00  -6.664365E+00  -6.664365E+00   6.056911E+00   4.360559E-01  -2.718678E+01
 -2.000000E+01   1.200000E+00  -6.366050E+00  -6.366050E+00   5.577232E+00   4.721881E-01  -2.577532E+01
 -2.000000E+01   1.300000E+00  -6.063405E+00  -6.063405E+00   5.175877E+00   5.073227E-01  -2.450786E+01
 -2.000000E+01   1.400000E+00  -5.762833E+00  -5.762833E+00   4.837122E+00   5.412849E-01  -2.336505E+01
 -2.000000E+01   1.500000E+00  -5.468168E+00  -5.468168E+00   4.548938E+00   5.739495E-01  -2.233001E+01
 -2.000000E+01   1.600000E+00  -5.181664E+00  -5.181664E+00   4.302020E+00   6.052329E-01  -2.138830E+01
 -2.000000E+01   1.700000E+00  -4.904584E+00  -4.904584E+00   4.089087E+00   6.350854E-01  -2.052768E+01
 -2.000000E+01   1.800000E+00  -4.637560E+00  -4.637560E+00   3.904383E+00   6.634852E-01  -1.973783E+01
 -2.000000E+01   1.900000E+00  -4.380823E+00  -4.380823E+00   3.743310E+00   6.904327E-01  -1.901000E+01
 -2.000000E+01   2.000000E+00  -4.134350E+00  -4.134350E+00   3.602161E+00   7.159455E-01  -1.833681E+01
 -2.000000E+01   2.100000E+00  -3.897955E+00  -3.897955E+00   3.477922E+00   7.400542E-01  -1.771197E+01
 -2.000000E+01   2.200000E+00  -3.671352E+00  -3.671352E+00   3.368119E+00   7.627993E-01  -1.713014E+01
 -2.000000E+01   2.300000E+00  -3.454194E+00  -3.454194E+00   3.270710E+00   7.842283E-01  -1.658672E+01
 -2.000000E+01   2.400000E+00  -3.246104E+00  -3.246104E+00   3.183995E+00   8.043932E-01  -1.607777E+01
 -2.000000E+01   2.500000E+00  -3.046689E+00  -3.046689E+00   3.106551E+00   8.233492E-01  -1.559988E+01
 -2.000000E+01   2.600000E+00  -2.855554E+00  -2.855554E+00   3.037178E+00   8.411532E-01  -1.515008E+01
 -2.000000E+01   2.700000E+00  -2.672307E+00  -2.672307E+00   2.974861E+00   8.578628E-01  -1.472579E+01
 -2.000000E+01   2.800000E+00  -2.496568E+00  -2.496568E+00   2.918736E+00   8.735351E-01  -1.432475E+01
 -2.000000E+01   2.900000E+00  -2.327969E+00  -2.327969E+00   2.868061E+00   8.882268E-01  -1.394497E+01
 -2.000000E+01   3.000000E+00  -2.166158E+00  -2.166158E+00   2.822202E+00   9.019933E-01  -1.358469E+01
