# V0=-20.0, s=0.5 
#  x1  x2  denmat
#   
   -6.000000E+00    -6.000000E+00     3.255482E-22
   -6.000000E+00    -5.950000E+00     3.461030E-22
   -6.000000E+00    -5.900000E+00     4.101182E-22
   -6.000000E+00    -5.850000E+00     5.250149E-22
   -6.000000E+00    -5.800000E+00     7.043550E-22
   -6.000000E+00    -5.750000E+00     9.689928E-22
   -6.000000E+00    -5.700000E+00     1.349797E-21
   -6.000000E+00    -5.650000E+00     1.890878E-21
   -6.000000E+00    -5.600000E+00     2.653788E-21
   -6.000000E+00    -5.550000E+00     3.724381E-21
   -6.000000E+00    -5.500000E+00     5.221490E-21
   -6.000000E+00    -5.450000E+00     7.309909E-21
   -6.000000E+00    -5.400000E+00     1.021624E-20
   -6.000000E+00    -5.350000E+00     1.425146E-20
   -6.000000E+00    -5.300000E+00     1.984185E-20
   -6.000000E+00    -5.250000E+00     2.757053E-20
   -6.000000E+00    -5.200000E+00     3.823319E-20
   -6.000000E+00    -5.150000E+00     5.291384E-20
   -6.000000E+00    -5.100000E+00     7.308548E-20
   -6.000000E+00    -5.050000E+00     1.007460E-19
   -6.000000E+00    -5.000000E+00     1.385996E-19
   -6.000000E+00    -4.950000E+00     1.902983E-19
   -6.000000E+00    -4.900000E+00     2.607660E-19
   -6.000000E+00    -4.850000E+00     3.566268E-19
   -6.000000E+00    -4.800000E+00     4.867743E-19
   -6.000000E+00    -4.750000E+00     6.631251E-19
   -6.000000E+00    -4.700000E+00     9.016141E-19
   -6.000000E+00    -4.650000E+00     1.223509E-18
   -6.000000E+00    -4.600000E+00     1.657136E-18
   -6.000000E+00    -4.550000E+00     2.240152E-18
   -6.000000E+00    -4.500000E+00     3.022518E-18
   -6.000000E+00    -4.450000E+00     4.070390E-18
   -6.000000E+00    -4.400000E+00     5.471199E-18
   -6.000000E+00    -4.350000E+00     7.340276E-18
   -6.000000E+00    -4.300000E+00     9.829454E-18
   -6.000000E+00    -4.250000E+00     1.313825E-17
   -6.000000E+00    -4.200000E+00     1.752835E-17
   -6.000000E+00    -4.150000E+00     2.334232E-17
   -6.000000E+00    -4.100000E+00     3.102777E-17
   -6.000000E+00    -4.050000E+00     4.116848E-17
   -6.000000E+00    -4.000000E+00     5.452448E-17
   -6.000000E+00    -3.950000E+00     7.208334E-17
   -6.000000E+00    -3.900000E+00     9.512608E-17
   -6.000000E+00    -3.850000E+00     1.253113E-16
   -6.000000E+00    -3.800000E+00     1.647826E-16
   -6.000000E+00    -3.750000E+00     2.163057E-16
   -6.000000E+00    -3.700000E+00     2.834425E-16
   -6.000000E+00    -3.650000E+00     3.707724E-16
   -6.000000E+00    -3.600000E+00     4.841725E-16
   -6.000000E+00    -3.550000E+00     6.311730E-16
   -6.000000E+00    -3.500000E+00     8.214054E-16
   -6.000000E+00    -3.450000E+00     1.067168E-15
   -6.000000E+00    -3.400000E+00     1.384140E-15
