

# V0=-20.0, s=2.4 
#   x [ho units]    Density [ho units]
   -6.000000E+00     1.310355E-17
   -5.950000E+00     8.679627E-17
   -5.900000E+00     3.361486E-16
   -5.850000E+00     8.558716E-16
   -5.800000E+00     1.839749E-15
   -5.750000E+00     3.647770E-15
   -5.700000E+00     6.929250E-15
   -5.650000E+00     1.284114E-14
   -5.600000E+00     2.342988E-14
   -5.550000E+00     4.229415E-14
   -5.500000E+00     7.572785E-14
   -5.450000E+00     1.346803E-13
   -5.400000E+00     2.380992E-13
   -5.350000E+00     4.185998E-13
   -5.300000E+00     7.320270E-13
   -5.250000E+00     1.273492E-12
   -5.200000E+00     2.204117E-12
   -5.150000E+00     3.795397E-12
   -5.100000E+00     6.502343E-12
   -5.050000E+00     1.108343E-11
   -5.000000E+00     1.879617E-11
   -4.950000E+00     3.171411E-11
   -4.900000E+00     5.323777E-11
   -4.850000E+00     8.891337E-11
   -4.800000E+00     1.477371E-10
   -4.750000E+00     2.442204E-10
   -4.700000E+00     4.016418E-10
   -4.650000E+00     6.571355E-10
   -4.600000E+00     1.069607E-09
   -4.550000E+00     1.731971E-09
   -4.500000E+00     2.789959E-09
   -4.450000E+00     4.470847E-09
   -4.400000E+00     7.127049E-09
   -4.350000E+00     1.130189E-08
   -4.300000E+00     1.782816E-08
   -4.250000E+00     2.797495E-08
   -4.200000E+00     4.366486E-08
   -4.150000E+00     6.779338E-08
   -4.100000E+00     1.046953E-07
   -4.050000E+00     1.608217E-07
   -4.000000E+00     2.457145E-07
   -3.950000E+00     3.734030E-07
   -3.900000E+00     5.643875E-07
   -3.850000E+00     8.484399E-07
   -3.800000E+00     1.268528E-06
   -3.750000E+00     1.886277E-06
   -3.700000E+00     2.789513E-06
   -3.650000E+00     4.102603E-06
   -3.600000E+00     6.000528E-06
   -3.550000E+00     8.727880E-06
   -3.500000E+00     1.262431E-05
   -3.450000E+00     1.815834E-05
   -3.400000E+00     2.597195E-05
   -3.350000E+00     3.693876E-05
   -3.300000E+00     5.223952E-05
   -3.250000E+00     7.345893E-05
   -3.200000E+00     1.027089E-04
   -3.150000E+00     1.427836E-04
   -3.100000E+00     1.973534E-04
   -3.050000E+00     2.712039E-04
   -3.000000E+00     3.705276E-04
   -2.950000E+00     5.032772E-04
   -2.900000E+00     6.795859E-04
   -2.850000E+00     9.122628E-04
   -2.800000E+00     1.217369E-03
   -2.750000E+00     1.614874E-03
   -2.700000E+00     2.129401E-03
   -2.650000E+00     2.791039E-03
   -2.600000E+00     3.636231E-03
   -2.550000E+00     4.708704E-03
   -2.500000E+00     6.060419E-03
   -2.450000E+00     7.752507E-03
   -2.400000E+00     9.856138E-03
   -2.350000E+00     1.245326E-02
   -2.300000E+00     1.563714E-02
   -2.250000E+00     1.951264E-02
   -2.200000E+00     2.419610E-02
   -2.150000E+00     2.981476E-02
   -2.100000E+00     3.650562E-02
   -2.050000E+00     4.441366E-02
   -2.000000E+00     5.368927E-02
   -1.950000E+00     6.448493E-02
   -1.900000E+00     7.695103E-02
   -1.850000E+00     9.123088E-02
   -1.800000E+00     1.074549E-01
   -1.750000E+00     1.257343E-01
   -1.700000E+00     1.461540E-01
   -1.650000E+00     1.687654E-01
   -1.600000E+00     1.935795E-01
   -1.550000E+00     2.205596E-01
   -1.500000E+00     2.496158E-01
   -1.450000E+00     2.805998E-01
   -1.400000E+00     3.133022E-01
   -1.350000E+00     3.474506E-01
   -1.300000E+00     3.827118E-01
   -1.250000E+00     4.186951E-01
   -1.200000E+00     4.549597E-01
   -1.150000E+00     4.910245E-01
   -1.100000E+00     5.263806E-01
   -1.050000E+00     5.605069E-01
   -1.000000E+00     5.928873E-01
   -9.500000E-01     6.230293E-01
   -9.000000E-01     6.504838E-01
   -8.500000E-01     6.748637E-01
   -8.000000E-01     6.958623E-01
   -7.500000E-01     7.132677E-01
   -7.000000E-01     7.269758E-01
   -6.500000E-01     7.369977E-01
   -6.000000E-01     7.434625E-01
   -5.500000E-01     7.466149E-01
   -5.000000E-01     7.468071E-01
   -4.500000E-01     7.444851E-01
   -4.000000E-01     7.401700E-01
   -3.500000E-01     7.344350E-01
   -3.000000E-01     7.278793E-01
   -2.500000E-01     7.211000E-01
   -2.000000E-01     7.146630E-01
   -1.500000E-01     7.090760E-01
   -1.000000E-01     7.047629E-01
   -5.000000E-02     7.020428E-01
    0.000000E+00     7.011136E-01
    5.000000E-02     7.020428E-01
    1.000000E-01     7.047629E-01
    1.500000E-01     7.090760E-01
    2.000000E-01     7.146630E-01
    2.500000E-01     7.211000E-01
    3.000000E-01     7.278793E-01
    3.500000E-01     7.344350E-01
    4.000000E-01     7.401700E-01
    4.500000E-01     7.444851E-01
    5.000000E-01     7.468071E-01
    5.500000E-01     7.466149E-01
    6.000000E-01     7.434625E-01
    6.500000E-01     7.369977E-01
    7.000000E-01     7.269758E-01
    7.500000E-01     7.132677E-01
    8.000000E-01     6.958623E-01
    8.500000E-01     6.748637E-01
    9.000000E-01     6.504838E-01
    9.500000E-01     6.230293E-01
    1.000000E+00     5.928873E-01
    1.050000E+00     5.605069E-01
    1.100000E+00     5.263806E-01
    1.150000E+00     4.910245E-01
