

# V0=-10.0, s=0.5 
#   x [ho units]    Density [ho units]
   -6.000000E+00     1.940878E-14
   -5.950000E+00     2.115528E-14
   -5.900000E+00     2.696347E-14
   -5.850000E+00     3.878357E-14
   -5.800000E+00     6.056918E-14
   -5.750000E+00     9.950651E-14
   -5.700000E+00     1.682325E-13
   -5.650000E+00     2.886613E-13
   -5.600000E+00     4.984982E-13
   -5.550000E+00     8.622200E-13
   -5.500000E+00     1.489479E-12
   -5.450000E+00     2.565754E-12
   -5.400000E+00     4.403134E-12
   -5.350000E+00     7.523969E-12
   -5.300000E+00     1.279792E-11
   -5.250000E+00     2.166527E-11
   -5.200000E+00     3.649868E-11
   -5.150000E+00     6.118618E-11
   -5.100000E+00     1.020653E-10
   -5.050000E+00     1.694114E-10
   -5.000000E+00     2.797963E-10
   -4.950000E+00     4.598043E-10
   -4.900000E+00     7.518549E-10
   -4.850000E+00     1.223275E-09
   -4.800000E+00     1.980352E-09
   -4.750000E+00     3.189986E-09
   -4.700000E+00     5.112849E-09
   -4.650000E+00     8.153892E-09
   -4.600000E+00     1.293882E-08
   -4.550000E+00     2.042923E-08
   -4.500000E+00     3.209499E-08
   -4.450000E+00     5.017071E-08
   -4.400000E+00     7.803530E-08
   -4.350000E+00     1.207703E-07
   -4.300000E+00     1.859761E-07
   -4.250000E+00     2.849589E-07
   -4.200000E+00     4.344459E-07
   -4.150000E+00     6.590489E-07
   -4.100000E+00     9.947825E-07
   -4.050000E+00     1.494058E-06
   -4.000000E+00     2.232726E-06
   -3.950000E+00     3.319957E-06
   -3.900000E+00     4.912004E-06
   -3.850000E+00     7.231265E-06
   -3.800000E+00     1.059252E-05
   -3.750000E+00     1.543882E-05
   -3.700000E+00     2.239023E-05
   -3.650000E+00     3.230970E-05
   -3.600000E+00     4.639136E-05
   -3.550000E+00     6.627828E-05
   -3.500000E+00     9.421826E-05
   -3.450000E+00     1.332688E-04
   -3.400000E+00     1.875644E-04
   -3.350000E+00     2.626641E-04
   -3.300000E+00     3.659973E-04
   -3.250000E+00     5.074347E-04
   -3.200000E+00     7.000114E-04
   -3.150000E+00     9.608365E-04
   -3.100000E+00     1.312226E-03
   -3.050000E+00     1.783105E-03
   -3.000000E+00     2.410718E-03
   -2.950000E+00     3.242698E-03
   -2.900000E+00     4.339550E-03
   -2.850000E+00     5.777553E-03
   -2.800000E+00     7.652152E-03
   -2.750000E+00     1.008178E-02
   -2.700000E+00     1.321214E-02
   -2.650000E+00     1.722074E-02
   -2.600000E+00     2.232161E-02
   -2.550000E+00     2.876984E-02
   -2.500000E+00     3.686552E-02
   -2.450000E+00     4.695646E-02
   -2.400000E+00     5.943898E-02
   -2.350000E+00     7.475566E-02
   -2.300000E+00     9.338906E-02
   -2.250000E+00     1.158500E-01
   -2.200000E+00     1.426593E-01
   -2.150000E+00     1.743222E-01
   -2.100000E+00     2.112941E-01
   -2.050000E+00     2.539395E-01
   -2.000000E+00     3.024839E-01
   -1.950000E+00     3.569635E-01
   -1.900000E+00     4.171755E-01
   -1.850000E+00     4.826365E-01
   -1.800000E+00     5.525567E-01
   -1.750000E+00     6.258365E-01
   -1.700000E+00     7.010936E-01
   -1.650000E+00     7.767238E-01
   -1.600000E+00     8.509984E-01
   -1.550000E+00     9.221906E-01
   -1.500000E+00     9.887224E-01
   -1.450000E+00     1.049315E+00
   -1.400000E+00     1.103123E+00
   -1.350000E+00     1.149828E+00
   -1.300000E+00     1.189681E+00
   -1.250000E+00     1.223466E+00
   -1.200000E+00     1.252401E+00
   -1.150000E+00     1.277964E+00
   -1.100000E+00     1.301682E+00
   -1.050000E+00     1.324905E+00
   -1.000000E+00     1.348603E+00
   -9.500000E-01     1.373222E+00
   -9.000000E-01     1.398628E+00
   -8.500000E-01     1.424153E+00
   -8.000000E-01     1.448750E+00
   -7.500000E-01     1.471210E+00
   -7.000000E-01     1.490432E+00
   -6.500000E-01     1.505671E+00
   -6.000000E-01     1.516725E+00
   -5.500000E-01     1.524000E+00
   -5.000000E-01     1.528461E+00
   -4.500000E-01     1.531439E+00
   -4.000000E-01     1.534357E+00
   -3.500000E-01     1.538423E+00
   -3.000000E-01     1.544355E+00
   -2.500000E-01     1.552217E+00
   -2.000000E-01     1.561399E+00
   -1.500000E-01     1.570756E+00
   -1.000000E-01     1.578870E+00
   -5.000000E-02     1.584388E+00
    0.000000E+00     1.586344E+00
    5.000000E-02     1.584388E+00
    1.000000E-01     1.578870E+00
    1.500000E-01     1.570756E+00
    2.000000E-01     1.561399E+00
    2.500000E-01     1.552217E+00
    3.000000E-01     1.544355E+00
    3.500000E-01     1.538423E+00
    4.000000E-01     1.534357E+00
    4.500000E-01     1.531439E+00
    5.000000E-01     1.528461E+00
    5.500000E-01     1.524000E+00
    6.000000E-01     1.516725E+00
    6.500000E-01     1.505671E+00
    7.000000E-01     1.490432E+00
    7.500000E-01     1.471210E+00
    8.000000E-01     1.448750E+00
    8.500000E-01     1.424153E+00
    9.000000E-01     1.398628E+00
    9.500000E-01     1.373222E+00
    1.000000E+00     1.348603E+00
    1.050000E+00     1.324905E+00
    1.100000E+00     1.301682E+00
    1.150000E+00     1.277964E+00
    1.200000E+00     1.252401E+00
    1.250000E+00     1.223466E+00
    1.300000E+00     1.189681E+00
    1.350000E+00     1.149828E+00
    1.400000E+00     1.103123E+00
    1.450000E+00     1.049315E+00
    1.500000E+00     9.887224E-01
    1.550000E+00     9.221906E-01
    1.600000E+00     8.509984E-01
    1.650000E+00     7.767238E-01
    1.700000E+00     7.010936E-01
    1.750000E+00     6.258365E-01
    1.800000E+00     5.525567E-01
    1.850000E+00     4.826365E-01
    1.900000E+00     4.171755E-01
    1.950000E+00     3.569635E-01
    2.000000E+00     3.024839E-01
    2.050000E+00     2.539395E-01
    2.100000E+00     2.112941E-01
    2.150000E+00     1.743222E-01
    2.200000E+00     1.426593E-01
    2.250000E+00     1.158500E-01
    2.300000E+00     9.338906E-02
    2.350000E+00     7.475566E-02
    2.400000E+00     5.943898E-02
    2.450000E+00     4.695646E-02
    2.500000E+00     3.686552E-02
    2.550000E+00     2.876984E-02
    2.600000E+00     2.232161E-02
    2.650000E+00     1.722074E-02
    2.700000E+00     1.321214E-02
    2.750000E+00     1.008178E-02
    2.800000E+00     7.652152E-03
    2.850000E+00     5.777553E-03
    2.900000E+00     4.339550E-03
    2.950000E+00     3.242698E-03
    3.000000E+00     2.410718E-03
    3.050000E+00     1.783105E-03
    3.100000E+00     1.312226E-03
    3.150000E+00     9.608365E-04
    3.200000E+00     7.000114E-04
    3.250000E+00     5.074347E-04
    3.300000E+00     3.659973E-04
    3.350000E+00     2.626641E-04
    3.400000E+00     1.875644E-04
    3.450000E+00     1.332688E-04
    3.500000E+00     9.421826E-05
    3.550000E+00     6.627828E-05
    3.600000E+00     4.639136E-05
    3.650000E+00     3.230970E-05
    3.700000E+00     2.239023E-05
    3.750000E+00     1.543882E-05
    3.800000E+00     1.059252E-05
    3.850000E+00     7.231265E-06
    3.900000E+00     4.912004E-06
    3.950000E+00     3.319957E-06
    4.000000E+00     2.232726E-06
    4.050000E+00     1.494058E-06
    4.100000E+00     9.947825E-07
    4.150000E+00     6.590489E-07
    4.200000E+00     4.344459E-07
    4.250000E+00     2.849589E-07
    4.300000E+00     1.859761E-07
    4.350000E+00     1.207703E-07
    4.400000E+00     7.803530E-08
    4.450000E+00     5.017071E-08
    4.500000E+00     3.209499E-08
    4.550000E+00     2.042923E-08
    4.600000E+00     1.293882E-08
    4.650000E+00     8.153892E-09
    4.700000E+00     5.112849E-09
    4.750000E+00     3.189986E-09
    4.800000E+00     1.980352E-09
    4.850000E+00     1.223275E-09
    4.900000E+00     7.518549E-10
    4.950000E+00     4.598043E-10
    5.000000E+00     2.797963E-10
    5.050000E+00     1.694114E-10
    5.100000E+00     1.020653E-10
    5.150000E+00     6.118618E-11
    5.200000E+00     3.649868E-11
    5.250000E+00     2.166527E-11
    5.300000E+00     1.279792E-11
    5.350000E+00     7.523969E-12
    5.400000E+00     4.403134E-12
    5.450000E+00     2.565754E-12
    5.500000E+00     1.489479E-12
    5.550000E+00     8.622200E-13
    5.600000E+00     4.984982E-13
    5.650000E+00     2.886613E-13
    5.700000E+00     1.682325E-13
    5.750000E+00     9.950651E-14
    5.800000E+00     6.056918E-14
    5.850000E+00     3.878357E-14
    5.900000E+00     2.696347E-14
    5.950000E+00     2.115528E-14
