

# V0=10.0, s=0.5 
#   x [ho units]    Density [ho units]
   -6.000000E+00     2.064579E-07
   -5.950000E+00     2.420305E-07
   -5.900000E+00     3.556779E-07
   -5.850000E+00     5.698202E-07
   -5.800000E+00     9.258354E-07
   -5.750000E+00     1.490488E-06
   -5.700000E+00     2.366336E-06
   -5.650000E+00     3.707258E-06
   -5.600000E+00     5.740964E-06
   -5.550000E+00     8.801026E-06
   -5.500000E+00     1.337187E-05
   -5.450000E+00     2.015131E-05
   -5.400000E+00     3.013660E-05
   -5.350000E+00     4.474161E-05
   -5.300000E+00     6.595502E-05
   -5.250000E+00     9.655136E-05
   -5.200000E+00     1.403699E-04
   -5.150000E+00     2.026792E-04
   -5.100000E+00     2.906478E-04
   -5.050000E+00     4.139455E-04
   -5.000000E+00     5.855009E-04
   -4.950000E+00     8.224447E-04
   -4.900000E+00     1.147265E-03
   -4.850000E+00     1.589205E-03
   -4.800000E+00     2.185919E-03
   -4.750000E+00     2.985409E-03
   -4.700000E+00     4.048229E-03
   -4.650000E+00     5.449945E-03
   -4.600000E+00     7.283797E-03
   -4.550000E+00     9.663477E-03
   -4.500000E+00     1.272590E-02
   -4.450000E+00     1.663376E-02
   -4.400000E+00     2.157772E-02
   -4.350000E+00     2.777777E-02
   -4.300000E+00     3.548356E-02
   -4.250000E+00     4.497325E-02
   -4.200000E+00     5.655029E-02
   -4.150000E+00     7.053791E-02
   -4.100000E+00     8.727065E-02
   -4.050000E+00     1.070827E-01
   -4.000000E+00     1.302926E-01
   -3.950000E+00     1.571848E-01
   -3.900000E+00     1.879874E-01
   -3.850000E+00     2.228478E-01
   -3.800000E+00     2.618056E-01
   -3.750000E+00     3.047663E-01
   -3.700000E+00     3.514755E-01
   -3.650000E+00     4.014973E-01
   -3.600000E+00     4.541987E-01
   -3.550000E+00     5.087426E-01
   -3.500000E+00     5.640929E-01
   -3.450000E+00     6.190320E-01
   -3.400000E+00     6.721941E-01
   -3.350000E+00     7.221138E-01
   -3.300000E+00     7.672882E-01
   -3.250000E+00     8.062526E-01
   -3.200000E+00     8.376630E-01
   -3.150000E+00     8.603828E-01
   -3.100000E+00     8.735661E-01
   -3.050000E+00     8.767300E-01
   -3.000000E+00     8.698124E-01
   -2.950000E+00     8.532060E-01
   -2.900000E+00     8.277678E-01
   -2.850000E+00     7.948000E-01
   -2.800000E+00     7.560036E-01
   -2.750000E+00     7.134089E-01
   -2.700000E+00     6.692849E-01
   -2.650000E+00     6.260360E-01
   -2.600000E+00     5.860899E-01
   -2.550000E+00     5.517840E-01
   -2.500000E+00     5.252532E-01
   -2.450000E+00     5.083230E-01
   -2.400000E+00     5.024100E-01
   -2.350000E+00     5.084323E-01
   -2.300000E+00     5.267325E-01
   -2.250000E+00     5.570175E-01
   -2.200000E+00     5.983223E-01
   -2.150000E+00     6.490057E-01
   -2.100000E+00     7.067858E-01
   -2.050000E+00     7.688237E-01
   -2.000000E+00     8.318577E-01
