# V0=-10.0, s=0.5 
#  x1  x2  denmat
#   
   -6.000000E+00    -6.000000E+00     0.000000E+00
   -6.000000E+00    -5.950000E+00     5.262888E-30
   -6.000000E+00    -5.900000E+00     2.285581E-29
   -6.000000E+00    -5.850000E+00     5.871025E-29
   -6.000000E+00    -5.800000E+00     1.246655E-28
   -6.000000E+00    -5.750000E+00     2.420518E-28
   -6.000000E+00    -5.700000E+00     4.480638E-28
   -6.000000E+00    -5.650000E+00     8.066761E-28
   -6.000000E+00    -5.600000E+00     1.427047E-27
   -6.000000E+00    -5.550000E+00     2.494275E-27
   -6.000000E+00    -5.500000E+00     4.320472E-27
   -6.000000E+00    -5.450000E+00     7.429049E-27
   -6.000000E+00    -5.400000E+00     1.269304E-26
   -6.000000E+00    -5.350000E+00     2.156082E-26
   -6.000000E+00    -5.300000E+00     3.642232E-26
   -6.000000E+00    -5.250000E+00     6.119998E-26
   -6.000000E+00    -5.200000E+00     1.022966E-25
   -6.000000E+00    -5.150000E+00     1.701076E-25
   -6.000000E+00    -5.100000E+00     2.814194E-25
   -6.000000E+00    -5.050000E+00     4.631912E-25
   -6.000000E+00    -5.000000E+00     7.584861E-25
   -6.000000E+00    -4.950000E+00     1.235715E-24
   -6.000000E+00    -4.900000E+00     2.002968E-24
   -6.000000E+00    -4.850000E+00     3.230090E-24
   -6.000000E+00    -4.800000E+00     5.182510E-24
   -6.000000E+00    -4.750000E+00     8.272757E-24
   -6.000000E+00    -4.700000E+00     1.313846E-23
   -6.000000E+00    -4.650000E+00     2.075972E-23
   -6.000000E+00    -4.600000E+00     3.263481E-23
   -6.000000E+00    -4.550000E+00     5.104133E-23
   -6.000000E+00    -4.500000E+00     7.942248E-23
   -6.000000E+00    -4.450000E+00     1.229545E-22
   -6.000000E+00    -4.400000E+00     1.893754E-22
   -6.000000E+00    -4.350000E+00     2.901883E-22
   -6.000000E+00    -4.300000E+00     4.423973E-22
   -6.000000E+00    -4.250000E+00     6.709959E-22
   -6.000000E+00    -4.200000E+00     1.012514E-21
   -6.000000E+00    -4.150000E+00     1.520037E-21
   -6.000000E+00    -4.100000E+00     2.270275E-21
   -6.000000E+00    -4.050000E+00     3.373433E-21
   -6.000000E+00    -4.000000E+00     4.986934E-21
   -6.000000E+00    -3.950000E+00     7.334343E-21
   -6.000000E+00    -3.900000E+00     1.073132E-20
