#     V0          s range       <x^2> [ho units]  Norm denmat []
 -2.000000E+01   1.000000E-01   2.145577E+00   5.000000E+00
 -2.000000E+01   2.000000E-01   5.521939E-01   5.000000E+00
 -2.000000E+01   3.000000E-01   3.960699E-01   5.000000E+00
 -2.000000E+01   4.000000E-01   4.181645E-01   5.000000E+00
 -2.000000E+01   5.000000E-01   4.640932E-01   5.000000E+00
 -2.000000E+01   6.000000E-01   5.193150E-01   5.000000E+00
 -2.000000E+01   7.000000E-01   5.795015E-01   5.000000E+00
 -2.000000E+01   8.000000E-01   6.426469E-01   5.000000E+00
 -2.000000E+01   9.000000E-01   7.075537E-01   5.000000E+00
 -2.000000E+01   1.000000E+00   7.733888E-01   5.000000E+00
 -2.000000E+01   1.100000E+00   8.395189E-01   5.000000E+00
 -2.000000E+01   1.200000E+00   9.054394E-01   5.000000E+00
 -2.000000E+01   1.300000E+00   9.707385E-01   5.000000E+00
 -2.000000E+01   1.400000E+00   1.035078E+00   5.000000E+00
 -2.000000E+01   1.500000E+00   1.098180E+00   5.000000E+00
 -2.000000E+01   1.600000E+00   1.159819E+00   5.000000E+00
 -2.000000E+01   1.700000E+00   1.219816E+00   5.000000E+00
 -2.000000E+01   1.800000E+00   1.278030E+00   5.000000E+00
 -2.000000E+01   1.900000E+00   1.334356E+00   5.000000E+00
 -2.000000E+01   2.000000E+00   1.388717E+00   5.000000E+00
 -2.000000E+01   2.100000E+00   1.441065E+00   5.000000E+00
 -2.000000E+01   2.200000E+00   1.491372E+00   5.000000E+00
 -2.000000E+01   2.300000E+00   1.539631E+00   5.000000E+00
 -2.000000E+01   2.400000E+00   1.585849E+00   5.000000E+00
 -2.000000E+01   2.500000E+00   1.630050E+00   5.000000E+00
 -2.000000E+01   2.600000E+00   1.672264E+00   5.000000E+00
 -2.000000E+01   2.700000E+00   1.712535E+00   5.000000E+00
 -2.000000E+01   2.800000E+00   1.750910E+00   5.000000E+00
 -2.000000E+01   2.900000E+00   1.787446E+00   5.000000E+00
 -2.000000E+01   3.000000E+00   1.822201E+00   5.000000E+00
