#     V0          s range       Energy (HF1) [ho]  Energy (HF2)      EKIN        EHO             EPOT
 -2.000000E+01   5.000000E-01  -6.764263E+00  -6.764263E+00   1.231275E+01   2.184311E-01  -3.902776E+01
 -1.900000E+01   5.000000E-01  -5.805131E+00  -5.805131E+00   1.163521E+01   2.311199E-01  -3.580517E+01
 -1.800000E+01   5.000000E-01  -4.880462E+00  -4.880462E+00   1.094989E+01   2.455385E-01  -3.264287E+01
 -1.700000E+01   5.000000E-01  -3.992360E+00  -3.992360E+00   1.025815E+01   2.620228E-01  -2.954912E+01
 -1.600000E+01   5.000000E-01  -3.143032E+00  -3.143032E+00   9.561952E+00   2.809821E-01  -2.653390E+01
 -1.500000E+01   5.000000E-01  -2.334760E+00  -2.334760E+00   8.864068E+00   3.029099E-01  -2.360930E+01
 -1.400000E+01   5.000000E-01  -1.569839E+00  -1.569839E+00   8.168349E+00   3.283894E-01  -2.078993E+01
 -1.300000E+01   5.000000E-01  -8.504771E-01  -8.504771E-01   7.479978E+00   3.580877E-01  -1.809326E+01
 -1.200000E+01   5.000000E-01  -1.786568E-01  -1.786568E-01   6.805708E+00   3.927249E-01  -1.553963E+01
 -1.100000E+01   5.000000E-01   4.440653E-01   4.440653E-01   6.153971E+00   4.330036E-01  -1.315183E+01
 -1.000000E+01   5.000000E-01   1.016808E+00   1.016808E+00   5.534682E+00   4.794835E-01  -1.095368E+01
 -9.000000E+00   5.000000E-01   1.539639E+00   1.539639E+00   4.958525E+00   5.324004E-01  -8.967373E+00
 -8.000000E+00   5.000000E-01   2.013813E+00   2.013813E+00   4.435574E+00   5.914682E-01  -7.209396E+00
 -7.000000E+00   5.000000E-01   2.441868E+00   2.441868E+00   3.973396E+00   6.557563E-01  -5.686081E+00
 -6.000000E+00   5.000000E-01   2.827503E+00   2.827503E+00   3.575272E+00   7.237545E-01  -4.390555E+00
 -5.000000E+00   5.000000E-01   3.175203E+00   3.175203E+00   3.239513E+00   7.936559E-01  -3.303243E+00
 -4.000000E+00   5.000000E-01   3.489737E+00   3.489737E+00   2.960324E+00   8.637347E-01  -2.396114E+00
 -3.000000E+00   5.000000E-01   3.775692E+00   3.775692E+00   2.729688E+00   9.326271E-01  -1.638500E+00
 -2.000000E+00   5.000000E-01   4.037169E+00   4.037169E+00   2.539225E+00   9.994246E-01  -1.001809E+00
 -1.000000E+00   5.000000E-01   4.277651E+00   4.277651E+00   2.381397E+00   1.063620E+00  -4.619752E-01
  0.000000E+00   5.000000E-01   4.500000E+00   4.500000E+00   2.250004E+00   1.124998E+00   6.105064E-09
  1.000000E+00   5.000000E-01   4.706526E+00   4.706526E+00   2.140217E+00   1.183523E+00   3.985253E-01
  2.000000E+00   5.000000E-01   4.899067E+00   4.899067E+00   2.048411E+00   1.239265E+00   7.442541E-01
  3.000000E+00   5.000000E-01   5.079080E+00   5.079080E+00   1.971932E+00   1.292345E+00   1.044919E+00
  4.000000E+00   5.000000E-01   5.247711E+00   5.247711E+00   1.908879E+00   1.342898E+00   1.306073E+00
  5.000000E+00   5.000000E-01   5.405866E+00   5.405866E+00   1.857883E+00   1.391063E+00   1.531714E+00
  6.000000E+00   5.000000E-01   5.554270E+00   5.554270E+00   1.817912E+00   1.436972E+00   1.724829E+00
  7.000000E+00   5.000000E-01   5.693520E+00   5.693520E+00   1.788095E+00   1.480738E+00   1.887897E+00
  8.000000E+00   5.000000E-01   5.824132E+00   5.824132E+00   1.767569E+00   1.522461E+00   2.023282E+00
  9.000000E+00   5.000000E-01   5.946585E+00   5.946585E+00   1.755386E+00   1.562222E+00   2.133512E+00
  1.000000E+01   5.000000E-01   6.061344E+00   6.061344E+00   1.750482E+00   1.600091E+00   2.221361E+00
  1.100000E+01   5.000000E-01   6.168879E+00   6.168879E+00   1.751718E+00   1.636132E+00   2.289793E+00
  1.200000E+01   5.000000E-01   6.269667E+00   6.269667E+00   1.757952E+00   1.670411E+00   2.341789E+00
  1.300000E+01   5.000000E-01   6.364188E+00   6.364188E+00   1.768110E+00   1.702993E+00   2.380181E+00
  1.400000E+01   5.000000E-01   6.452914E+00   6.452914E+00   1.781243E+00   1.733955E+00   2.407521E+00
  1.500000E+01   5.000000E-01   6.536302E+00   6.536302E+00   1.796543E+00   1.763376E+00   2.426016E+00
  1.600000E+01   5.000000E-01   6.614788E+00   6.614788E+00   1.813353E+00   1.791339E+00   2.437514E+00
  1.700000E+01   5.000000E-01   6.688777E+00   6.688777E+00   1.831151E+00   1.817930E+00   2.443532E+00
  1.800000E+01   5.000000E-01   6.758645E+00   6.758645E+00   1.849529E+00   1.843235E+00   2.445291E+00
  1.900000E+01   5.000000E-01   6.824737E+00   6.824737E+00   1.868178E+00   1.867337E+00   2.443769E+00
  2.000000E+01   5.000000E-01   6.887364E+00   6.887364E+00   1.886862E+00   1.890316E+00   2.439740E+00
