#     V0          s range       <x^2> [ho units]  Norm denmat []
 -2.000000E+01   5.000000E-01   2.912414E-01   3.000000E+00
 -1.900000E+01   5.000000E-01   3.081598E-01   3.000000E+00
 -1.800000E+01   5.000000E-01   3.273847E-01   3.000000E+00
 -1.700000E+01   5.000000E-01   3.493638E-01   3.000000E+00
 -1.600000E+01   5.000000E-01   3.746428E-01   3.000000E+00
 -1.500000E+01   5.000000E-01   4.038798E-01   3.000000E+00
 -1.400000E+01   5.000000E-01   4.378525E-01   3.000000E+00
 -1.300000E+01   5.000000E-01   4.774503E-01   3.000000E+00
 -1.200000E+01   5.000000E-01   5.236332E-01   3.000000E+00
 -1.100000E+01   5.000000E-01   5.773382E-01   3.000000E+00
 -1.000000E+01   5.000000E-01   6.393113E-01   3.000000E+00
 -9.000000E+00   5.000000E-01   7.098671E-01   3.000000E+00
 -8.000000E+00   5.000000E-01   7.886242E-01   3.000000E+00
 -7.000000E+00   5.000000E-01   8.743417E-01   3.000000E+00
 -6.000000E+00   5.000000E-01   9.650059E-01   3.000000E+00
 -5.000000E+00   5.000000E-01   1.058208E+00   3.000000E+00
 -4.000000E+00   5.000000E-01   1.151646E+00   3.000000E+00
 -3.000000E+00   5.000000E-01   1.243503E+00   3.000000E+00
 -2.000000E+00   5.000000E-01   1.332566E+00   3.000000E+00
 -1.000000E+00   5.000000E-01   1.418161E+00   3.000000E+00
  0.000000E+00   5.000000E-01   1.499997E+00   3.000000E+00
  1.000000E+00   5.000000E-01   1.578031E+00   3.000000E+00
  2.000000E+00   5.000000E-01   1.652353E+00   3.000000E+00
  3.000000E+00   5.000000E-01   1.723126E+00   3.000000E+00
  4.000000E+00   5.000000E-01   1.790530E+00   3.000000E+00
  5.000000E+00   5.000000E-01   1.854751E+00   3.000000E+00
  6.000000E+00   5.000000E-01   1.915962E+00   3.000000E+00
  7.000000E+00   5.000000E-01   1.974318E+00   3.000000E+00
  8.000000E+00   5.000000E-01   2.029948E+00   3.000000E+00
  9.000000E+00   5.000000E-01   2.082962E+00   3.000000E+00
  1.000000E+01   5.000000E-01   2.133454E+00   3.000000E+00
  1.100000E+01   5.000000E-01   2.181510E+00   3.000000E+00
  1.200000E+01   5.000000E-01   2.227214E+00   3.000000E+00
  1.300000E+01   5.000000E-01   2.270658E+00   3.000000E+00
  1.400000E+01   5.000000E-01   2.311940E+00   3.000000E+00
  1.500000E+01   5.000000E-01   2.351168E+00   3.000000E+00
  1.600000E+01   5.000000E-01   2.388452E+00   3.000000E+00
  1.700000E+01   5.000000E-01   2.423907E+00   3.000000E+00
  1.800000E+01   5.000000E-01   2.457647E+00   3.000000E+00
  1.900000E+01   5.000000E-01   2.489783E+00   3.000000E+00
  2.000000E+01   5.000000E-01   2.520422E+00   3.000000E+00
