

# V0=-19.0, s=0.5 
#   x [ho units]    Density [ho units]
   -6.000000E+00     2.937221E-25
   -5.950000E+00     1.383240E-22
   -5.900000E+00     6.249196E-22
   -5.850000E+00     1.698359E-21
   -5.800000E+00     3.874051E-21
   -5.750000E+00     8.179663E-21
   -5.700000E+00     1.662182E-20
   -5.650000E+00     3.307390E-20
   -5.600000E+00     6.498249E-20
   -5.550000E+00     1.266031E-19
   -5.500000E+00     2.450885E-19
   -5.450000E+00     4.719868E-19
   -5.400000E+00     9.046493E-19
   -5.350000E+00     1.726212E-18
   -5.300000E+00     3.279765E-18
   -5.250000E+00     6.205241E-18
   -5.200000E+00     1.169151E-17
   -5.150000E+00     2.193739E-17
   -5.100000E+00     4.099281E-17
   -5.050000E+00     7.628596E-17
   -5.000000E+00     1.413845E-16
   -4.950000E+00     2.609667E-16
   -4.900000E+00     4.797333E-16
   -4.850000E+00     8.783174E-16
   -4.800000E+00     1.601569E-15
   -4.750000E+00     2.908630E-15
   -4.700000E+00     5.261215E-15
   -4.650000E+00     9.478614E-15
   -4.600000E+00     1.700871E-14
   -4.550000E+00     3.039990E-14
   -4.500000E+00     5.411953E-14
   -4.450000E+00     9.596742E-14
   -4.400000E+00     1.695074E-13
   -4.350000E+00     2.982328E-13
   -4.300000E+00     5.226748E-13
   -4.250000E+00     9.124825E-13
   -4.200000E+00     1.586872E-12
   -4.150000E+00     2.749105E-12
   -4.100000E+00     4.744395E-12
   -4.050000E+00     8.156772E-12
   -4.000000E+00     1.397050E-11
   -3.950000E+00     2.383804E-11
   -3.900000E+00     4.052304E-11
   -3.850000E+00     6.863023E-11
   -3.800000E+00     1.158030E-10
   -3.750000E+00     1.946812E-10
   -3.700000E+00     3.260899E-10
   -3.650000E+00     5.442135E-10
   -3.600000E+00     9.049607E-10
   -3.550000E+00     1.499437E-09
   -3.500000E+00     2.475571E-09
   -3.450000E+00     4.072685E-09
   -3.400000E+00     6.676602E-09
   -3.350000E+00     1.090712E-08
   -3.300000E+00     1.775641E-08
   -3.250000E+00     2.880730E-08
   -3.200000E+00     4.657610E-08
   -3.150000E+00     7.504964E-08
   -3.100000E+00     1.205233E-07
   -3.050000E+00     1.929043E-07
   -3.000000E+00     3.077328E-07
   -2.950000E+00     4.893043E-07
   -2.900000E+00     7.754786E-07
   -2.850000E+00     1.225064E-06
   -2.800000E+00     1.929115E-06
   -2.750000E+00     3.028167E-06
   -2.700000E+00     4.738443E-06
   -2.650000E+00     7.391569E-06
   -2.600000E+00     1.149457E-05
   -2.550000E+00     1.782018E-05
   -2.500000E+00     2.754236E-05
   -2.450000E+00     4.243884E-05
   -2.400000E+00     6.519264E-05
   -2.350000E+00     9.983921E-05
   -2.300000E+00     1.524261E-04
   -2.250000E+00     2.319813E-04
   -2.200000E+00     3.519264E-04
   -2.150000E+00     5.321243E-04
   -2.100000E+00     8.018224E-04
   -2.050000E+00     1.203845E-03
   -2.000000E+00     1.800493E-03
   -1.950000E+00     2.681746E-03
   -1.900000E+00     3.976464E-03
