#     V0          s range       Energy (HF1) [ho]  Energy (HF2)      EKIN        EHO             EPOT
  2.000000E+01   1.000000E-01   1.344184E+01   1.344184E+01   5.655160E+00   3.461894E+00   1.725786E+00
  2.000000E+01   2.000000E-01   1.538390E+01   1.538390E+01   5.039359E+00   4.079035E+00   4.372946E+00
  2.000000E+01   3.000000E-01   1.733203E+01   1.733203E+01   5.019674E+00   4.664558E+00   5.966472E+00
  2.000000E+01   4.000000E-01   1.917905E+01   1.917905E+01   4.924491E+00   5.234335E+00   7.571770E+00
  2.000000E+01   5.000000E-01   2.098265E+01   2.098265E+01   4.684644E+00   5.756475E+00   9.570112E+00
  2.000000E+01   6.000000E-01   2.270784E+01   2.270784E+01   4.385740E+00   6.181105E+00   1.191977E+01
  2.000000E+01   7.000000E-01   2.429529E+01   2.429529E+01   4.092022E+00   6.483998E+00   1.447054E+01
  2.000000E+01   8.000000E-01   2.570398E+01   2.570398E+01   3.841253E+00   6.675336E+00   1.702411E+01
  2.000000E+01   9.000000E-01   2.692288E+01   2.692288E+01   3.645739E+00   6.784540E+00   1.941613E+01
  2.000000E+01   1.000000E+00   2.796279E+01   2.796279E+01   3.500157E+00   6.838291E+00   2.157211E+01
  2.000000E+01   1.100000E+00   2.884312E+01   2.884312E+01   3.394133E+00   6.853064E+00   2.348572E+01
  2.000000E+01   1.200000E+00   2.958396E+01   2.958396E+01   3.318900E+00   6.838485E+00   2.517618E+01
  2.000000E+01   1.300000E+00   3.020339E+01   3.020339E+01   3.268197E+00   6.800894E+00   2.666681E+01
  2.000000E+01   1.400000E+00   3.071701E+01   3.071701E+01   3.237580E+00   6.744930E+00   2.797915E+01
  2.000000E+01   1.500000E+00   3.113818E+01   3.113818E+01   3.223779E+00   6.674232E+00   2.913187E+01
  2.000000E+01   1.600000E+00   3.147830E+01   3.147830E+01   3.224225E+00   6.591806E+00   3.014093E+01
  2.000000E+01   1.700000E+00   3.174724E+01   3.174724E+01   3.236728E+00   6.500135E+00   3.102048E+01
  2.000000E+01   1.800000E+00   3.195348E+01   3.195348E+01   3.259362E+00   6.401098E+00   3.178384E+01
  2.000000E+01   1.900000E+00   3.210432E+01   3.210432E+01   3.290505E+00   6.295924E+00   3.244393E+01
  2.000000E+01   2.000000E+00   3.220595E+01   3.220595E+01   3.328944E+00   6.185286E+00   3.301286E+01
  2.000000E+01   2.100000E+00   3.226356E+01   3.226356E+01   3.373908E+00   6.069518E+00   3.350123E+01
  2.000000E+01   2.200000E+00   3.228151E+01   3.228151E+01   3.425015E+00   5.948875E+00   3.391749E+01
  2.000000E+01   2.300000E+00   3.226348E+01   3.226348E+01   3.482139E+00   5.823749E+00   3.426768E+01
  2.000000E+01   2.400000E+00   3.221266E+01   3.221266E+01   3.545262E+00   5.694789E+00   3.455565E+01
  2.000000E+01   2.500000E+00   3.213196E+01   3.213196E+01   3.614331E+00   5.562938E+00   3.478350E+01
  2.000000E+01   2.600000E+00   3.202404E+01   3.202404E+01   3.689154E+00   5.429401E+00   3.495217E+01
  2.000000E+01   2.700000E+00   3.189151E+01   3.189151E+01   3.769338E+00   5.295562E+00   3.506210E+01
  2.000000E+01   2.800000E+00   3.173692E+01   3.173692E+01   3.854275E+00   5.162879E+00   3.511377E+01
  2.000000E+01   2.900000E+00   3.156278E+01   3.156278E+01   3.943156E+00   5.032780E+00   3.510812E+01
  2.000000E+01   3.000000E+00   3.137158E+01   3.137158E+01   4.035024E+00   4.906563E+00   3.504686E+01
