

# V0=20.0, s=0.3 
#   x [ho units]    Density [ho units]
   -6.000000E+00     1.954129E-07
   -5.950000E+00     2.195539E-07
   -5.900000E+00     2.967701E-07
   -5.850000E+00     4.428229E-07
   -5.800000E+00     6.870940E-07
   -5.750000E+00     1.077433E-06
   -5.700000E+00     1.688088E-06
   -5.650000E+00     2.631643E-06
   -5.600000E+00     4.076558E-06
   -5.550000E+00     6.272417E-06
   -5.500000E+00     9.585895E-06
   -5.450000E+00     1.455143E-05
   -5.400000E+00     2.194194E-05
   -5.350000E+00     3.286658E-05
   -5.300000E+00     4.890461E-05
   -5.250000E+00     7.228686E-05
   -5.200000E+00     1.061393E-04
   -5.150000E+00     1.548065E-04
   -5.100000E+00     2.242767E-04
   -5.050000E+00     3.227342E-04
   -5.000000E+00     4.612677E-04
   -4.950000E+00     6.547696E-04
   -4.900000E+00     9.230602E-04
   -4.850000E+00     1.292275E-03
   -4.800000E+00     1.796550E-03
   -4.750000E+00     2.480037E-03
   -4.700000E+00     3.399262E-03
   -4.650000E+00     4.625847E-03
   -4.600000E+00     6.249548E-03
   -4.550000E+00     8.381582E-03
   -4.500000E+00     1.115812E-02
   -4.450000E+00     1.474381E-02
   -4.400000E+00     1.933509E-02
   -4.350000E+00     2.516300E-02
   -4.300000E+00     3.249510E-02
   -4.250000E+00     4.163608E-02
   -4.200000E+00     5.292647E-02
   -4.150000E+00     6.673879E-02
   -4.100000E+00     8.347069E-02
   -4.050000E+00     1.035343E-01
   -4.000000E+00     1.273410E-01
   -3.950000E+00     1.552823E-01
   -3.900000E+00     1.877046E-01
   -3.850000E+00     2.248802E-01
   -3.800000E+00     2.669736E-01
   -3.750000E+00     3.140052E-01
   -3.700000E+00     3.658133E-01
   -3.650000E+00     4.220175E-01
   -3.600000E+00     4.819859E-01
   -3.550000E+00     5.448109E-01
   -3.500000E+00     6.092957E-01
   -3.450000E+00     6.739580E-01
   -3.400000E+00     7.370536E-01
   -3.350000E+00     7.966224E-01
   -3.300000E+00     8.505618E-01
   -3.250000E+00     8.967239E-01
   -3.200000E+00     9.330379E-01
   -3.150000E+00     9.576493E-01
   -3.100000E+00     9.690702E-01
