#     V0          s range       <x^2> [ho units]  Norm denmat []
  2.000000E+01   1.000000E-01   1.617356E+00   3.000000E+00
  2.000000E+01   2.000000E-01   1.850639E+00   3.000000E+00
  2.000000E+01   3.000000E-01   2.078621E+00   3.000000E+00
  2.000000E+01   4.000000E-01   2.298550E+00   3.000000E+00
  2.000000E+01   5.000000E-01   2.520420E+00   3.000000E+00
  2.000000E+01   6.000000E-01   2.735979E+00   3.000000E+00
  2.000000E+01   7.000000E-01   2.932773E+00   3.000000E+00
  2.000000E+01   8.000000E-01   3.099794E+00   3.000000E+00
  2.000000E+01   9.000000E-01   3.229358E+00   3.000000E+00
  2.000000E+01   1.000000E+00   3.318139E+00   3.000000E+00
  2.000000E+01   1.100000E+00   3.367600E+00   3.000000E+00
  2.000000E+01   1.200000E+00   3.383214E+00   3.000000E+00
  2.000000E+01   1.300000E+00   3.372441E+00   3.000000E+00
  2.000000E+01   1.400000E+00   3.342376E+00   3.000000E+00
  2.000000E+01   1.500000E+00   3.298282E+00   3.000000E+00
  2.000000E+01   1.600000E+00   3.243353E+00   3.000000E+00
  2.000000E+01   1.700000E+00   3.179256E+00   3.000000E+00
  2.000000E+01   1.800000E+00   3.106881E+00   3.000000E+00
  2.000000E+01   1.900000E+00   3.026966E+00   3.000000E+00
  2.000000E+01   2.000000E+00   2.940490E+00   3.000000E+00
  2.000000E+01   2.100000E+00   2.848857E+00   3.000000E+00
  2.000000E+01   2.200000E+00   2.753890E+00   3.000000E+00
  2.000000E+01   2.300000E+00   2.657707E+00   3.000000E+00
  2.000000E+01   2.400000E+00   2.562496E+00   3.000000E+00
  2.000000E+01   2.500000E+00   2.470282E+00   3.000000E+00
  2.000000E+01   2.600000E+00   2.382733E+00   3.000000E+00
  2.000000E+01   2.700000E+00   2.301038E+00   3.000000E+00
  2.000000E+01   2.800000E+00   2.225889E+00   3.000000E+00
  2.000000E+01   2.900000E+00   2.157539E+00   3.000000E+00
  2.000000E+01   3.000000E+00   2.095893E+00   3.000000E+00
