#     V0          s range       Energy (HF1) [ho]  Energy (HF2)      EKIN        EHO             EPOT
 -2.000000E+01   1.000000E-01   1.612593E+01   1.612593E+01   1.072188E+01   3.787035E+00  -4.340040E+00
 -2.000000E+01   2.000000E-01   4.897591E+00   4.897591E+00   4.243012E+01   1.009768E+00  -7.910413E+01
 -2.000000E+01   3.000000E-01  -1.222786E+01  -1.222786E+01   5.478096E+01   7.572044E-01  -1.370464E+02
 -2.000000E+01   4.000000E-01  -2.151715E+01  -2.151715E+01   5.244313E+01   7.875046E-01  -1.510706E+02
 -2.000000E+01   5.000000E-01  -2.627766E+01  -2.627766E+01   4.795761E+01   8.598324E-01  -1.519099E+02
 -2.000000E+01   6.000000E-01  -2.860453E+01  -2.860453E+01   4.341355E+01   9.488787E-01  -1.478317E+02
 -2.000000E+01   7.000000E-01  -2.956615E+01  -2.956615E+01   3.931383E+01   1.046929E+00  -1.419477E+02
 -2.000000E+01   8.000000E-01  -2.973251E+01  -2.973251E+01   3.574819E+01   1.150426E+00  -1.355631E+02
 -2.000000E+01   9.000000E-01  -2.942391E+01  -2.942391E+01   3.268436E+01   1.257288E+00  -1.292457E+02
 -2.000000E+01   1.000000E+00  -2.882833E+01  -2.882833E+01   3.005805E+01   1.366105E+00  -1.232372E+02
 -2.000000E+01   1.100000E+00  -2.805998E+01  -2.805998E+01   2.780264E+01   1.475829E+00  -1.176285E+02
 -2.000000E+01   1.200000E+00  -2.719017E+01  -2.719017E+01   2.585845E+01   1.585632E+00  -1.124398E+02
 -2.000000E+01   1.300000E+00  -2.626439E+01  -2.626439E+01   2.417489E+01   1.694842E+00  -1.076579E+02
 -2.000000E+01   1.400000E+00  -2.531206E+01  -2.531206E+01   2.270994E+01   1.802906E+00  -1.032556E+02
 -2.000000E+01   1.500000E+00  -2.435244E+01  -2.435244E+01   2.142905E+01   1.909362E+00  -9.920042E+01
 -2.000000E+01   1.600000E+00  -2.339815E+01  -2.339815E+01   2.030384E+01   2.013831E+00  -9.545931E+01
 -2.000000E+01   1.700000E+00  -2.245747E+01  -2.245747E+01   1.931098E+01   2.116001E+00  -9.200090E+01
 -2.000000E+01   1.800000E+00  -2.153573E+01  -2.153573E+01   1.843120E+01   2.215620E+00  -8.879635E+01
 -2.000000E+01   1.900000E+00  -2.063630E+01  -2.063630E+01   1.764855E+01   2.312488E+00  -8.581965E+01
 -2.000000E+01   2.000000E+00  -1.976120E+01  -1.976120E+01   1.694971E+01   2.406451E+00  -8.304764E+01
 -2.000000E+01   2.100000E+00  -1.891152E+01  -1.891152E+01   1.632356E+01   2.497396E+00  -8.045976E+01
 -2.000000E+01   2.200000E+00  -1.808772E+01  -1.808772E+01   1.576072E+01   2.585244E+00  -7.803786E+01
 -2.000000E+01   2.300000E+00  -1.728979E+01  -1.728979E+01   1.525327E+01   2.669950E+00  -7.576593E+01
 -2.000000E+01   2.400000E+00  -1.651748E+01  -1.651748E+01   1.479446E+01   2.751492E+00  -7.362984E+01
 -2.000000E+01   2.500000E+00  -1.577028E+01  -1.577028E+01   1.437854E+01   2.829873E+00  -7.161713E+01
 -2.000000E+01   2.600000E+00  -1.504757E+01  -1.504757E+01   1.400057E+01   2.905114E+00  -6.971674E+01
 -2.000000E+01   2.700000E+00  -1.434867E+01  -1.434867E+01   1.365629E+01   2.977253E+00  -6.791892E+01
 -2.000000E+01   2.800000E+00  -1.367281E+01  -1.367281E+01   1.334201E+01   3.046342E+00  -6.621500E+01
 -2.000000E+01   2.900000E+00  -1.301920E+01  -1.301920E+01   1.305454E+01   3.112443E+00  -6.459726E+01
 -2.000000E+01   3.000000E+00  -1.238707E+01  -1.238707E+01   1.279108E+01   3.175630E+00  -6.305882E+01
