

# V0=-20.0, s=3.0 
#   x [ho units]    Density [ho units]
   -6.000000E+00     3.369302E-15
   -5.950000E+00     1.288036E-13
   -5.900000E+00     5.550071E-13
   -5.850000E+00     1.449581E-12
   -5.800000E+00     3.156833E-12
   -5.750000E+00     6.319637E-12
   -5.700000E+00     1.210336E-11
   -5.650000E+00     2.259359E-11
   -5.600000E+00     4.149208E-11
   -5.550000E+00     7.532400E-11
   -5.500000E+00     1.355160E-10
   -5.450000E+00     2.419482E-10
   -5.400000E+00     4.289839E-10
   -5.350000E+00     7.556313E-10
   -5.300000E+00     1.322551E-09
   -5.250000E+00     2.300315E-09
   -5.200000E+00     3.976018E-09
   -5.150000E+00     6.829602E-09
   -5.100000E+00     1.165791E-08
   -5.050000E+00     1.977477E-08
   -5.000000E+00     3.333127E-08
   -4.950000E+00     5.582450E-08
   -4.900000E+00     9.289912E-08
   -4.850000E+00     1.536005E-07
   -4.800000E+00     2.523176E-07
   -4.750000E+00     4.117708E-07
   -4.700000E+00     6.675671E-07
   -4.650000E+00     1.075087E-06
   -4.600000E+00     1.719802E-06
   -4.550000E+00     2.732604E-06
   -4.500000E+00     4.312351E-06
   -4.450000E+00     6.758745E-06
   -4.400000E+00     1.051980E-05
   -4.350000E+00     1.625970E-05
   -4.300000E+00     2.495482E-05
   -4.250000E+00     3.802824E-05
   -4.200000E+00     5.753600E-05
   -4.150000E+00     8.642238E-05
   -4.100000E+00     1.288654E-04
   -4.050000E+00     1.907389E-04
   -4.000000E+00     2.802232E-04
   -3.950000E+00     4.086002E-04
   -3.900000E+00     5.912751E-04
   -3.850000E+00     8.490690E-04
   -3.800000E+00     1.209828E-03
   -3.750000E+00     1.710391E-03
   -3.700000E+00     2.398949E-03
   -3.650000E+00     3.337811E-03
   -3.600000E+00     4.606573E-03
   -3.550000E+00     6.305631E-03
   -3.500000E+00     8.559952E-03
   -3.450000E+00     1.152292E-02
   -3.400000E+00     1.538001E-02
   -3.350000E+00     2.035203E-02
   -3.300000E+00     2.669728E-02
   -3.250000E+00     3.471243E-02
   -3.200000E+00     4.473121E-02
   -3.150000E+00     5.712038E-02
   -3.100000E+00     7.227230E-02
   -3.050000E+00     9.059358E-02
   -3.000000E+00     1.124891E-01
   -2.950000E+00     1.383416E-01
   -2.900000E+00     1.684866E-01
   -2.850000E+00     2.031833E-01
   -2.800000E+00     2.425834E-01
   -2.750000E+00     2.866983E-01
   -2.700000E+00     3.353683E-01
   -2.650000E+00     3.882367E-01
   -2.600000E+00     4.447312E-01
   -2.550000E+00     5.040574E-01
   -2.500000E+00     5.652072E-01
   -2.450000E+00     6.269841E-01
   -2.400000E+00     6.880487E-01
   -2.350000E+00     7.469821E-01
   -2.300000E+00     8.023671E-01
   -2.250000E+00     8.528816E-01
   -2.200000E+00     8.973983E-01
   -2.150000E+00     9.350822E-01
   -2.100000E+00     9.654754E-01
   -2.050000E+00     9.885595E-01
   -2.000000E+00     1.004786E+00
   -1.950000E+00     1.015065E+00
   -1.900000E+00     1.020713E+00
   -1.850000E+00     1.023354E+00
   -1.800000E+00     1.024782E+00
   -1.750000E+00     1.026799E+00
   -1.700000E+00     1.031038E+00
   -1.650000E+00     1.038792E+00
   -1.600000E+00     1.050881E+00
   -1.550000E+00     1.067546E+00
   -1.500000E+00     1.088430E+00
   -1.450000E+00     1.112606E+00
   -1.400000E+00     1.138691E+00
   -1.350000E+00     1.165015E+00
   -1.300000E+00     1.189832E+00
   -1.250000E+00     1.211546E+00
   -1.200000E+00     1.228929E+00
   -1.150000E+00     1.241285E+00
   -1.100000E+00     1.248552E+00
   -1.050000E+00     1.251310E+00
   -1.000000E+00     1.250704E+00
   -9.500000E-01     1.248278E+00
   -9.000000E-01     1.245748E+00
   -8.500000E-01     1.244751E+00
   -8.000000E-01     1.246592E+00
   -7.500000E-01     1.252051E+00
   -7.000000E-01     1.261260E+00
   -6.500000E-01     1.273686E+00
   -6.000000E-01     1.288216E+00
   -5.500000E-01     1.303335E+00
   -5.000000E-01     1.317375E+00
   -4.500000E-01     1.328786E+00
   -4.000000E-01     1.336389E+00
   -3.500000E-01     1.339572E+00
   -3.000000E-01     1.338392E+00
   -2.500000E-01     1.333564E+00
   -2.000000E-01     1.326339E+00
   -1.500000E-01     1.318297E+00
   -1.000000E-01     1.311077E+00
   -5.000000E-02     1.306099E+00
    0.000000E+00     1.304327E+00
    5.000000E-02     1.306099E+00
    1.000000E-01     1.311077E+00
    1.500000E-01     1.318297E+00
    2.000000E-01     1.326339E+00
    2.500000E-01     1.333564E+00
    3.000000E-01     1.338392E+00
    3.500000E-01     1.339572E+00
    4.000000E-01     1.336389E+00
    4.500000E-01     1.328786E+00
    5.000000E-01     1.317375E+00
    5.500000E-01     1.303335E+00
    6.000000E-01     1.288216E+00
    6.500000E-01     1.273686E+00
    7.000000E-01     1.261260E+00
    7.500000E-01     1.252051E+00
    8.000000E-01     1.246592E+00
    8.500000E-01     1.244751E+00
    9.000000E-01     1.245748E+00
    9.500000E-01     1.248278E+00
    1.000000E+00     1.250704E+00
    1.050000E+00     1.251310E+00
    1.100000E+00     1.248552E+00
    1.150000E+00     1.241285E+00
    1.200000E+00     1.228929E+00
    1.250000E+00     1.211546E+00
    1.300000E+00     1.189832E+00
    1.350000E+00     1.165015E+00
    1.400000E+00     1.138691E+00
    1.450000E+00     1.112606E+00
    1.500000E+00     1.088430E+00
    1.550000E+00     1.067546E+00
    1.600000E+00     1.050881E+00
    1.650000E+00     1.038792E+00
    1.700000E+00     1.031038E+00
    1.750000E+00     1.026799E+00
    1.800000E+00     1.024782E+00
    1.850000E+00     1.023354E+00
