#     V0          s range       <x^2> [ho units]  Norm denmat []
 -2.000000E+01   1.000000E-01   2.524690E+00   6.000000E+00
 -2.000000E+01   2.000000E-01   6.731785E-01   6.000000E+00
 -2.000000E+01   3.000000E-01   5.048030E-01   6.000000E+00
 -2.000000E+01   4.000000E-01   5.250030E-01   6.000000E+00
 -2.000000E+01   5.000000E-01   5.732216E-01   6.000000E+00
 -2.000000E+01   6.000000E-01   6.325858E-01   6.000000E+00
 -2.000000E+01   7.000000E-01   6.979530E-01   6.000000E+00
 -2.000000E+01   8.000000E-01   7.669504E-01   6.000000E+00
 -2.000000E+01   9.000000E-01   8.381917E-01   6.000000E+00
 -2.000000E+01   1.000000E+00   9.107368E-01   6.000000E+00
 -2.000000E+01   1.100000E+00   9.838859E-01   6.000000E+00
 -2.000000E+01   1.200000E+00   1.057088E+00   6.000000E+00
 -2.000000E+01   1.300000E+00   1.129895E+00   6.000000E+00
 -2.000000E+01   1.400000E+00   1.201937E+00   6.000000E+00
 -2.000000E+01   1.500000E+00   1.272908E+00   6.000000E+00
 -2.000000E+01   1.600000E+00   1.342554E+00   6.000000E+00
 -2.000000E+01   1.700000E+00   1.410668E+00   6.000000E+00
 -2.000000E+01   1.800000E+00   1.477080E+00   6.000000E+00
 -2.000000E+01   1.900000E+00   1.541658E+00   6.000000E+00
 -2.000000E+01   2.000000E+00   1.604300E+00   6.000000E+00
 -2.000000E+01   2.100000E+00   1.664930E+00   6.000000E+00
 -2.000000E+01   2.200000E+00   1.723496E+00   6.000000E+00
 -2.000000E+01   2.300000E+00   1.779967E+00   6.000000E+00
 -2.000000E+01   2.400000E+00   1.834328E+00   6.000000E+00
 -2.000000E+01   2.500000E+00   1.886582E+00   6.000000E+00
 -2.000000E+01   2.600000E+00   1.936742E+00   6.000000E+00
 -2.000000E+01   2.700000E+00   1.984835E+00   6.000000E+00
 -2.000000E+01   2.800000E+00   2.030894E+00   6.000000E+00
 -2.000000E+01   2.900000E+00   2.074962E+00   6.000000E+00
 -2.000000E+01   3.000000E+00   2.117087E+00   6.000000E+00
